name,type
三子养亲汤,中成药
三子止咳膏,中成药
三子止咳胶囊,西药
三尖杉,中草药
三尖杉酯碱注射液,西药
三拗片,中成药
三清胶囊,中成药
三磷酸胞苷二钠注射液,西药
三磷酸腺苷二钠—氯化镁注射液,西药
三磷酸腺苷二钠注射液,西药
三精,西药
三维康,西药
三蛇胆川贝糖浆,西药
三蛇胆川贝膏,中成药
上呼吸道感染,疾病
上气道梗阻,疾病
上清胶囊,中成药
上生,西药
上皮样囊肿,疾病
上皮样血管内皮细胞瘤,疾病
上腔静脉受压综合征,疾病
上腔静脉综合征,疾病
不动杆菌感染,疾病
不动杆菌肺炎,疾病
世保扶,西药
世扶尼,西药
世普欢,西药
世福素,西药
丘疹坏死性结核疹,疾病
丙戊酸钠口服溶液,西药
丙戊酸钠缓释片,西药
丙氨酰—谷氨酰胺注射液,西药
丙泊酚中/长链脂肪乳注射液,西药
丙泊酚注射液,西药
丙硫异烟胺片,西药
丙硫异烟胺肠溶片,西药
丙硫氧嘧啶片,西药
丙硫氧嘧啶肠溶片,西药
丙硫氧嘧啶肠溶胶囊,西药
丙酸交沙霉素干糖浆,西药
丙酸交沙霉素颗粒,西药
丙酸倍氯米松气雾剂,西药
丙酸倍氯米松粉雾剂,西药
丙酸氟替卡松吸入气雾剂,西药
丙酸氟替卡松鼻喷雾剂,西药
业立宁,西药
东山感冒片,中成药
东日,西药
东易,西药
东梅止咳颗粒,中成药
东港天乐,西药
东药,西药
东莨菪碱贴片,西药
东菱美松,西药
东菱迪芙,西药
东风橘,中草药
丝瓜子,中草药
严克仙,西药
严力达,西药
严宁,西药
严新,西药
严迪,西药
中/长链脂肪乳注射液,西药
中/长链脂肪乳注射液（C6—24）,西药
中/长链脂肪乳注射液（C8—24）,西药
中/长链脂肪乳注射液（C8～24）,西药
中东呼吸综合征,疾病
中佳太,西药
中叶综合征,疾病
中宝伊格,西药
中宝叶宁,西药
中宝奇力,西药
中宝洛泰,西药
中宝索迪,西药
中性粒细胞减少性发热,疾病
中毒,疾病
中畅,西药
中诺克奇,西药
中诺克林,西药
中诺克迪,西药
中诺奇奥,西药
中长链脂肪乳注射液（C6～24）,西药
丰海能,西药
丰迪,西药
丹参注射液,中成药
丹参滴注液,中成药
丹参酮IIA磺酸钠注射液,西药
丹奥,西药
丹梦,西药
丹沅,西药
丹溪玉屏风颗粒,中成药
丹皮酚磺酸钠注射液,西药
丹红注射液,西药
丹芎通脉颗粒,中成药
丹葶肺心颗粒,中成药
丹蒌片,中成药
丹薇,西药
丹香冠心注射液,中成药
丹黄祛瘀胶囊,中成药
为力苏,西药
主—肺动脉隔缺损,疾病
丽奥佳,西药
丽扶欣,西药
丽珠刻乐,西药
丽珠因得福,西药
丽珠奇乐,西药
丽珠感乐,西药
丽珠星,西药
丽珠维三联,西药
丽申宝,西药
丽科乐,西药
丽科伟,西药
丽科吉,西药
丽科明,西药
丽科杰,西药
丽科欣,西药
丽科清,西药
丽芝,西药
丽诺生,西药
乃平,西药
乃迪,西药
久保克,西药
久悦,西药
久诺,西药
久邦,西药
久金,中成药
之乐,西药
乌体林斯,西药
乌头碱类中毒,疾病
乌拉地尔氯化钠注射液,西药
乌拉地尔注射液,西药
乌拉地尔缓释胶囊,西药
乌拉地尔葡萄糖注射液,西药
乌梅,中草药
乐亢,西药
乐健素,西药
乐佰欣,西药
乐元,西药
乐克沙,西药
乐净,西药
乐凡命,西药
乐加,西药
乐友,西药
乐唯,西药
乐喜清,西药
乐孚亭,西药
乐宝得,西药
乐尔泰,西药
乐度,西药
乐息平,西药
乐朗,西药
乐来,西药
乐松,西药
乐沙定,西药
乐派,西药
乐灵,西药
乐甲,西药
乐疾宁,西药
乐知苹,西药
乐维静,西药
乐美奇,西药
乐舒凡,西药
乐芬,西药
乐芮,西药
乐菲,西药
乐贝新,西药
乙水杨胺片,西药
乙磺酸尼达尼布软胶囊,西药
乙胺利福异烟片,西药
乙胺吡嗪利福异烟片（II）,西药
乙酰半胱氨酸泡腾片,西药
乙酰半胱氨酸注射液,西药
乙酰半胱氨酸片,西药
乙酰半胱氨酸胶囊,西药
乙酰半胱氨酸颗粒,西药
乙酰吉他霉素含片,西药
乙酰吉他霉素片,西药
乙酰吉他霉素胶囊,西药
乙酰吉他霉素颗粒,西药
乙酰水杨酸孕烯诺龙片,西药
乙酰螺旋霉素片,西药
乙酰螺旋霉素胶囊,西药
乙酰麦迪霉素干混悬剂,西药
九仙散,中成药
九味双解口服液,中成药
九维片,西药
九龙解毒胶囊,中成药
乳头状腺瘤,疾病
乳汁吸入性肺炎,疾病
乳痨,疾病
乳糖酸克拉霉素胶囊,西药
乳糖酸阿奇霉素注射液,西药
乳糜胸,疾病
乳酸加替沙星氯化钠注射液,西药
乳酸司帕沙星片,西药
乳酸左氧氟沙星分散片,西药
乳酸左氧氟沙星氯化钠注射液,西药
乳酸左氧氟沙星注射液,西药
乳酸左氧氟沙星片,西药
乳酸左氧氟沙星胶囊,西药
乳酸左氧氟沙星葡萄糖注射液,西药
乳酸性酸中毒,疾病
乳酸氟罗沙星片,西药
乳酸环丙沙星氯化钠注射液,西药
乳酸环丙沙星注射液,西药
乳酸米力农注射液,西药
乳酸钠林格注射液,西药
乳酸钠注射液,西药
了哥王根,中草药
了哥王片,中成药
了哥王胶囊,中成药
争欣,西药
二乙酰氨乙酸乙二胺氯化钠注射液,西药
二乙酰氨乙酸乙二胺注射液,西药
二十五味肺病丸,中成药
二十五味肺病胶囊,中成药
二巯丙磺钠注射液,西药
二母宁嗽口服液,中成药
二母宁嗽片,中成药
二母宁嗽颗粒,中成药
二母清肺丸,中成药
二氧化氮中毒,疾病
二氧化硫中毒,疾病
二氧化碳中毒,疾病
二氧化碳总量（TCO2）检查,诊疗技术及设备（治疗）
二氮嗪注射液,西药
二甲双胍马来酸罗格列酮片,西药
二甲苯磺酸拉帕替尼片,西药
二盐酸奎宁注射液,西药
二硫化碳中毒,疾病
二羟丙茶碱氯化钠注射液,西药
二羟丙茶碱注射液,西药
二羟丙茶碱片,西药
二羟丙茶碱葡萄糖注射液,西药
二陈丸,中成药
二陈汤,中成药
云南白药,西药
云南白药胶囊,西药
云南红药胶囊,中成药
云草舒肺口服液,西药
五倍子,中草药
五加芪菊颗粒,中成药
五味子颗粒,中成药
五味沙棘散,中成药
五味沙棘颗粒,西药
五指毛桃,中草药
五氯酚钠中毒,疾病
五淋丸,中成药
五粒回春丸,中成药
亚健康人群体检,诊疗技术及设备（治疗）
亚力希,西药
亚叶酸钙氯化钠注射液,西药
亚叶酸钙注射液,西药
亚叶酸钙片,西药
亚复欣,西药
亚宁定,西药
亚宝力可,西药
亚宝力舒,西药
亚宝欣,西药
亚思达,西药
亚斯克平,西药
亚泰康派,中成药
亚泰康达先,西药
亚洁,西药
亚甲蓝注射液,西药
亚硝酸盐中毒,疾病
亚硝酸钠注射液,西药
亚莫利,西药
亚邦强生,西药
亚邦恒贝,西药
亚邦爱普森,西药
交沙霉素片,西药
交沙霉素胶囊,西药
交沙霉素颗粒,西药
亦欧青,西药
亦清,西药
产后喘促,疾病
亨杰,西药
京制咳嗽痰喘丸,中成药
京坦松,西药
京康,西药
京必舒新,西药
京瑞,西药
京瑞克,西药
京瑞凌,西药
京瑞星,西药
京瑞林,西药
京瑞欣,西药
京都念慈菴蜜炼川贝枇杷膏,中成药
亮博,西药
亮菌甲素注射液,西药
亮跃,西药
人中白,中草药
人参保肺丸,中成药
人参补气胶囊,中成药
人工牛黄甲硝唑胶囊,西药
人感染禽流感,疾病
人类免疫缺陷病毒[HIV]病,疾病
人胎盘脂多糖注射液,西药
人血白蛋白,西药
人血白蛋白注射液,西药
亿代,西药
亿恒,西药
亿汶,西药
亿活,西药
亿菲,西药
亿迈林,西药
仁康,西药
仁怡,西药
仁悦,西药
仁欣,西药
仁舒,西药
仁苏,西药
今又生,西药
今多新,西药
今辰,西药
今达,西药
介宁,西药
他克欣,西药
他克莫司注射液,西药
他克莫司胶囊,西药
他克莫司软膏,西药
他唑仙,西药
他巴唑,西药
他格适,西药
仙力素,西药
仙必他,西药
仙特明,西药
仙蟾片,中成药
仙鹤草,中草药
仙鹿口服液,中成药
仟德,西药
代宁,西药
代斯,西药
代特,西药
代芳,西药
代谢性酸中毒,疾病
仲维,西药
任捷Xyntha,西药
伉尔纾宁,西药
伊利欣,西药
伊康宁,西药
伊捷卡,西药
伊曲康唑分散片,西药
伊曲康唑口服液,西药
伊曲康唑注射液,西药
伊曲康唑胶囊,西药
伊曲康唑颗粒,西药
伊泰青,西药
伊班膦酸注射液,西药
伊班膦酸钠注射液,西药
伊瑞,西药
伊瑞可,西药
伊维菌素片,西药
伊维菌素胶囊,西药
伊缓,西药
伊美雅,西药
伊芬,西药
伊诺欣,西药
伊诺舒,西药
伊贝母,中草药
伊达力,西药
伊迈格,西药
伏乐新,西药
伏立康唑分散片,西药
伏立康唑片,西药
伏立康唑胶囊,西药
伏立特,西药
伏络清,西药
休克型肺炎,疾病
众生丸,中成药
众生片,中成药
众生胶囊,中成药
众益美松,西药
优一欣,西药
优乐新,西药
优伦,西药
优克,西药
优克欣,西药
优利福,西药
优博23,西药
优宁,西药
优尼,西药
优布丁,西药
优帝尔,西药
优得克,西药
优思灵,西药
优普同,西药
优普林,西药
优普罗康,西药
优朋,西药
优泌乐,西药
优泌乐25,西药
优泌乐50,西药
优泌林,西药
优泌林·Hjnxtlin*R,西药
优泽,西药
优立新,西药
优诺,西药
优诺安,西药
优诺平,西药
优赛明,西药
会厌囊肿,疾病
会厌炎,疾病
伟乐司,西药
伟特,西药
伤风停片,中成药
伤风停胶囊,中成药
伤风感冒冲剂,中成药
伤风感冒颗粒,中成药
伤风止咳糖浆,西药
伪麻滴剂（婴幼儿用）,西药
伯克纳,西药
伯基,西药
伯尔定,西药
伯舒,西药
伲利安,西药
伽玛,西药
低分子右旋糖苷,西药
低分子右旋糖酐氨基酸注射液,西药
低分子量肝素钠注射液,西药
低氧血症,疾病
低温症,疾病
佐乐辛,西药
佐凯,西药
佐朋,西药
佐派欣,西药
体位检查,诊疗技术及设备（治疗）
佛迪,西药
佩乐能,西药
佩尔,西药
佰仁,中成药
佰美诺,西药
佰达图,西药
佳丹,西药
佳乐同康,西药
佳乐同欣,西药
佳乐同泰,西药
佳伊可,西药
佳优,西药
佳倍敏,西药
佳利克,西药
佳名,西药
佳和洛,西药
佳尔纳,西药
佳息患,西药
佳择,西药
佳林豪,西药
佳洛坦,西药
佳维乐/GALVUS,西药
佳美,西药
佳苏仑,西药
佳菲,西药
佳蓉片,中成药
佳迪,西药
使尔通,西药
依他停,西药
依他尼酸片,西药
依伦定,西药
依伴侬,西药
依信,西药
依倍,西药
依克沙,西药
依利康,西药
依可力,西药
依叶,西药
依尔松,西药
依思汀,西药
依托咪酯注射液,西药
依托咪酯脂肪乳注射液,西药
依托度酸片,西药
依托度酸缓释片,西药
依托度酸胶囊,西药
依托泊苷注射液,西药
依托泊苷胶囊,西药
依托泊苷软胶囊,西药
依托红霉素混悬液,西药
依托红霉素片,西药
依托红霉素胶囊,西药
依托红霉素颗粒,西药
依托考昔片,西药
依折麦布片,西药
依折麦布辛伐他汀片,西药
依星,西药
依普定,西药
依曲韦林片,西药
依木兰,西药
依林,西药
依特,西药
依琼,西药
依维莫司片,西药
依能森,西药
依芬,西药
依苏,西药
依西美坦片,西药
依西美坦胶囊,西药
依诺沙星注射液,西药
依诺沙星片,西药
依诺沙星胶囊,西药
依诺肝素钠注射液,西药
依诺达,西药
依达拉奉注射液,西药
依那普利氢氯噻嗪分散片,西药
依那普利氢氯噻嗪片,西药
依降钙素注射液,西药
依静,西药
侧柏叶,中草药
俊宁,西药
保妥适,西药
保安万灵丹（丸）,中成药
保施泰,西药
保法止,西药
保童化痰丸,中成药
保英,西药
保辛素,西药
保达新,西药
信依生,西药
信利妥,西药
信力威,西药
信卫安,西药
信希汀,西药
信必可都保,西药
信普瑞,西药
信流丁,西药
信立欣,西药
信谊,西药
信达康,西药
信邦,西药
修正,中成药
修美乐,西药
倍乐信,西药
倍他乐克,西药
倍他米松乳膏,西药
倍他米松片,西药
倍他米松磷酸钠注射液,西药
倍利,西药
倍博特,西药
倍司特克,西药
倍尔来福,西药
倍平,西药
倍恩,西药
倍林达,西药
倍沙,西药
倍泰龙,西药
倍珞,西药
倍美力,西药
倍能,西药
倍舒林,西药
倍芬,西药
倍诺喜,西药
倍赛他,西药
倍迪宁,西药
倍通,西药
倍顺,西药
倒罐子根,中草药
假单胞菌感染,疾病
假性麦格综合征,疾病
健儿糖浆,中成药
健天能,西药
健奇,西药
健尼哌,西药
健择,西药
健方能,西药
健澳,西药
健白,西药
健肺丸,中成药
健肾益肺颗粒,中成药
健脾润肺丸,中成药
傲地,西药
傲坦,西药
傲宁,西药
傲承,西药
傲群,西药
儿咳糖浆,中成药
儿感清口服液,西药
儿童X—连锁高IgM血症,疾病
儿童先天性肺动脉瓣狭窄,疾病
儿童军团病肾病,疾病
儿童咳液,西药
儿童咳颗粒,中成药
儿童回春颗粒,中成药
儿童急性喉炎,疾病
儿童支气管镜检查,诊疗技术及设备（治疗）
儿童普通变异型免疫缺陷,疾病
儿童期哮喘,疾病
儿童清肺口服液,中成药
儿童睡眠障碍,疾病
儿童肺出血—肾炎综合征,疾病
儿童肺功能检查,诊疗技术及设备（治疗）
儿童获得性免疫缺陷综合征,疾病
儿童韦格纳肉芽肿病,疾病
儿茶,中草药
元欣,西药
元治,西药
元齐,西药
充血性心力衰竭,疾病
先伍,西药
先力腾,西药
先可诺,西药
先天性动静脉瘘,疾病
先天性后鼻孔闭锁,疾病
先天性喉喘鸣,疾病
先天性喉裂,疾病
先天性喉蹼,疾病
先天性喉闭锁,疾病
先天性囊状腺样畸形,疾病
先天性声带发育不良,疾病
先天性声门下狭窄,疾病
先天性小喉,疾病
先天性气管发育异常,疾病
先天性气管食管瘘,疾病
先天性环状束带,疾病
先天性肺不发育或发育不全,疾病
先天性肺动静脉瘘,疾病
先天性肺囊肿,疾病
先天性胸腹裂孔疝,疾病
先天性膈疝,疾病
先天性鼻咽部狭窄及闭锁,疾病
先定,西药
先强严灵,西药
先泰,西药
先派,西药
先清,西药
先福吡兰,西药
先锋美他醇,西药
先锋霉素IV号,西药
先锋霉素VI号,西药
先锋霉素V号,西药
光线性弹力纤维病,疾病
克严力,西药
克之胶囊,西药
克倍宁,西药
克力芝,西药
克咳片,中成药
克咳胶囊,中成药
克唑替尼胶囊,西药
克因达,西药
克尼邦,西药
克度,西药
克廷肤,西药
克必信,西药
克念菌素片,西药
克感利咽口服液,中成药
克感利咽颗粒,西药
克感来宁,西药
克拉仙,西药
克拉屈滨注射液,西药
克拉霉素分散片,西药
克拉霉素干混悬剂,西药
克拉霉素片,西药
克拉霉素缓释片,西药
克拉霉素缓释胶囊,西药
克拉霉素胶囊,西药
克拉霉素颗粒剂,西药
克拉霉索分散片,西药
克易停,中成药
克林澳,西药
克林诺,西药
克林霉素甲硝唑搽剂,西药
克林霉素磷酸酯栓,西药
克林霉素磷酸酯氯化钠注射液,西药
克林霉素磷酸酯注射液,西药
克林霉素磷酸酯溶液,西药
克林霉素磷酸酯片,西药
克林霉素磷酸酯葡萄糖注射液,西药
克沙,西药
克洛己新干混悬剂,西药
克癀胶囊,中成药
克艾斯,西药
克赛,西药
克雷白杆菌属感染,疾病
免疫学检测,诊疗技术及设备（治疗）
免疫病理检查,诊疗技术及设备（治疗）
免疫缺陷性肺炎,疾病
免疫缺陷者肺炎,疾病
免疫缺陷病,疾病
兔热病,疾病
兔耳子草,中草药
兔耳草,中草药
兔耳风,中草药
全可利,西药
全持安,西药
全氟丙烷人血白蛋白微球注射液,西药
全泽复,西药
八味香苏散,中成药
八奇,西药
八宝丹胶囊,中成药
八宝药墨,中成药
八物麦门冬饮,中成药
八风防风散,中成药
六合氨基酸注射液,西药
六味丁香片,中成药
六甲蜜胺片,西药
六甲蜜胺肠溶片,西药
六甲蜜胺胶囊,西药
兰悉多,西药
兰沙,西药
兰索拉唑口崩片,西药
兰索拉唑肠溶胶囊,西药
兰美抒,西药
兰花咳宁片,中成药
兰苏,西药
兰菌净,西药
兰迪,西药
兰释,西药
关平,西药
关康,西药
兴华,西药
兴易比可,西药
兴源,西药
其仙,西药
典必殊,西药
典比乐,西药
典沙,西药
典泰,西药
典舒,西药
典迈伦,西药
养正消积胶囊,中成药
养肺丸,中成药
养血生发胶囊,西药
养阴清肺口服液,中成药
养阴清肺汤,中成药
养阴清肺颗粒,中成药
内二显,西药
内伤咳嗽,疾病
内德滋,西药
内翻性乳头状瘤,疾病
内舒拿,西药
再克,西药
再奇,西药
再宁平,西药
再握,西药
再普乐,西药
再林,西药
军团病,疾病
军团菌病,疾病
军团菌肺炎,疾病
农民肺,疾病
农药中毒,疾病
冠心宁注射液,西药
冠状病毒感染,疾病
冬凌草糖浆,西药
冬白梅片,中成药
冬菀止咳颗粒,中成药
冬葵叶,中草药
冬里麻,中草药
冰七片,中成药
冰克,西药
冷凝集试验检查,诊疗技术及设备（治疗）
冻干抗眼镜蛇毒血清,西药
冻干重组人脑利钠肽,西药
凉燥,疾病
减味小儿化痰散,中成药
凝血时间检查,诊疗技术及设备（治疗）
凝血酶时间检查,诊疗技术及设备（治疗）
凡乐,西药
凡尔灵VAXIGRIP,西药
凡林,西药
凡诺,西药
凯伦,西药
凯兰欣,西药
凯力康,西药
凯力达,西药
凯可之,西药
凯同,西药
凯塞欣,西药
凯复定,西药
凯妮汀,西药
凯宁,西药
凯宝川苎,西药
凯帝欣,西药
凯彤,西药
凯德林,西药
凯斯,西药
凯时,西药
凯服新,西药
凯泽,西药
凯洛欣,西药
凯特力,西药
凯特瑞,西药
凯甫菲,西药
凯福隆,西药
凯纷,西药
凯络,西药
凯美纳,西药
凯莱止,西药
凯莱立克,西药
凯莱通,西药
凯西莱,西药
凯速特,西药
凯那,西药
凯韦可,西药
出血性疾病,疾病
出血性败血症性巴斯德菌感染,疾病
出血热,疾病
切乐平,西药
切诺,西药
刚果红试验,诊疗技术及设备（治疗）
创伤性气管及主支气管损伤,疾病
创伤性气胸,疾病
创伤性窒息,疾病
创伤性膈疝,疾病
创伤性血胸,疾病
创伤窒息综合征,疾病
创成,西药
创贝,西药
初发性或维持性睡眠障碍［失眠症］,疾病
利之舒,西药
利伐沙班片,西药
利佳,西药
利倍思,西药
利其丁针,西药
利分能,西药
利力奇,西药
利力宁,西药
利力欣,西药
利可思,西药
利君,西药
利君沙,西药
利喜定,西药
利培酮口服液,西药
利培酮片,西药
利复星,西药
利多卡因气雾剂,西药
利多卡因氯己定气雾剂,西药
利多布比卡因注射液,西药
利奈唑胺注射液,西药
利奈唑胺片,西药
利奈唑胺葡萄糖注射液,西药
利妥昔单抗注射液,西药
利孚利,西药
利岁,西药
利巴韦林分散片,西药
利巴韦林口服溶液,西药
利巴韦林含片,西药
利巴韦林喷剂,西药
利巴韦林喷雾剂,西药
利巴韦林气雾剂,西药
利巴韦林氯化钠注射液,西药
利巴韦林泡腾颗粒,西药
利巴韦林注射液,西药
利巴韦林滴鼻液,西药
利巴韦林片,西药
利巴韦林胶囊,西药
利巴韦林葡萄糖注射液,西药
利巴韦林颗粒,西药
利必通,西药
利必非,西药
利托那韦口服溶液,西药
利拉鲁肽注射液,西药
利普欣,西药
利格列汀片,西药
利欧,西药
利比,西药
利洛兰,西药
利百素,西药
利福喷丁胶囊,中成药
利福定胶囊,中成药
利福布汀胶囊,西药
利福平异烟肼胶囊,中成药
利福平注射液,西药
利福平滴眼液,西药
利福平片,中成药
利福平胶丸,西药
利福平胶囊,中成药
利福平胶囊（II）,西药
利福昔明软胶囊,中成药
利福霉素钠氯化钠注射液,西药
利福霉素钠注射液,西药
利美达松,西药
利肺片,中成药
利肺胶囊,中成药
利舍平,西药
利舒卡,西药
利舒安,西药
利舒康胶囊,中成药
利血宝,西药
利血平注射液,西药
利血平片,中成药
利达新,西药
利迈先,西药
利迈欣,西药
利通,西药
别嘌醇片,西药
制金柑丸,中成药
刺五加注射液,西药
刻定,西药
前列地尔注射液,西药
前胡,中草药
剑叶耳草,中草药
剑麻,中草药
剖胸术,诊疗技术及设备（治疗）
副流感病毒感染,疾病
副球孢子菌病,疾病
力保肪宁,西药
力克舒,西药
力勉,西药
力可多,西药
力坦,西药
力基,西药
力备,西药
力复君安,西药
力多泰,西药
力如太,西药
力尔凡,西药
力平之,西药
力弗,西药
力弘,西药
力扑素,西药
力托,西药
力扬,西药
力文,西药
力斯得,西药
力普康,西药
力月西,西药
力欣奇,西药
力比泰,西药
力派,西药
力清之,西药
力百汀,西药
力禾,西药
力美松,西药
力能,西药
力芬,西药
力蒙欣,西药
力补金秋胶囊,中成药
力言卓,西药
力贝尔,西药
力贻苹,西药
力邦英特,西药
功亮,西药
加乐显,西药
加减葳蕤汤,中成药
加力宁,西药
加博,西药
加味感冒丸,中成药
加味银翘片,中成药
加巴喷丁胶囊,中成药
加拉碘铵注射液,西药
加斯清,西药
加易尼,西药
加替沙星分散片,西药
加替沙星氯化钠注射液,西药
加替沙星注射液,西药
加替沙星片,西药
加替沙星胶囊,西药
加替沙星葡萄糖注射液,西药
加立信,西药
加罗宁,西药
加葵龙,西药
加诺,西药
动脉听诊,诊疗技术及设备（治疗）
动脉血氧分压（PaO2）,诊疗技术及设备（治疗）
动静脉瘘定位试验,诊疗技术及设备（治疗）
劲克,西药
劳拉西泮片,西药
劳麦纳,西药
勃名,西药
勒马回片,中成药
勤克沃,西药
勤可息,西药
包虫病补体结合试验,诊疗技术及设备（治疗）
化气兰,中草药
化痰平喘片,中成药
化痰消咳片,中成药
化痰片,西药
化脓性肉芽肿,疾病
化脓性链球菌咽炎,疾病
北京万生,西药
北豆根胶囊,中成药
匹多莫德分散片,西药
匹多莫德口服液,西药
匹多莫德口服溶液,西药
匹多莫德散,西药
匹多莫德片,西药
匹多莫德胶囊,西药
匹多莫德颗粒剂,西药
匹律,西药
匹金,西药
区明,西药
医源性气管及主支气管损伤,疾病
医用氧,西药
医院内感染,疾病
十五味龙胆花九,中成药
十味止咳片,中成药
十味溪黄草颗粒,西药
十味玉泉胶囊,中成药
十味蒂达胶囊,中成药
十味龙胆花胶囊,中成药
十味龙胆花颗粒,中成药
十四味羚牛角丸,中成药
十灰散,中成药
千里光片,中成药
千金止咳丸,中成药
升达,西药
半夏止咳糖浆,中成药
半夏糖浆,西药
半夏露糖浆,中成药
半夏露颗粒,中成药
华乐沙,西药
华仁诺同,西药
华仙美,西药
华克,西药
华克平,西药
华可必,西药
华安信,西药
华山参,中草药
华法林钠片,西药
华源锋,西药
华素,西药
华舒,西药
华芬,西药
华蟾素注射液,西药
华裕,西药
华适,西药
华阳再欣,西药
协诺信,西药
卓乐定,西药
卓力,西药
卓利菲尔,西药
卓坦,西药
卓夫,西药
卓宁,西药
卓悦,西药
卓莱,西药
卓青,西药
单侧肺气肿,疾病
单克,西药
单硝酸异山梨酯氯化钠注射液,西药
单纯性肺嗜酸粒细胞浸润症,疾病
单纯疱疹病毒肺炎,疾病
单肾草,中草药
南元,西药
南五味子,中草药
南沙参,中草药
博乐,西药
博仕多清,西药
博乐欣,西药
博利康尼,西药
博占同,西药
博可保,西药
博士多为,西药
博士多他,西药
博宁,西药
博尔泰力,西药
博帅,西药
博德,西药
博德桑特,西药
博思清,西药
博恩诺康,西药
博抗,西药
博拿,西药
博施立适,西药
博来宁,西药
博欣舒,西药
博璞青,西药
博维赫,西药
博美欣,西药
博能,西药
博苏,西药
博莱优福定,西药
博路定,西药
博那痛,西药
博静,西药
卜可,西药
卡介菌多糖核酸注射液,西药
卡介菌纯蛋白衍生物,西药
卡介菌纯蛋白衍生物（BCG—PPD）,西药
卡他莫拉菌感染,疾病
卡全,西药
卡前列素氨丁三醇注射液,西药
卡力,西药
卡培他滨片,西药
卡太卡,西药
卡安泰,西药
卡尔仑,西药
卡左双多巴控释片,西药
卡巴克洛注射液,西药
卡巴克洛片,西药
卡巴匹林钙散,西药
卡巴匹林钙颗粒,中成药
卡巴匹林镁散,西药
卡巴胆碱注射液,西药
卡托普利注射液,西药
卡托普利片,西药
卡文,西药
卡斯迈欣,西药
卡林优,西药
卡氏肺囊虫病,疾病
卡比马唑片,西药
卡波西肉瘤,疾病
卡瑞斯,西药
卡碧士,西药
卡维地洛片,西药
卡维地洛胶囊,西药
卡舒宁,西药
卡舒泰,西药
卡莫氟片,西药
卡西蒙,西药
卡贝缩宫素注射液,西药
卡路,西药
卡迈,西药
卡铂注射液,西药
卡马西平片,西药
卡马西平胶囊,西药
卡麦,西药
卢必安,西药
卢美根,西药
卫伊兴,西药
卫可欣,西药
卫氏并殖吸虫病,疾病
卫希安,西药
卫萌,西药
卫迪,西药
卵磷脂络合碘片,西药
厄多司坦分散片,西药
厄多司坦片,西药
厄多司坦胶囊,西药
厄贝沙坦分散片,西药
厄贝沙坦氢氯噻嗪分散片,西药
厄贝沙坦氢氯噻嗪片,西药
厄贝沙坦氢氯噻嗪胶囊,西药
厄贝沙坦片,西药
