graphml_entity,medical_kg_entity,match_type,confidence
23价肺炎球菌多糖疫苗,23价肺炎球菌多糖疫苗,exact,1.0
合并,合并,exact,1.0
肺多处,肺多处,exact,1.0
ph值,ph值,exact,1.0
二代或三代头孢菌素,二代或三代头孢菌素,exact,1.0
肺表面活性物质,肺表面活性物质,exact,1.0
copd,copd,exact,1.0
不动杆菌属,不动杆菌属,exact,1.0
肺移植,肺移植,exact,1.0
疫苗接种,疫苗接种,exact,1.0
bronchiolitis obliterans,bronchiolitis obliterans,exact,1.0
念珠菌,念珠菌,exact,1.0
lorabid,lorabid,exact,1.0
ct扫描,ct扫描,exact,1.0
皮肤试验,皮肤试验,exact,1.0
婴幼儿,婴幼儿,exact,1.0
巴龙霉素,巴龙霉素,exact,1.0
人感染高致病性禽流感,人感染高致病性禽流感,exact,1.0
长春新碱,长春新碱,exact,1.0
萎缩性鼻炎,萎缩性鼻炎,exact,1.0
癫痫发作,癫痫发作,exact,1.0
j84.109,j84.109,exact,1.0
莫匹罗星,莫匹罗星,exact,1.0
急性纵隔炎,急性纵隔炎,exact,1.0
全身,全身,exact,1.0
cleocin,cleocin,exact,1.0
nsaids,nsaids,exact,1.0
百日咳,百日咳,exact,1.0
锁骨上淋巴结,锁骨上淋巴结,exact,1.0
cefaclor,cefaclor,exact,1.0
特比萘芬,特比萘芬,exact,1.0
抗肿瘤药物,抗肿瘤药物,exact,1.0
右肺下叶,右肺下叶,exact,1.0
coombs试验,coombs试验,exact,1.0
机化性肺炎,机化性肺炎,exact,1.0
患者教育,患者教育,exact,1.0
ph,ph,exact,1.0
血栓形成,血栓形成,exact,1.0
卡那霉素,卡那霉素,exact,1.0
hiv感染者,hiv感染者,exact,1.0
胸膜腔积液,胸膜腔积液,exact,1.0
肌肉酸痛,肌肉酸痛,exact,1.0
妇产科,妇产科,exact,1.0
青少年,青少年,exact,1.0
低血压,低血压,exact,1.0
恩曲他滨,恩曲他滨,exact,1.0
支气管充气征,支气管充气征,exact,1.0
出汗,出汗,exact,1.0
注射部位炎症,注射部位炎症,exact,1.0
cefmetazole,cefmetazole,exact,1.0
寒颤,寒颤,exact,1.0
焦虑症,焦虑症,exact,1.0
胸部影像学检查,胸部影像学检查,exact,1.0
嗜酸性粒细胞,嗜酸性粒细胞,exact,1.0
手术后支气管胸膜瘘,手术后支气管胸膜瘘,exact,1.0
藻菌病,藻菌病,exact,1.0
尿潴留,尿潴留,exact,1.0
空气污染,空气污染,exact,1.0
脑膜,脑膜,exact,1.0
chromoblastomycosis,chromoblastomycosis,exact,1.0
abpa,abpa,exact,1.0
核酸扩增试验,核酸扩增试验,exact,1.0
地拉韦定,地拉韦定,exact,1.0
先天性心脏病,先天性心脏病,exact,1.0
心律失常,心律失常,exact,1.0
多烯类抗真菌药物,多烯类抗真菌药物,exact,1.0
膈肌麻痹,膈肌麻痹,exact,1.0
肺部浸润,肺部浸润,exact,1.0
放射科,放射科,exact,1.0
lung abscess,lung abscess,exact,1.0
冠状病毒,冠状病毒,exact,1.0
化脓性胸膜炎,化脓性胸膜炎,exact,1.0
不良,不良,exact,1.0
氟氧头孢,氟氧头孢,exact,1.0
白喉抗毒素,白喉抗毒素,exact,1.0
瘙痒,瘙痒,exact,1.0
胸骨后不适,胸骨后不适,exact,1.0
硬结,硬结,exact,1.0
胃肠道出血,胃肠道出血,exact,1.0
链球菌性肺炎,链球菌性肺炎,exact,1.0
皮炎芽生菌,皮炎芽生菌,exact,1.0
运动性支气管哮喘,运动性支气管哮喘,exact,1.0
呼吸道症状,呼吸道症状,exact,1.0
结核杆菌,结核杆菌,exact,1.0
支气管哮喘，危重,支气管哮喘，危重,exact,1.0
晚期,晚期,exact,1.0
呋苄西林,呋苄西林,exact,1.0
急性血行播散型肺结核,急性血行播散型肺结核,exact,1.0
顺铂,顺铂,exact,1.0
淋巴管炎,淋巴管炎,exact,1.0
血管性水肿,血管性水肿,exact,1.0
免疫缺陷病,免疫缺陷病,exact,1.0
纵膈淋巴结,纵膈淋巴结,exact,1.0
腹腔积液,腹腔积液,exact,1.0
特发性肺纤维化,特发性肺纤维化,exact,1.0
美西林,美西林,exact,1.0
骨扫描,骨扫描,exact,1.0
罗伯芽生菌病,罗伯芽生菌病,exact,1.0
头孢吡肟,头孢吡肟,exact,1.0
mg,mg,exact,1.0
结晶尿,结晶尿,exact,1.0
电解质紊乱,电解质紊乱,exact,1.0
胆红素升高,胆红素升高,exact,1.0
西地那非,西地那非,exact,1.0
心肺复苏,心肺复苏,exact,1.0
支气管肺泡灌洗,支气管肺泡灌洗,exact,1.0
硫糖铝,硫糖铝,exact,1.0
基因治疗,基因治疗,exact,1.0
急性喉炎,急性喉炎,exact,1.0
粒细胞减少症,粒细胞减少症,exact,1.0
奇异变形杆菌,奇异变形杆菌,exact,1.0
呼吸道传播,呼吸道传播,exact,1.0
肺门,肺门,exact,1.0
大汗,大汗,exact,1.0
actinomycosis,actinomycosis,exact,1.0
黄疸,黄疸,exact,1.0
尿素氮升高,尿素氮升高,exact,1.0
氟胞嘧啶注射液,氟胞嘧啶注射液,exact,1.0
肾炎,肾炎,exact,1.0
心血管手术,心血管手术,exact,1.0
间质性肺炎,间质性肺炎,exact,1.0
过敏性疾病,过敏性疾病,exact,1.0
鼻真菌病,鼻真菌病,exact,1.0
支气管淋巴结结核,支气管淋巴结结核,exact,1.0
zanamivir,zanamivir,exact,1.0
哮喘发作,哮喘发作,exact,1.0
rifampicin,rifampicin,exact,1.0
炎症,炎症,exact,1.0
咽干,咽干,exact,1.0
血嗜酸粒细胞增多,血嗜酸粒细胞增多,exact,1.0
恶性肿瘤,恶性肿瘤,exact,1.0
隔离,隔离,exact,1.0
卫非特,卫非特,exact,1.0
肺,肺,exact,1.0
谵妄,谵妄,exact,1.0
溶血性贫血,溶血性贫血,exact,1.0
多非利特,多非利特,exact,1.0
流感杆菌,流感杆菌,exact,1.0
基孔肯雅热,基孔肯雅热,exact,1.0
支气管阻塞,支气管阻塞,exact,1.0
结膜充血,结膜充血,exact,1.0
rifapentine,rifapentine,exact,1.0
肿瘤科,肿瘤科,exact,1.0
肺纤维化,肺纤维化,exact,1.0
周围神经病变,周围神经病变,exact,1.0
心电图检查,心电图检查,exact,1.0
loracarbef,loracarbef,exact,1.0
bronchitis,bronchitis,exact,1.0
prednisone,prednisone,exact,1.0
高钠血症,高钠血症,exact,1.0
flomoxef,flomoxef,exact,1.0
病原学检查,病原学检查,exact,1.0
抗组胺药,抗组胺药,exact,1.0
狗,狗,exact,1.0
发绀,发绀,exact,1.0
新生儿,新生儿,exact,1.0
病理检查,病理检查,exact,1.0
pet,pet,exact,1.0
便秘,便秘,exact,1.0
factive,factive,exact,1.0
盐酸吗啡,盐酸吗啡,exact,1.0
普鲁卡因青霉素,普鲁卡因青霉素,exact,1.0
sporotrichosis,sporotrichosis,exact,1.0
ad,ad,exact,1.0
罗库溴铵,罗库溴铵,exact,1.0
胸膜粘连,胸膜粘连,exact,1.0
煤炭工肺尘埃沉着病,煤炭工肺尘埃沉着病,exact,1.0
ketoconazole,ketoconazole,exact,1.0
tygacil,tygacil,exact,1.0
肺脓肿,肺脓肿,exact,1.0
抗细菌药,抗细菌药,exact,1.0
血小板减少,血小板减少,exact,1.0
急性会厌炎,急性会厌炎,exact,1.0
10mg,10mg,exact,1.0
过敏性鼻炎,过敏性鼻炎,exact,1.0
relenza,relenza,exact,1.0
ss,ss,exact,1.0
食管气管瘘,食管气管瘘,exact,1.0
职业性支气管哮喘,职业性支气管哮喘,exact,1.0
胸膜活检,胸膜活检,exact,1.0
免疫抑制剂,免疫抑制剂,exact,1.0
多杀巴斯德菌,多杀巴斯德菌,exact,1.0
多囊肺,多囊肺,exact,1.0
全血细胞减少症,全血细胞减少症,exact,1.0
孕妇,孕妇,exact,1.0
器官,器官,exact,1.0
伐地那非,伐地那非,exact,1.0
外科手术切除,外科手术切除,exact,1.0
疲倦,疲倦,exact,1.0
血栓,血栓,exact,1.0
低镁血症,低镁血症,exact,1.0
吉非替尼,吉非替尼,exact,1.0
胺碘酮,胺碘酮,exact,1.0
吡哌酸,吡哌酸,exact,1.0
灰黄霉素,灰黄霉素,exact,1.0
肺炎杆菌,肺炎杆菌,exact,1.0
5,5,exact,1.0
培养,培养,exact,1.0
咽肌痉挛,咽肌痉挛,exact,1.0
安慰剂,安慰剂,exact,1.0
20%,20%,exact,1.0
zygomycosis,zygomycosis,exact,1.0
支原体肺炎,支原体肺炎,exact,1.0
脑出血,脑出血,exact,1.0
耶氏肺孢子菌肺炎,耶氏肺孢子菌肺炎,exact,1.0
毛霉属,毛霉属,exact,1.0
肾脏,肾脏,exact,1.0
变应性支气管肺曲霉病,变应性支气管肺曲霉病,exact,1.0
肺部ct,肺部ct,exact,1.0
安泼那韦,安泼那韦,exact,1.0
胰岛素,胰岛素,exact,1.0
脓胸不伴有瘘,脓胸不伴有瘘,exact,1.0
乙硫异烟胺,乙硫异烟胺,exact,1.0
金霉素,金霉素,exact,1.0
心率加快,心率加快,exact,1.0
二盐酸奎宁注射液,二盐酸奎宁注射液,exact,1.0
焦虑,焦虑,exact,1.0
血培养,血培养,exact,1.0
慢性鼻窦炎,慢性鼻窦炎,exact,1.0
腺病毒,腺病毒感染引起,llm,0.9
拟杆菌属,拟杆菌属,exact,1.0
鹦鹉热,鹦鹉热,exact,1.0
b族链球菌,b族链球菌,exact,1.0
卡波西肉瘤,卡波西肉瘤,exact,1.0
消化道出血,消化道出血,exact,1.0
灼热感,灼热感,exact,1.0
青霉菌病,青霉菌病,exact,1.0
氢氧化钠,氢氧化钠,exact,1.0
超敏反应,超敏反应,exact,1.0
葡萄球菌性肺炎,葡萄球菌性肺炎,exact,1.0
流感病毒,流感病毒,exact,1.0
代谢性酸中毒,代谢性酸中毒,exact,1.0
肺不张,肺不张,exact,1.0
猝死,猝死,exact,1.0
低磷血症,低磷血症,exact,1.0
普通感冒,普通感冒,exact,1.0
免疫功能低下,免疫功能低下,exact,1.0
先天性喉喘鸣,先天性喉喘鸣,exact,1.0
并发症,并发症,exact,1.0
喉部,喉部,exact,1.0
阿霉素,阿霉素,exact,1.0
病理组织学检查,病理组织学检查,exact,1.0
鼻腔,鼻腔,exact,1.0
呼吸性疾患,呼吸性疾患,exact,1.0
呼吸道,呼吸道,exact,1.0
100mg,100mg,exact,1.0
青霉素g,青霉素g,exact,1.0
c2,c2,exact,1.0
哮喘,哮喘,exact,1.0
利福平,利福平,exact,1.0
气候,气候,exact,1.0
呼吸机相关肺炎,呼吸机相关肺炎,exact,1.0
水疱,水疱,exact,1.0
感染性疾病,感染性疾病,exact,1.0
肺部感染,肺部感染,exact,1.0
1,1,exact,1.0
xpert mtb/rif,xpert mtb/rif,exact,1.0
支原体,支原体,exact,1.0
呕血,呕血,exact,1.0
静脉给药,静脉给药,exact,1.0
炎症标志物,炎症标志物,exact,1.0
吸入糖皮质激素,吸入糖皮质激素,exact,1.0
低体温,低体温,exact,1.0
食物过敏,食物过敏,exact,1.0
祛痰药,祛痰药,exact,1.0
多粘菌素类,多粘菌素类,exact,1.0
大面积肺栓塞,大面积肺栓塞,exact,1.0
纵隔脓肿,纵隔脓肿,exact,1.0
水肿,水肿,exact,1.0
干扰素,干扰素,exact,1.0
组织胞浆菌病,组织胞浆菌病,exact,1.0
mri检查,mri检查,exact,1.0
抗胆碱能药物,抗胆碱能药物,exact,1.0
spect,spect,exact,1.0
氢氯噻嗪,氢氯噻嗪,exact,1.0
血清学诊断,血清学诊断,exact,1.0
芬氟拉明,芬氟拉明,exact,1.0
假单胞菌,假单胞菌,exact,1.0
地高辛,地高辛,exact,1.0
耳鸣,耳鸣,exact,1.0
中成药,中成药,exact,1.0
支气管炎,支气管炎,exact,1.0
腹泻,腹泻,exact,1.0
基线检测,基线检测,exact,1.0
过敏,过敏,exact,1.0
维库溴铵,维库溴铵,exact,1.0
磷霉素,磷霉素,exact,1.0
原发性肺动脉高压,原发性肺动脉高压,exact,1.0
念珠菌感染,念珠菌感染,exact,1.0
易感人群,易感人群,exact,1.0
美洲锥虫病,美洲锥虫病,exact,1.0
过敏性紫癜,过敏性紫癜,exact,1.0
鸟疫,鸟疫,exact,1.0
急性肺原性心脏病,急性肺原性心脏病,exact,1.0
头孢哌酮钠,头孢哌酮钠,exact,1.0
ancef,ancef,exact,1.0
感染科,感染科,exact,1.0
azithromycin,azithromycin,exact,1.0
磺胺药,磺胺药,exact,1.0
癫痫,癫痫,exact,1.0
levofloxacin,levofloxacin,exact,1.0
皮肤红斑,皮肤红斑,exact,1.0
膦甲酸,膦甲酸,exact,1.0
头孢美唑,头孢美唑,exact,1.0
急性支气管炎,急性支气管炎,exact,1.0
西咪替丁,西咪替丁,exact,1.0
g试验,g试验,exact,1.0
鼻息肉,鼻息肉,exact,1.0
机械通气,机械通气,exact,1.0
敏感,敏感,exact,1.0
流感嗜血杆菌性肺炎,流感嗜血杆菌性肺炎,exact,1.0
抗真菌药物,抗真菌药物,exact,1.0
泊沙康唑,泊沙康唑,exact,1.0
丙硫异烟胺,丙硫异烟胺,exact,1.0
新型隐球菌,新型隐球菌,exact,1.0
新霉素,新霉素,exact,1.0
创伤,创伤,exact,1.0
candidiasis,candidiasis,exact,1.0
新生儿鼻塞,新生儿鼻塞,exact,1.0
头孢噻肟钠,头孢噻肟钠,exact,1.0
休息,休息,exact,1.0
集束化治疗策略,集束化治疗策略,exact,1.0
抗酸染色涂片,抗酸染色涂片,exact,1.0
消瘦,消瘦,exact,1.0
慢性肺血栓栓塞症,慢性肺血栓栓塞症,exact,1.0
头孢曲松钠,头孢曲松钠,exact,1.0
体重减轻,体重减轻,exact,1.0
氨苄西林,氨苄西林,exact,1.0
睡眠障碍,睡眠障碍,exact,1.0
细支气管,细支气管,exact,1.0
核酸检测,核酸检测,exact,1.0
低钙血症,低钙血症,exact,1.0
重度感染,重度感染,exact,1.0
痰培养,痰培养,exact,1.0
捻发音,捻发音,exact,1.0
去甲万古霉素,去甲万古霉素,exact,1.0
刺痛,刺痛,exact,1.0
伏立康唑,伏立康唑,exact,1.0
厌氧菌感染,厌氧菌感染,exact,1.0
肺间质,肺间质,exact,1.0
溃疡分枝杆菌,溃疡分枝杆菌,exact,1.0
血管神经性水肿,血管神经性水肿,exact,1.0
输血,输血,exact,1.0
allergic bronchopulmonary aspergillosis,allergic bronchopulmonary aspergillosis,exact,1.0
血尿,血尿,exact,1.0
高铁血红蛋白血症,高铁血红蛋白血症,exact,1.0
hemoptysis,hemoptysis,exact,1.0
纳差,纳差,exact,1.0
minocycline,minocycline,exact,1.0
fev1,fev1,exact,1.0
减充血剂,减充血剂,exact,1.0
毒性表皮坏死,毒性表皮坏死,exact,1.0
老年人,老年人,exact,1.0
住院治疗,住院治疗,exact,1.0
肺泡蛋白沉积症,肺泡蛋白沉积症,exact,1.0
两性霉素b脂质复合物,两性霉素b脂质复合物,exact,1.0
胸腹水常规检查,胸腹水常规检查,exact,1.0
慢性阻塞性肺疾病,慢性阻塞性肺疾病,exact,1.0
羧苄西林,羧苄西林,exact,1.0
结节病,结节病,exact,1.0
英国,英国,exact,1.0
低血钾,低血钾,exact,1.0
咽,咽,exact,1.0
脱敏疗法,脱敏疗法,exact,1.0
中性粒细胞,中性粒细胞,exact,1.0
at,at,exact,1.0
昏迷,昏迷,exact,1.0
无,无,exact,1.0
组织病理检查,组织病理检查,exact,1.0
成人,成人,exact,1.0
羟氯喹,羟氯喹,exact,1.0
酮康唑,酮康唑,exact,1.0
阿米替林,阿米替林,exact,1.0
变形杆菌性肺炎,变形杆菌性肺炎,exact,1.0
铁剂,铁剂,exact,1.0
支气管结石,支气管结石,exact,1.0
预后良好,预后良好,exact,1.0
纵隔气肿,纵隔气肿,exact,1.0
美托洛尔,美托洛尔,exact,1.0
sd,sd,exact,1.0
鼻病毒,鼻病毒,exact,1.0
b型流感嗜血杆菌感染,b型流感嗜血杆菌感染,exact,1.0
组胺,组胺,exact,1.0
比西林,比西林,exact,1.0
棘球蚴病,棘球蚴病,exact,1.0
中性粒细胞减少症,中性粒细胞减少症,exact,1.0
kantrex,kantrex,exact,1.0
左肺下叶,左肺下叶,exact,1.0
niv,niv,exact,1.0
纵隔炎,纵隔炎,exact,1.0
重症肺炎,重症肺炎,exact,1.0
il-6,il-6,exact,1.0
偏肺病毒,偏肺病毒,exact,1.0
氯霉素,氯霉素,exact,1.0
脓气胸,脓气胸,exact,1.0
药物热,药物热,exact,1.0
丘疹,丘疹,exact,1.0
红细胞沉降率,红细胞沉降率,exact,1.0
酵母,酵母,exact,1.0
nse,nse,exact,1.0
哌拉西林,哌拉西林,exact,1.0
肝脏,肝脏,exact,1.0
慢性支气管炎,慢性支气管炎,exact,1.0
肺炎球菌,肺炎球菌,exact,1.0
考来烯胺,考来烯胺,exact,1.0
乙,乙,exact,1.0
苯唑西林,苯唑西林,exact,1.0
唾液,唾液,exact,1.0
流感病毒感染,流感病毒感染,exact,1.0
咽部,咽部,exact,1.0
皮肤隐球菌病,皮肤隐球菌病,exact,1.0
药物过敏反应,药物过敏反应,exact,1.0
意识模糊,意识模糊,exact,1.0
特康唑,特康唑,exact,1.0
急性咽喉炎,急性咽喉炎,exact,1.0
咳黏液痰,咳黏液痰,exact,1.0
面部,面部,exact,1.0
流感病毒疫苗,流感病毒疫苗,exact,1.0
阿洛西林,阿洛西林,exact,1.0
长期治疗,长期治疗,exact,1.0
脓疱,脓疱,exact,1.0
急性肺水肿,急性肺水肿,exact,1.0
嗜酸粒细胞增多,嗜酸粒细胞增多,exact,1.0
abelcet,abelcet,exact,1.0
眼底检查,眼底检查,exact,1.0
乙酰半胱氨酸,乙酰半胱氨酸,exact,1.0
沙雷菌属,沙雷菌属,exact,1.0
生化,生化,exact,1.0
头颈部,头颈部,exact,1.0
对乙酰氨基酚,对乙酰氨基酚,exact,1.0
包虫病,包虫病,exact,1.0
肺毛霉菌病,肺毛霉菌病,exact,1.0
关节肿痛,关节肿痛,exact,1.0
链球菌属,链球菌属,exact,1.0
胸壁,胸壁,exact,1.0
布康唑,布康唑,exact,1.0
雾化吸入,雾化吸入,exact,1.0
溶血性链球菌,溶血性链球菌,exact,1.0
肠杆菌属,肠杆菌属,exact,1.0
免疫功能低下者,免疫功能低下者,exact,1.0
替硝唑,替硝唑,exact,1.0
急性呼吸道感染,急性呼吸道感染,exact,1.0
利福霉素,利福霉素,exact,1.0
头孢妥仑匹酯,头孢妥仑匹酯,exact,1.0
polymyxin b,polymyxin b,exact,1.0
无创正压通气,无创正压通气,exact,1.0
胸膜炎,胸膜炎,exact,1.0
抗原检测,抗原检测,exact,1.0
咪达唑仑,咪达唑仑,exact,1.0
过敏性休克,过敏性休克,exact,1.0
学校,学校,exact,1.0
外周血白细胞计数,外周血白细胞计数,exact,1.0
胸腺素,胸腺素,exact,1.0
血红蛋白降低,血红蛋白降低,exact,1.0
侵入性操作,侵入性操作,exact,1.0
易激惹,易激惹,exact,1.0
乳酸脱氢酶,乳酸脱氢酶,exact,1.0
汉坦病毒肺综合征,汉坦病毒肺综合征,exact,1.0
pseudomonas aeruginosa,pseudomonas aeruginosa,exact,1.0
胃肠,胃肠,exact,1.0
治疗用药,治疗用药,exact,1.0
imipenem/cilastatin,imipenem/cilastatin,exact,1.0
pcr,pcr,exact,1.0
死亡率高,死亡率高,exact,1.0
gentamicin,gentamicin,exact,1.0
肺栓塞,肺栓塞,exact,1.0
革兰阴性菌感染,革兰阴性菌感染,exact,1.0
肺隐球菌病,肺隐球菌病,exact,1.0
避免刺激物,避免刺激物,exact,1.0
克雷伯菌,克雷伯菌,exact,1.0
声嘶,声嘶,exact,1.0
流行性斑疹伤寒,流行性斑疹伤寒,exact,1.0
隐球菌脑膜炎,隐球菌脑膜炎,exact,1.0
头孢哌酮,头孢哌酮,exact,1.0
喹诺酮类药物,喹诺酮类药物,exact,1.0
青霉素,青霉素,exact,1.0
电解质,电解质,exact,1.0
马尔尼菲青霉菌病,马尔尼菲青霉菌病,exact,1.0
fuzeon,fuzeon,exact,1.0
多巴酚丁胺,多巴酚丁胺,exact,1.0
legionella pneumonia,legionella pneumonia,exact,1.0
盐酸米诺环素,盐酸米诺环素,exact,1.0
齐多夫定,齐多夫定,exact,1.0
戊烷脒,戊烷脒,exact,1.0
低热,低热,exact,1.0
潮红,潮红,exact,1.0
茶碱,茶碱,exact,1.0
肺炎链球菌,肺炎链球菌,exact,1.0
辅助通气,辅助通气,exact,1.0
环孢素a,环孢素a,exact,1.0
环丙沙星,环丙沙星,exact,1.0
滑石粉尘肺,滑石粉尘肺,exact,1.0
polymyxin b sulfate,polymyxin b sulfate,exact,1.0
引流管,引流管,exact,1.0
脂质体两性霉素,脂质体两性霉素,exact,1.0
哮喘性肺炎,哮喘性肺炎,exact,1.0
pcr技术,pcr技术,exact,1.0
地霉病,地霉病,exact,1.0
柳氮磺吡啶,柳氮磺吡啶,exact,1.0
骨髓移植,骨髓移植,exact,1.0
蛔虫病,蛔虫病,exact,1.0
支气管肺炎,支气管肺炎,exact,1.0
嗜酸性粒细胞增多,嗜酸性粒细胞增多,exact,1.0
转氨酶升高,转氨酶升高,exact,1.0
超声心动图,超声心动图,exact,1.0
磺胺甲噁唑-甲氧苄啶,磺胺甲噁唑-甲氧苄啶,exact,1.0
托氟沙星,托氟沙星,exact,1.0
乙胺嘧啶,乙胺嘧啶,exact,1.0
胸闷,胸闷,exact,1.0
