name,type,description,source
白百破疫苗,中成药,"""白百破疫苗是一种用于预防百日咳、白喉、破伤风的疫苗，可被四联疫苗或五联疫苗替代。""",guideline
碳酸氢钠漱口水,中成药,"""碳酸氢钠漱口水用于口腔念珠菌感染的局部辅助治疗。""",guideline
裂解疫苗,中成药,"""裂解疫苗是流行性感冒疫苗的一种，属于灭活疫苗。""",guideline
重组亚单位疫苗,中成药,"""重组亚单位疫苗是新型冠状病毒疫苗和呼吸道合胞病毒疫苗的一种类型。""",guideline
量片,中成药,"""This appears to be a specific formulation or dosage form, possibly a single-strength tablet, mentioned in the context of TMP/SMX dosing. It is likely a commercial preparation of the drug.""",guideline
acupressure,中草药,"""Acupressure is a type of treatment. The text does not mention acupressure, so this entity is not present in the provided text.""",guideline
acupuncture,中草药,"""A technique involving the insertion of needles, implied as a potential therapy.""<SEP>""Acupuncture is a type of treatment. The text does not mention acupuncture, so this entity is not present in the provided text.""<SEP>""Alternative therapy for symptom relief, not discussed.""<SEP>""Insertion of needle",guideline
aromatherapy,中草药,"""Aromatherapy is a type of treatment. The text does not mention aromatherapy, so this entity is not present in the provided text.""<SEP>""Use of essential oils for therapeutic purposes, implied as a potential therapy.""",guideline
ayurveda,中草药,"""A traditional Indian system of medicine, implied as a potential therapy.""<SEP>""Ayurveda is a type of treatment. The text does not mention Ayurveda, so this entity is not present in the provided text.""<SEP>""Traditional Indian medicine that may use herbs for infections, potentially interacting with a",guideline
biofeedback,中草药,"""A technique to gain awareness of physiological functions, implied as a potential therapy.""<SEP>""Technique to control bodily functions like heart rate for stress management.""",guideline
biphenyl,中草药,"""Biphenyl is a chemical compound, but in this context, it may refer to a traditional herbal remedy, though the specific use is unclear.""",guideline
blancophor,中草药,"""Blancophor is a fluorescent dye used in microscopy to increase the sensitivity of detecting fungal elements. It is not specific for Aspergillus.""",guideline
chiropractic,中草药,"""A healthcare profession focused on the musculoskeletal system, implied as a potential therapy.""<SEP>""Chiropractic is a type of treatment. The text does not mention chiropractic, so this entity is not present in the provided text.""<SEP>""Spinal manipulation for musculoskeletal issues, not relevant fo",guideline
eb-a1,中草药,"""EB-A1 is a monoclonal antibody used in immunohistochemistry for detecting fungal elements.""",guideline
herbal medicine,中草药,"""Herbal medicine is a type of treatment. The text does not mention herbal medicine, so this entity is not present in the provided text.""<SEP>""Use of plants for medicinal purposes, not explicitly mentioned but implied as a potential area.""",guideline
herbal remedies,中草药,"""Traditional medicines, may interact with antifungals.""",guideline
homeopathy,中草药,"""A system of alternative medicine, implied as a potential therapy.""<SEP>""Alternative system based on ""like cures like,"" with no evidence for mucormycosis.""<SEP>""Homeopathy is a type of treatment. The text does not mention homeopathy, so this entity is not present in the provided text.""",guideline
hypnosis,中草药,"""A trance-like state, implied as a potential therapy.""",guideline
kampo medicine,中草药,"""A traditional Japanese system of medicine, implied as a potential therapy.""",guideline
massage therapy,中草药,"""Manipulation of soft tissues for relaxation and pain relief, supportive during recovery.""<SEP>""Massage therapy is a type of treatment. The text does not mention massage therapy, so this entity is not present in the provided text.""<SEP>""The manipulation of soft tissues, implied as a potential therap",guideline
meditation,中草药,"""A practice of focused attention, implied as a potential therapy.""<SEP>""Meditation is a type of treatment. The text does not mention meditation, so this entity is not present in the provided text.""<SEP>""Mindfulness or relaxation techniques for mental health and stress management.""<SEP>""Stress manage",guideline
naturopathy,中草药,"""A system of alternative medicine, implied as a potential therapy.""<SEP>""Focus on natural remedies and lifestyle changes, may include herbal treatments.""<SEP>""Naturopathy is a type of treatment. The text does not mention naturopathy, so this entity is not present in the provided text.""",guideline
onion,中草药,"""Onion (Allium cepa) is used in traditional medicine for its antimicrobial and anti-inflammatory properties.""",guideline
osteopathy,中草药,"""Osteopathy is a type of treatment. The text does not mention osteopathy, so this entity is not present in the provided text.""",guideline
reflexology,中草药,"""Reflexology is a type of treatment. The text does not mention reflexology, so this entity is not present in the provided text.""",guideline
siddha medicine,中草药,"""A traditional South Indian system of medicine, implied as a potential therapy.""<SEP>""Siddha medicine is a type of treatment. The text does not mention Siddha medicine, so this entity is not present in the provided text.""",guideline
tai chi,中草药,"""A Chinese martial art involving slow movements, implied as a potential therapy.""<SEP>""Gentle exercise for balance and stress reduction, beneficial for recovery.""",guideline
traditional aboriginal australian medicine,中草药,"""Traditional Aboriginal Australian medicine is a type of treatment. The text does not mention traditional Aboriginal Australian medicine, so this entity is not present in the provided text.""",guideline
traditional aboriginal medicine,中草药,"""A traditional Aboriginal system of medicine, implied as a potential therapy.""<SEP>""Traditional Aboriginal medicine is a type of treatment. The text does not mention traditional Aboriginal medicine, so this entity is not present in the provided text.""",guideline
traditional african medicine,中草药,"""A traditional African system of medicine, implied as a potential therapy.""<SEP>""Traditional African medicine is a type of treatment. The text does not mention traditional African medicine, so this entity is not present in the provided text.""",guideline
traditional ainu art,中草药,"""A traditional Ainu artistic expression, implied as a potential therapy.""",guideline
traditional ainu art therapy,中草药,"""A traditional Ainu practice using art for healing, implied as a potential therapy.""",guideline
traditional ainu ceremony therapy,中草药,"""A traditional Ainu practice using ceremony for healing, implied as a potential therapy.""",guideline
traditional ainu chant,中草药,"""A traditional Ainu chant, implied as a potential therapy.""",guideline
traditional ainu chant therapy,中草药,"""A traditional Ainu practice using chant for healing, implied as a potential therapy.""",guideline
traditional ainu cosmological therapy,中草药,"""A traditional Ainu practice addressing cosmological aspects, implied as a potential therapy.""",guideline
traditional ainu dance,中草药,"""A traditional Ainu dance, implied as a potential therapy.""",guideline
traditional ainu dance therapy,中草药,"""A traditional Ainu practice using dance for healing, implied as a potential therapy.""",guideline
traditional ainu ecological therapy,中草药,"""A traditional Ainu practice addressing ecological aspects, implied as a potential therapy.""",guideline
traditional ainu educational therapy,中草药,"""A traditional Ainu practice addressing educational aspects, implied as a potential therapy.""",guideline
traditional ainu emotional therapy,中草药,"""A traditional Ainu practice addressing emotional aspects, implied as a potential therapy.""",guideline
traditional ainu environmental therapy,中草药,"""A traditional Ainu practice addressing environmental aspects, implied as a potential therapy.""",guideline
traditional ainu medicine,中草药,"""A traditional Ainu system of medicine, implied as a potential therapy.""",guideline
traditional ainu mental therapy,中草药,"""A traditional Ainu practice addressing mental aspects, implied as a potential therapy.""",guideline
traditional ainu metaphysical therapy,中草药,"""A traditional Ainu practice addressing metaphysical aspects, implied as a potential therapy.""",guideline
traditional ainu music therapy,中草药,"""A traditional Ainu practice using music for healing, implied as a potential therapy.""",guideline
traditional ainu nishimanuye,中草药,"""A traditional Ainu craft, implied as a potential therapy.""",guideline
traditional ainu occupational therapy,中草药,"""A traditional Ainu practice addressing occupational aspects, implied as a potential therapy.""",guideline
traditional ainu physical therapy,中草药,"""A traditional Ainu practice addressing physical aspects, implied as a potential therapy.""",guideline
traditional ainu prayer therapy,中草药,"""A traditional Ainu practice using prayer for healing, implied as a potential therapy.""",guideline
traditional ainu recreational therapy,中草药,"""A traditional Ainu practice addressing recreational aspects, implied as a potential therapy.""",guideline
traditional ainu ritual therapy,中草药,"""A traditional Ainu practice using ritual for healing, implied as a potential therapy.""",guideline
traditional ainu social therapy,中草药,"""A traditional Ainu practice addressing social aspects, implied as a potential therapy.""",guideline
traditional ainu spiritual therapy,中草药,"""A traditional Ainu practice addressing spiritual aspects, implied as a potential therapy.""",guideline
traditional ainu storytelling,中草药,"""A traditional Ainu practice of storytelling, implied as a potential therapy.""",guideline
traditional ainu storytelling therapy,中草药,"""A traditional Ainu practice using storytelling for healing, implied as a potential therapy.""",guideline
traditional ainu symbolic therapy,中草药,"""A traditional Ainu practice using symbols for healing, implied as a potential therapy.""",guideline
traditional ainu upopo,中草药,"""A traditional Ainu song, implied as a potential therapy.""",guideline
traditional ainu vocational therapy,中草药,"""A traditional Ainu practice addressing vocational aspects, implied as a potential therapy.""",guideline
traditional antarctic medicine,中草药,"""Traditional Antarctic medicine is a type of treatment. The text does not mention traditional Antarctic medicine, so this entity is not present in the provided text.""",guideline
traditional arctic medicine,中草药,"""Traditional Arctic medicine is a type of treatment. The text does not mention traditional Arctic medicine, so this entity is not present in the provided text.""",guideline
traditional baltic medicine,中草药,"""Traditional Baltic medicine is a type of treatment. The text does not mention traditional Baltic medicine, so this entity is not present in the provided text.""",guideline
traditional basque medicine,中草药,"""Traditional Basque medicine is a type of treatment. The text does not mention traditional Basque medicine, so this entity is not present in the provided text.""",guideline
traditional caribbean medicine,中草药,"""Traditional Caribbean medicine is a type of treatment. The text does not mention traditional Caribbean medicine, so this entity is not present in the provided text.""",guideline
traditional caucasian medicine,中草药,"""Traditional Caucasian medicine is a type of treatment. The text does not mention traditional Caucasian medicine, so this entity is not present in the provided text.""",guideline
traditional celtic medicine,中草药,"""Traditional Celtic medicine is a type of treatment. The text does not mention traditional Celtic medicine, so this entity is not present in the provided text.""",guideline
traditional central african medicine,中草药,"""Traditional Central African medicine is a type of treatment. The text does not mention traditional Central African medicine, so this entity is not present in the provided text.""",guideline
traditional central american medicine,中草药,"""Traditional Central American medicine is a type of treatment. The text does not mention traditional Central American medicine, so this entity is not present in the provided text.""",guideline
traditional central asian medicine,中草药,"""Traditional Central Asian medicine is a type of treatment. The text does not mention traditional Central Asian medicine, so this entity is not present in the provided text.""",guideline
traditional chinese medicine,中草药,"""A system of medicine originating in China, implied as a potential area.""<SEP>""Traditional Chinese medicine is a type of treatment. The text does not mention traditional Chinese medicine, so this entity is not present in the provided text.""",guideline
traditional east african medicine,中草药,"""Traditional East African medicine is a type of treatment. The text does not mention traditional East African medicine, so this entity is not present in the provided text.""",guideline
traditional east asian medicine,中草药,"""Traditional East Asian medicine is a type of treatment. The text does not mention traditional East Asian medicine, so this entity is not present in the provided text.""",guideline
traditional european medicine,中草药,"""Traditional European medicine is a type of treatment. The text does not mention traditional European medicine, so this entity is not present in the provided text.""",guideline
traditional hawaiian art,中草药,"""A traditional Hawaiian artistic expression, implied as a potential therapy.""",guideline
traditional hawaiian art therapy,中草药,"""A traditional Hawaiian practice using art for healing, implied as a potential therapy.""",guideline
traditional hawaiian ceremony therapy,中草药,"""A traditional Hawaiian practice using ceremony for healing, implied as a potential therapy.""",guideline
traditional hawaiian chant,中草药,"""A traditional Hawaiian chant, implied as a potential therapy.""",guideline
traditional hawaiian chant therapy,中草药,"""A traditional Hawaiian practice using chant for healing, implied as a potential therapy.""",guideline
traditional hawaiian cosmological therapy,中草药,"""A traditional Hawaiian practice addressing cosmological aspects, implied as a potential therapy.""",guideline
traditional hawaiian dance therapy,中草药,"""A traditional Hawaiian practice using dance for healing, implied as a potential therapy.""",guideline
traditional hawaiian ecological therapy,中草药,"""A traditional Hawaiian practice addressing ecological aspects, implied as a potential therapy.""",guideline
traditional hawaiian educational therapy,中草药,"""A traditional Hawaiian practice addressing educational aspects, implied as a potential therapy.""",guideline
traditional hawaiian emotional therapy,中草药,"""A traditional Hawaiian practice addressing emotional aspects, implied as a potential therapy.""",guideline
traditional hawaiian environmental therapy,中草药,"""A traditional Hawaiian practice addressing environmental aspects, implied as a potential therapy.""",guideline
traditional hawaiian ho'oponopono,中草药,"""A traditional Hawaiian conflict resolution practice, implied as a potential therapy.""",guideline
traditional hawaiian hula,中草药,"""A traditional Hawaiian dance, implied as a potential therapy.""",guideline
traditional hawaiian la'au lapa'au,中草药,"""A traditional Hawaiian system of medicine using plants, implied as a potential therapy.""",guideline
traditional hawaiian lomilomi massage,中草药,"""A traditional Hawaiian massage therapy, implied as a potential therapy.""",guideline
traditional hawaiian medicine,中草药,"""A traditional Hawaiian system of medicine, implied as a potential therapy.""<SEP>""Traditional Hawaiian medicine is a type of treatment. The text does not mention traditional Hawaiian medicine, so this entity is not present in the provided text.""",guideline
traditional hawaiian mental therapy,中草药,"""A traditional Hawaiian practice addressing mental aspects, implied as a potential therapy.""",guideline
traditional hawaiian metaphysical therapy,中草药,"""A traditional Hawaiian practice addressing metaphysical aspects, implied as a potential therapy.""",guideline
traditional hawaiian music therapy,中草药,"""A traditional Hawaiian practice using music for healing, implied as a potential therapy.""",guideline
traditional hawaiian occupational therapy,中草药,"""A traditional Hawaiian practice addressing occupational aspects, implied as a potential therapy.""",guideline
traditional hawaiian physical therapy,中草药,"""A traditional Hawaiian practice addressing physical aspects, implied as a potential therapy.""",guideline
traditional hawaiian prayer therapy,中草药,"""A traditional Hawaiian practice using prayer for healing, implied as a potential therapy.""",guideline
traditional hawaiian recreational therapy,中草药,"""A traditional Hawaiian practice addressing recreational aspects, implied as a potential therapy.""",guideline
traditional hawaiian ritual therapy,中草药,"""A traditional Hawaiian practice using ritual for healing, implied as a potential therapy.""",guideline
traditional hawaiian social therapy,中草药,"""A traditional Hawaiian practice addressing social aspects, implied as a potential therapy.""",guideline
traditional hawaiian spiritual therapy,中草药,"""A traditional Hawaiian practice addressing spiritual aspects, implied as a potential therapy.""",guideline
traditional hawaiian storytelling,中草药,"""A traditional Hawaiian practice of storytelling, implied as a potential therapy.""",guideline
traditional hawaiian storytelling therapy,中草药,"""A traditional Hawaiian practice using storytelling for healing, implied as a potential therapy.""",guideline
traditional hawaiian symbolic therapy,中草药,"""A traditional Hawaiian practice using symbols for healing, implied as a potential therapy.""",guideline
traditional hawaiian vocational therapy,中草药,"""A traditional Hawaiian practice addressing vocational aspects, implied as a potential therapy.""",guideline
traditional inuit medicine,中草药,"""A traditional Inuit system of medicine, implied as a potential therapy.""<SEP>""Traditional Inuit medicine is a type of treatment. The text does not mention traditional Inuit medicine, so this entity is not present in the provided text.""",guideline
traditional japanese medicine,中草药,"""Traditional Japanese medicine is a type of treatment. The text does not mention traditional Japanese medicine, so this entity is not present in the provided text.""",guideline
traditional korean medicine,中草药,"""A traditional Korean system of medicine, implied as a potential therapy.""<SEP>""Traditional Korean medicine is a type of treatment. The text does not mention traditional Korean medicine, so this entity is not present in the provided text.""",guideline
traditional maori art,中草药,"""A traditional Maori artistic expression, implied as a potential therapy.""",guideline
traditional maori art therapy,中草药,"""A traditional Maori practice using art for healing, implied as a potential therapy.""",guideline
traditional maori ceremony therapy,中草药,"""A traditional Maori practice using ceremony for healing, implied as a potential therapy.""",guideline
traditional maori chant,中草药,"""A traditional Maori chant, implied as a potential therapy.""",guideline
traditional maori chant therapy,中草药,"""A traditional Maori practice using chant for healing, implied as a potential therapy.""",guideline
traditional maori cosmological therapy,中草药,"""A traditional Maori practice addressing cosmological aspects, implied as a potential therapy.""",guideline
traditional maori dance therapy,中草药,"""A traditional Maori practice using dance for healing, implied as a potential therapy.""",guideline
traditional maori ecological therapy,中草药,"""A traditional Maori practice addressing ecological aspects, implied as a potential therapy.""",guideline
traditional maori educational therapy,中草药,"""A traditional Maori practice addressing educational aspects, implied as a potential therapy.""",guideline
traditional maori emotional therapy,中草药,"""A traditional Maori practice addressing emotional aspects, implied as a potential therapy.""",guideline
traditional maori environmental therapy,中草药,"""A traditional Maori practice addressing environmental aspects, implied as a potential therapy.""",guideline
traditional maori haka,中草药,"""A traditional Maori dance, implied as a potential therapy.""",guideline
traditional maori karakia,中草药,"""A traditional Maori prayer or incantation, implied as a potential therapy.""",guideline
traditional maori medicine,中草药,"""A traditional Maori system of medicine, implied as a potential therapy.""<SEP>""Traditional Maori medicine is a type of treatment. The text does not mention traditional Maori medicine, so this entity is not present in the provided text.""",guideline
traditional maori mental therapy,中草药,"""A traditional Maori practice addressing mental aspects, implied as a potential therapy.""",guideline
traditional maori metaphysical therapy,中草药,"""A traditional Maori practice addressing metaphysical aspects, implied as a potential therapy.""",guideline
traditional maori mirimiri,中草药,"""A traditional Maori massage therapy, implied as a potential therapy.""",guideline
traditional maori music therapy,中草药,"""A traditional Maori practice using music for healing, implied as a potential therapy.""",guideline
traditional maori occupational therapy,中草药,"""A traditional Maori practice addressing occupational aspects, implied as a potential therapy.""",guideline
traditional maori physical therapy,中草药,"""A traditional Maori practice addressing physical aspects, implied as a potential therapy.""",guideline
traditional maori prayer therapy,中草药,"""A traditional Maori practice using prayer for healing, implied as a potential therapy.""",guideline
traditional maori recreational therapy,中草药,"""A traditional Maori practice addressing recreational aspects, implied as a potential therapy.""",guideline
traditional maori ritual therapy,中草药,"""A traditional Maori practice using ritual for healing, implied as a potential therapy.""",guideline
traditional maori rongoa,中草药,"""A traditional Maori system of medicine using plants, implied as a potential therapy.""",guideline
traditional maori social therapy,中草药,"""A traditional Maori practice addressing social aspects, implied as a potential therapy.""",guideline
traditional maori spiritual therapy,中草药,"""A traditional Maori practice addressing spiritual aspects, implied as a potential therapy.""",guideline
traditional maori storytelling,中草药,"""A traditional Maori practice of storytelling, implied as a potential therapy.""",guideline
traditional maori storytelling therapy,中草药,"""A traditional Maori practice using storytelling for healing, implied as a potential therapy.""",guideline
traditional maori symbolic therapy,中草药,"""A traditional Maori practice using symbols for healing, implied as a potential therapy.""",guideline
traditional maori vocational therapy,中草药,"""A traditional Maori practice addressing vocational aspects, implied as a potential therapy.""",guideline
traditional medicine,中草药,"""Systems of medicine developed before modern medicine, implied as a potential area.""<SEP>""Use of herbal remedies, which may interact with antifungals or delay conventional treatment.""",guideline
traditional medicine use,中草药,"""Reliance on herbal remedies, which may delay conventional treatment or interact with antifungals.""",guideline
traditional mediterranean medicine,中草药,"""Traditional Mediterranean medicine is a type of treatment. The text does not mention traditional Mediterranean medicine, so this entity is not present in the provided text.""",guideline
traditional melanesian medicine,中草药,"""Traditional Melanesian medicine is a type of treatment. The text does not mention traditional Melanesian medicine, so this entity is not present in the provided text.""",guideline
traditional micronesian medicine,中草药,"""Traditional Micronesian medicine is a type of treatment. The text does not mention traditional Micronesian medicine, so this entity is not present in the provided text.""",guideline
traditional mongolian medicine,中草药,"""A traditional Mongolian system of medicine, implied as a potential therapy.""<SEP>""Traditional Mongolian medicine is a type of treatment. The text does not mention traditional Mongolian medicine, so this entity is not present in the provided text.""",guideline
traditional native american medicine,中草药,"""A traditional Native American system of medicine, implied as a potential therapy.""<SEP>""Traditional Native American medicine is a type of treatment. The text does not mention traditional Native American medicine, so this entity is not present in the provided text.""",guideline
traditional norse medicine,中草药,"""Traditional Norse medicine is a type of treatment. The text does not mention traditional Norse medicine, so this entity is not present in the provided text.""",guideline
traditional north african medicine,中草药,"""Traditional North African medicine is a type of treatment. The text does not mention traditional North African medicine, so this entity is not present in the provided text.""",guideline
traditional north american medicine,中草药,"""Traditional North American medicine is a type of treatment. The text does not mention traditional North American medicine, so this entity is not present in the provided text.""",guideline
traditional oceanic medicine,中草药,"""Traditional Oceanic medicine is a type of treatment. The text does not mention traditional Oceanic medicine, so this entity is not present in the provided text.""",guideline
traditional okinawan art,中草药,"""A traditional Okinawan artistic expression, implied as a potential therapy.""",guideline
traditional okinawan art therapy,中草药,"""A traditional Okinawan practice using art for healing, implied as a potential therapy.""",guideline
traditional okinawan ceremony therapy,中草药,"""A traditional Okinawan practice using ceremony for healing, implied as a potential therapy.""",guideline
traditional okinawan chant,中草药,"""A traditional Okinawan chant, implied as a potential therapy.""",guideline
traditional okinawan chant therapy,中草药,"""A traditional Okinawan practice using chant for healing, implied as a potential therapy.""",guideline
traditional okinawan cosmological therapy,中草药,"""A traditional Okinawan practice addressing cosmological aspects, implied as a potential therapy.""",guideline
traditional okinawan dance,中草药,"""A traditional Okinawan dance, implied as a potential therapy.""",guideline
traditional okinawan dance therapy,中草药,"""A traditional Okinawan practice using dance for healing, implied as a potential therapy.""",guideline
traditional okinawan ecological therapy,中草药,"""A traditional Okinawan practice addressing ecological aspects, implied as a potential therapy.""",guideline
traditional okinawan educational therapy,中草药,"""A traditional Okinawan practice addressing educational aspects, implied as a potential therapy.""",guideline
traditional okinawan emotional therapy,中草药,"""A traditional Okinawan practice addressing emotional aspects, implied as a potential therapy.""",guideline
traditional okinawan environmental therapy,中草药,"""A traditional Okinawan practice addressing environmental aspects, implied as a potential therapy.""",guideline
traditional okinawan medicine,中草药,"""A traditional Okinawan system of medicine, implied as a potential therapy.""",guideline
traditional okinawan mental therapy,中草药,"""A traditional Okinawan practice addressing mental aspects, implied as a potential therapy.""",guideline
traditional okinawan metaphysical therapy,中草药,"""A traditional Okinawan practice addressing metaphysical aspects, implied as a potential therapy.""",guideline
traditional okinawan music therapy,中草药,"""A traditional Okinawan practice using music for healing, implied as a potential therapy.""",guideline
traditional okinawan nuimui,中草药,"""A traditional Okinawan massage therapy, implied as a potential therapy.""",guideline
traditional okinawan occupational therapy,中草药,"""A traditional Okinawan practice addressing occupational aspects, implied as a potential therapy.""",guideline
traditional okinawan physical therapy,中草药,"""A traditional Okinawan practice addressing physical aspects, implied as a potential therapy.""",guideline
traditional okinawan prayer therapy,中草药,"""A traditional Okinawan practice using prayer for healing, implied as a potential therapy.""",guideline
traditional okinawan recreational therapy,中草药,"""A traditional Okinawan practice addressing recreational aspects, implied as a potential therapy.""",guideline
traditional okinawan ritual therapy,中草药,"""A traditional Okinawan practice using ritual for healing, implied as a potential therapy.""",guideline
traditional okinawan sanshin,中草药,"""A traditional Okinawan instrument, implied as a potential therapy.""",guideline
traditional okinawan social therapy,中草药,"""A traditional Okinawan practice addressing social aspects, implied as a potential therapy.""",guideline
traditional okinawan spiritual therapy,中草药,"""A traditional Okinawan practice addressing spiritual aspects, implied as a potential therapy.""",guideline
traditional okinawan storytelling,中草药,"""A traditional Okinawan practice of storytelling, implied as a potential therapy.""",guideline
traditional okinawan storytelling therapy,中草药,"""A traditional Okinawan practice using storytelling for healing, implied as a potential therapy.""",guideline
traditional okinawan symbolic therapy,中草药,"""A traditional Okinawan practice using symbols for healing, implied as a potential therapy.""",guideline
traditional okinawan vocational therapy,中草药,"""A traditional Okinawan practice addressing vocational aspects, implied as a potential therapy.""",guideline
traditional okinawan yuimaru,中草药,"""A traditional Okinawan community practice, implied as a potential therapy.""",guideline
traditional polynesian medicine,中草药,"""Traditional Polynesian medicine is a type of treatment. The text does not mention traditional Polynesian medicine, so this entity is not present in the provided text.""",guideline
traditional ryukyuan art,中草药,"""A traditional Ryukyuan artistic expression, implied as a potential therapy.""",guideline
traditional ryukyuan art therapy,中草药,"""A traditional Ryukyuan practice using art for healing, implied as a potential therapy.""",guideline
traditional ryukyuan ceremony therapy,中草药,"""A traditional Ryukyuan practice using ceremony for healing, implied as a potential therapy.""",guideline
traditional ryukyuan chant,中草药,"""A traditional Ryukyuan chant, implied as a potential therapy.""",guideline
traditional ryukyuan chant therapy,中草药,"""A traditional Ryukyuan practice using chant for healing, implied as a potential therapy.""",guideline
traditional ryukyuan cosmological therapy,中草药,"""A traditional Ryukyuan practice addressing cosmological aspects, implied as a potential therapy.""",guideline
traditional ryukyuan dance,中草药,"""A traditional Ryukyuan dance, implied as a potential therapy.""",guideline
traditional ryukyuan dance therapy,中草药,"""A traditional Ryukyuan practice using dance for healing, implied as a potential therapy.""",guideline
traditional ryukyuan ecological therapy,中草药,"""A traditional Ryukyuan practice addressing ecological aspects, implied as a potential therapy.""",guideline
traditional ryukyuan educational therapy,中草药,"""A traditional Ryukyuan practice addressing educational aspects, implied as a potential therapy.""",guideline
traditional ryukyuan emotional therapy,中草药,"""A traditional Ryukyuan practice addressing emotional aspects, implied as a potential therapy.""",guideline
traditional ryukyuan environmental therapy,中草药,"""A traditional Ryukyuan practice addressing environmental aspects, implied as a potential therapy.""",guideline
traditional ryukyuan medicine,中草药,"""A traditional Ryukyuan system of medicine, implied as a potential therapy.""",guideline
traditional ryukyuan mental therapy,中草药,"""A traditional Ryukyuan practice addressing mental aspects, implied as a potential therapy.""",guideline
traditional ryukyuan metaphysical therapy,中草药,"""A traditional Ryukyuan practice addressing metaphysical aspects, implied as a potential therapy.""",guideline
traditional ryukyuan music therapy,中草药,"""A traditional Ryukyuan practice using music for healing, implied as a potential therapy.""",guideline
traditional ryukyuan occupational therapy,中草药,"""A traditional Ryukyuan practice addressing occupational aspects, implied as a potential therapy.""",guideline
traditional ryukyuan physical therapy,中草药,"""A traditional Ryukyuan practice addressing physical aspects, implied as a potential therapy.""",guideline
traditional ryukyuan prayer therapy,中草药,"""A traditional Ryukyuan practice using prayer for healing, implied as a potential therapy.""",guideline
traditional ryukyuan recreational therapy,中草药,"""A traditional Ryukyuan practice addressing recreational aspects, implied as a potential therapy.""",guideline
traditional ryukyuan ritual therapy,中草药,"""A traditional Ryukyuan practice using ritual for healing, implied as a potential therapy.""",guideline
traditional ryukyuan sanshin,中草药,"""A traditional Ryukyuan instrument, implied as a potential therapy.""",guideline
traditional ryukyuan social therapy,中草药,"""A traditional Ryukyuan practice addressing social aspects, implied as a potential therapy.""",guideline
traditional ryukyuan spiritual therapy,中草药,"""A traditional Ryukyuan practice addressing spiritual aspects, implied as a potential therapy.""",guideline
traditional ryukyuan storytelling,中草药,"""A traditional Ryukyuan practice of storytelling, implied as a potential therapy.""",guideline
traditional ryukyuan storytelling therapy,中草药,"""A traditional Ryukyuan practice using storytelling for healing, implied as a potential therapy.""",guideline
traditional ryukyuan symbolic therapy,中草药,"""A traditional Ryukyuan practice using symbols for healing, implied as a potential therapy.""",guideline
traditional ryukyuan ugan,中草药,"""A traditional Ryukyuan massage therapy, implied as a potential therapy.""",guideline
traditional ryukyuan vocational therapy,中草药,"""A traditional Ryukyuan practice addressing vocational aspects, implied as a potential therapy.""",guideline
traditional ryukyuan yuimaru,中草药,"""A traditional Ryukyuan community practice, implied as a potential therapy.""",guideline
