:ID,name,type,:LABEL,description,source
e_8eba6156a26f,疫苗,其他治疗,其他治疗,"""""A biological preparation that provides active acquired immunity to a particular infectious disease.""""<SEP>""""Vaccines are a potential preventive measure for SFTS, though not mentioned in the text, they are a standard approach for infectious diseases.""""<SEP>""""一类用于预防传染病的生物制品。""""<SEP>""""疫苗对脑脓肿的预防作用有限。""""<SEP>""""疫苗","medical_kg,guideline"
e_c5af45aa45c1,磷,药物,药物,nan,medical_kg
e_18acf4bba716,磷酸一钠,药物,药物,nan,medical_kg
e_a0b763d871b9,糖,药物,药物,nan,medical_kg
e_60ac0930beb5,纽莫法,西药,西药,nan,medical_kg
e_1ef2588693c5,磷酸二钠,药物,药物,nan,medical_kg
e_0f1cb05516be,肺炎,疾病,疾病,肺炎是一种肺部的炎症性疾病，通常由细菌、病毒、真菌等多种病原体引起，属于急性下呼吸道感染的一种。作为老年人群常见的高危感染性疾病，其发生风险受多种慢性基础疾病的影响。  根据病原体不同，肺炎可分为多种类型，包括社区获得性肺炎（CAP）、医院获得性肺炎（HAP）和呼吸机相关性肺炎（VAP）。在成人社区获得性肺炎中，最常见的病原体是肺炎链球菌和肺炎支原体，重症患者中流感病毒、肺炎链球菌、肠杆菌目细菌及嗜肺军团菌感染多见。此外，巨细胞病毒、人偏肺病毒、SARS病毒、铜绿假单胞菌（PA）以及多重耐药鲍曼不动杆菌（XDR-AB、CRAB）等也是常见的致病菌，其中多重耐药鲍曼不动杆菌感染主要表现为肺炎。  | 肺炎常由肺炎链球菌引起，需根据药敏结果选择抗生素。,"medical_kg,guideline,llm_inferred"
e_a406d158e7ef,血管神经性水肿,症状,症状,"""""皮下组织或黏膜的局限性水肿，常由过敏反应引起，可由氯霉素诱发。""""","medical_kg,guideline"
e_5b160f000070,苯酚,药物,药物,nan,medical_kg
e_32dcb884ffa2,过敏反应,症状,症状,"""""使用青霉素类抗生素时常见的不良反应，轻者出现皮疹，重者可发生IgE介导的超敏反应，如荨麻疹、血管性水肿、喉头水肿、支气管痉挛、呕吐、低血压等。""""<SEP>""""免疫介导的不良反应，孢羟氨苄、头孢丙烯、阿莫西林-克拉维酸等均可引起。""""<SEP>""""免疫系统对药物的异常反应，氟喹诺酮类药物可引起，罕见。""""<SEP>""""药物使用后出现的免疫介导的有害反应，头孢菌素类药物过敏反应较少。""""<SEP>过敏反应是机体对药物产生的异常免疫反应，严重时可危及生命。它可表现为皮疹、瘙痒、荨麻疹、血管神经性水肿、呼吸困难、哮喘、药物热、过敏性休克等多种症状。过敏反应是多种药物的不良反应，包括但不限于青霉素类及头孢菌素类药","medical_kg,guideline"
e_dbe7c6177563,过敏,症状,症状,"""""An adverse reaction to posaconazole, a contraindication for its use.""""<SEP>""""过敏是一种疾病。""""<SEP>""""过敏是泊沙康唑的不良反应之一。已知对泊沙康唑过敏者禁用。""""<SEP>""""多黏菌素治疗中可能出现的问题，对碳青霉烯类药物过敏者需特别注意。""""<SEP>""""过敏是选择抗生素替代方案时的考虑因素之一。""""<SEP>""""两性霉素B经气道给药可能引起的不良反应。"""" | 过敏是慢性鼻窦炎的常见诱因之一。","medical_kg,guideline"
e_a9f14e2e4be8,过敏样反应,症状,症状,"""""过敏样反应是四环素、土霉素可能出现的不良反应（罕见）。""""","medical_kg,guideline"
e_80833843a336,23价肺炎球菌多糖疫苗注射液,西药,西药,nan,medical_kg
e_4a41d9917e45,头痛,症状,症状,"""""Headache is a specific neuropsychiatric adverse event noted to be more common with DTG compared to EVG and RAL.""""<SEP>头痛 is a versatile symptom that can indicate infectious diseases or arise as a side effect of various medications. It is frequently observed in respiratory infections such as psittaco","medical_kg,guideline"
e_1e94ebc72faa,肌痛,症状,症状,"""""Myalgia, a common non-specific symptom of viral infections.""""<SEP>""""SFTSV的临床表现之一。""""<SEP>""""两性霉素B输注常见不良反应。""""<SEP>""""急性呼吸道感染的常见症状之一。""""<SEP>""""肌痛是疑似急性呼吸道感染症状。""""<SEP>""""肌痛是流行性感冒的常见症状。""""<SEP>""""肌痛是恩替卡韦、替比夫定的常见不良反应。""""<SEP>""""肌痛是阿糖腺苷、特比萘芬等药物可能引起的骨骼肌不良反应。""""<SEP>""""肌肉疼痛，可由呋喃妥因引起。""""<SEP>""""肌肉疼痛。是卡博特韦的不良反应。""""","medical_kg,guideline"
e_39fa7478eb01,肌痛神经系统头痛,症状,症状,nan,medical_kg
e_a7120d5fd476,肺炎球菌多糖疫苗,药物,药物,"""""肺炎球菌多糖疫苗（PPSV23）是预防肺炎链球菌感染的疫苗之一，适用于两岁以上人群，通常只需接种一次，考虑在首次接种后5年进行二次补种。""""","medical_kg,guideline"
e_c8f67fa32571,荨麻疹,疾病,疾病,"""""一种以风团为特征的过敏性皮肤病。""""<SEP>""""使用青霉素类抗生素时可能引起的IgE介导的反应。""""<SEP>""""多黏菌素的其他不良反应之一。""""<SEP>""""荨麻疹属于Ⅰ型即时超敏反应史，影响药物选择。""""<SEP>""""皮肤出现风团、瘙痒，可由多黏菌素B引起。""""<SEP>""""荨麻疹是一种常见的过敏性皮肤病，表现为风团和瘙痒。""""<SEP>""""荨麻疹是使用甲硝唑可能引起的过敏反应。""""<SEP>""""荨麻疹是特比萘芬可能引起的皮肤不良反应。""""<SEP>""""速发型超敏反应的表现之一。""""<SEP>""""过敏反应的表现，文中提及氟喹诺酮类药物可引起荨麻疹。""""","medical_kg,guideline"
e_cc2a6a80e01d,64排螺旋ct检查,诊疗技术及设备,诊疗技术及设备,nan,medical_kg
e_02ac3ac59a56,刺痛,症状,症状,"""""局部出现轻度疼痛、灼痛和刺痛占28%，瘙痒占4%，皮疹占0.3%。""""","medical_kg,guideline"
e_a6620401be2a,结节病,疾病,疾病,"""""肺炎衣原体感染与结节病及一些肺外疾病相关。""""","medical_kg,guideline"
e_095f6a0e6dc2,计算机体层摄影ct检查,其他治疗,其他治疗,nan,medical_kg
e_f56d8183992b,6542,西药,西药,nan,medical_kg
e_8d21c8ad1349,消旋山莨菪碱,药物,药物,nan,medical_kg
e_6e8671ad8c2d,叔胺基酯类合成抗胆碱药,其他治疗,其他治疗,nan,medical_kg
e_500e75a036dc,707,中成药,中成药,nan,medical_kg
e_e0ed4e122087,益气/其他中成药,其他治疗,其他治疗,nan,medical_kg
e_b706835de79a,999,西药,西药,nan,medical_kg
e_d74c270d6986,av综合征,疾病,疾病,nan,medical_kg
e_9da5552f7fc4,a—v现象,疾病,疾病,nan,medical_kg
e_c64b3b2ed47a,a组链球菌感染,疾病,疾病,nan,medical_kg
e_7611dfe7042e,呼吸道,部位,部位,"""""呼吸道是呼吸系统的组成部分，可发生ESBL-E感染如肺炎。""""<SEP>""""呼吸道是气体进出的通道，包括鼻、咽、喉、气管和支气管。""""<SEP>""""呼吸道是结核病的主要感染部位，文中提及呼吸道预防措施。""""<SEP>The respiratory tract, also known as the respiratory system, is the system of organs involved in breathing and serves as the channel for gas exchange, allowing air to enter and exit the lungs. Ana","medical_kg,guideline"
e_80a1ceaa8e6c,化脓性链球菌感染,疾病,疾病,nan,medical_kg
e_e8fafd43e318,bp素,西药,西药,nan,medical_kg
e_a627227d65b0,b型流感嗜血杆菌结合疫苗,西药,西药,nan,medical_kg
e_4a8768c23ca5,呼吸暂停,症状,症状,"""""与神经毒性药物合用时可能出现的不良反应。""""<SEP>""""呼吸暂停是神经毒性的表现之一，由多黏菌素类药物引起。""""<SEP>""""多黏菌素类药物引起的神经毒性表现之一，也可能由药物相互作用引起。""""<SEP>""""神经毒性的具体表现之一。""""","medical_kg,guideline"
e_a96b5bf3cca8,b型流感嗜血杆菌结合菌苗注射液,西药,西药,nan,medical_kg
e_b37f5b57d097,低热,症状,症状,"""""低热是感染性心内膜炎的非特异性全身症状之一。""""<SEP>""""急性上呼吸道感染可能仅有低热。""""<SEP>""""低热是肺结核的全身中毒症状，体温通常在37.3℃-38℃之间，多在午后或傍晚出现，伴有盗汗。""""<SEP>""""白喉棒杆菌感染的主要表现之一。""""","medical_kg,guideline"
e_613a4258ee8b,b族链球菌感染,疾病,疾病,"""""An infection caused by Group B Streptococcus, requiring specific antibiotic regimens, with alternatives for patients with severe beta-lactam allergies.""""","medical_kg,guideline"
e_e52e1116a357,发绀,症状,症状,"""""发绀是皮肤或黏膜呈青紫色，提示缺氧。""""","medical_kg,guideline"
e_38c3e52fdd68,流感,疾病,疾病,"""""Influenza (flu) is mentioned as another example of an acute respiratory infection that requires rapid identification and monitoring.""""<SEP>""""一种常见的病毒，在流行期间可导致急性呼吸道感染。""""<SEP>""""一种由流感病毒引起的急性呼吸道传染病，可导致住院、重症及死亡，尤其在老年人、肥胖者、孕妇等高危人群中风险较高。""""<SEP>""""由流行性感冒病毒引起的急性呼吸道传染病。""""<SEP>""""侵袭性曲霉病的高危因素之一，常见于无血液系统恶性肿瘤的患者。""""<SEP>""""病毒感","medical_kg,guideline"
e_e1a5f20696ac,呼噜音,症状,症状,nan,medical_kg
e_976ca0a5c6dd,抗生素,其他治疗,其他治疗,抗生素是一类用于治疗细菌感染的药物，属于抗菌药物的一种。它通过抑制或杀灭细菌来发挥作用，是治疗细菌感染的主要手段，也是感染性疾病治疗的核心。抗生素的种类繁多，包括头孢菌素类、氨基糖苷类、克林霉素、达托霉素、厄他培南、磷霉素、左氧氟沙星、利奈唑胺等，这些药物可由微生物产生或通过合成获得。  在临床应用中，抗生素需根据病原体种类、药物敏感性、感染部位以及患者个体因素进行选择。例如，在治疗糖尿病足感染（DFI）和糖尿病足骨髓炎（DFO）时，抗生素的使用涵盖从口服药物到肠外广谱抗生素的不同方案，具体取决于感染严重程度。对于糖尿病伴足皮肤或软组织感染，疗程通常为1–2周，严重情况下可延长至3–4周。抗生,"medical_kg,guideline"
e_c1329d9210b6,早产,疾病,疾病,"""""妊娠期未治疗菌尿可能导致的不良妊娠结局。""""<SEP>""""早产是原发性胃肠毛霉病的高危因素之一，多见于婴幼儿。""""","medical_kg,guideline"
e_3f1732651c5a,新生儿,流行病学,流行病学,"The entity """"新生儿"""" (Newborn) refers to the offspring of a mother with HIV and is defined as an infant within the first 28 days of life. This group is a specific population mentioned in the context of drug safety and application, serving as the target audience for clinical guidelines and the primary su | 阿米卡星的剂量方案根据新生儿的胎龄和出生后天数进行详细调整。<SEP>阿米卡星的剂量针对新生儿有详细规定。","medical_kg,guideline"
e_146af7aea390,缺氧,症状,症状,"""""ABCD的严重不良反应之一。""""","medical_kg,guideline"
e_ae51a126bac8,青霉素,药物,药物,青霉素是一种β-内酰胺类抗生素，属于青霉素类抗菌药物，妊娠分级为B级。它对多种革兰氏阳性菌（如肺炎链球菌、化脓性链球菌、A群链球菌等）和部分革兰氏阴性菌具有良好的抗菌活性，对产气荚膜梭菌等厌氧菌也有良好活性。  **临床应用：** 青霉素是治疗多种敏感菌感染的首选药物，常用于： - **链球菌感染**：是治疗链球菌感染的首选药物，包括急性咽炎/扁桃体炎、A族链球菌（GAS）感染（如风湿热伴心脏炎及细菌性心包炎），剂量为5-7.5万U/kg i.v.q.6h或250mg p.o.q.8h，疗程10天；也用于清除A族链球菌。 - **梅毒**：是治疗梅毒的核心药物和首选药物，包括苄星青霉素G、水剂 | 青霉素和阿莫西林都是β-内酰胺类抗生素，用于治疗肺炎链球菌感染，阿莫西林是广谱青霉素。,"medical_kg,guideline,llm_inferred"
e_191ec9e344c3,b链球菌群感染,疾病,疾病,nan,medical_kg
e_c1d16dbddae2,b链球菌群,病原体,病原体,nan,medical_kg
e_83cee46073d8,细菌培养,检查,检查,"""""Bacterial culture is recommended for identifying pathogens in suspected DFI, preferably from sterile tissue specimens obtained after debridement.""""<SEP>""""一种实验室检查，用于分离和鉴定尿路感染的病原体，是诊断和治疗的基础。""""<SEP>""""细菌培养是指将样本接种到培养基上，分离和鉴定细菌，是诊断细菌感染的重要方法。""""<SEP>""""细菌培养是诊断细菌感染的金标准，用于前庭大腺炎和阴道炎的病原体鉴定和药敏试验。""""<SEP>""""通过培养样本中的细菌来鉴定病原","medical_kg,guideline"
e_7c0d50c8fded,高热,症状,症状,"""""体温显著升高，是肺炎等疾病的常见症状。""""<SEP>""""高热和乏力常同时出现，是鹦鹉热等感染性疾病的常见症状组合。""""<SEP>""""高热和呼吸困难常同时出现，是鹦鹉热等呼吸系统感染性疾病的常见症状组合。""""<SEP>""""高热和咳嗽常同时出现，是鹦鹉热等呼吸系统感染性疾病的常见症状组合。""""<SEP>""""高热和头痛常同时出现，是鹦鹉热等感染性疾病的常见症状组合。""""<SEP>""""高热和畏寒常同时出现，是鹦鹉热等感染性疾病的常见症状组合。""""<SEP>""""高热和纳差常同时出现，是鹦鹉热等感染性疾病的常见症状组合。""""<SEP>""""高热和肌肉酸痛常同时出现，是鹦鹉热等感染性疾病的常见症状组合。""""<SEP>""""高热是感染性疾病的","medical_kg,guideline"
e_3be844e37584,ct平扫,诊疗技术及设备,诊疗技术及设备,nan,medical_kg
e_5ece966fdb28,ct血管成像,诊疗技术及设备,诊疗技术及设备,nan,medical_kg
e_8d4058fde3d2,血管增生,症状,症状,nan,medical_kg
e_6dc18c8a688f,血管壁变薄,症状,症状,nan,medical_kg
e_5cface1a3726,etinoline爱纳灵,西药,西药,nan,medical_kg
e_446ea68dcdbb,salbutamol sulfate sustained capsules,药物,药物,nan,medical_kg
e_878d76b2f827,哮喘,疾病,疾病,"""""Asthma (哮喘) is a respiratory condition, not typically an infection, but can be complicated by infection.""""<SEP>""""Asthma, a chronic inflammatory disease of the airways causing wheezing, shortness of breath, and coughing.""""<SEP>""""一种慢性气道炎症性疾病，在病毒流行期间可能急性发作。""""<SEP>""""在病毒流行期间注意哮喘发作。""""<SEP>""""慢性疾病，发作时可诱发急性呼吸道症状。""""<","medical_kg,guideline"
e_5e43ce43d817,平喘药及慢阻肺用药,其他治疗,其他治疗,nan,medical_kg
e_1b315df37beb,支气管炎,疾病,疾病,"""""Bronchitis, inflammation of the bronchial tubes.""""<SEP>""""支气管炎是下呼吸道感染的一种，可由铜绿假单胞菌引起，属于急性下呼吸道感染范畴。""""<SEP>""""支气管炎是急性下呼吸道感染的一种，通常由病毒引起。""""<SEP>""""由人偏肺病毒、SARS病毒等引起的疾病，无特效抗病毒药物，需对症治疗。""""<SEP>""""支气管炎与HPIV-3感染相关。""""<SEP>""""Inflammation of the lining of the bronchial tubes, which carry air to and from the lungs.""""","medical_kg,guideline,llm_inferred"
e_f8f7fce1bae1,硫酸沙丁胺醇,药物,药物,nan,medical_kg
e_751b7ddcd861,支气管痉挛,疾病,疾病,"""""Bronchospasm is a potential adverse effect when Amphotericin B is used concurrently with antineoplastic drugs.""""<SEP>""""使用青霉素类抗生素时可能引起的IgE介导的反应。""""<SEP>""""支气管痉挛属于Ⅰ型即时超敏反应史，影响药物选择。""""<SEP>""""由人偏肺病毒、SARS病毒等引起的疾病，无特效抗病毒药物，需对症治疗。""""<SEP>""""速发型超敏反应的表现之一。""""<SEP>""""支气管痉挛是气道雾化吸入多黏菌素类药物的主要不良反应，临床对策包括立即停止吸入、给予解痉平喘药物、抗组胺及糖皮质激素","medical_kg,guideline"
e_912985e95ece,硫酸沙丁胺醇缓释胶囊,西药,西药,nan,medical_kg
e_8386794d168a,goodpasture综合征,疾病,疾病,nan,medical_kg
e_610aaae0b401,goodpasture syndrome,药物,药物,nan,medical_kg
e_852c7b6d8358,内科,科室,科室,"""""主要采用药物治疗疾病的临床科室。文中涉及的多种感染性疾病主要在内科系统诊治。""""<SEP>""""指治疗内科疾病的科室。""""<SEP>""""通过药物等非手术方式治疗疾病的科室。""""","medical_kg,guideline"
e_a6ea9f6f06ee,反复咯血,症状,症状,nan,medical_kg
e_ad6aee141e69,可致,疾病,疾病,nan,medical_kg
e_0ac19e32a097,呼吸衰竭,疾病,疾病,"""""Respiratory failure (呼吸衰竭) is a respiratory condition, not typically an infection, but can be complicated by infection.""""<SEP>""""Respiratory failure is a complication in severe liver disease patients with IPA, associated with high mortality rates.""""<SEP>""""呼吸衰竭是IPN的并发症之一，表现为呼吸功能障碍。""""<SEP>""""呼吸衰竭是TM病累及下呼吸道可能","medical_kg,guideline"
e_09077ced1e18,毒综合征肺的出血,疾病,疾病,nan,medical_kg
e_29f8c0662686,咯血,疾病,疾病,"""""Hemoptysis is a clinical manifestation of PA infection, not a risk factor.""""|>6<SEP>""""Hemoptysis is an uncommon clinical manifestation of PA lower respiratory tract infection.""""<SEP>""""Hemoptysis is an uncommon clinical manifestation of PA lower respiratory tract infection.""""|>6<SEP>""""Hemoptysis is an unc","medical_kg,guideline"
e_003f2e55c2ec,窒息,疾病,疾病,"""""窒息是咳痰困难可能导致的严重并发症。""""<SEP>""""窒息是咳痰困难可能导致的严重并发症，使用祛痰药前需评估咳嗽能力。""""","medical_kg,guideline"
e_1d6b589ef816,肺活检,检查,检查,"""""用于病原学检测的侵入性操作。""""<SEP>""""肺活检是通过手术获取肺组织样本进行病理学检查的方法，用于诊断巨细胞病毒肺炎。""""","medical_kg,guideline"
e_d9e9f1a44624,气管镜检查,检查,检查,nan,medical_kg
e_58826af01a14,抗肾小球基底膜（gbm）抗体,检查,检查,nan,medical_kg
e_f8622698fa7f,肺出血—肾炎综合征,疾病,疾病,nan,medical_kg
e_274adfd5e884,肾活检,检查,检查,"""""肾活检是诊断BK病毒相关肾病的金标准。""""","medical_kg,guideline"
e_8da19637b1c9,血清学检查,检查,检查,"""""Serological tests, used for diagnosing dengue and other viral infections.""""<SEP>""""常规检查之一，用于诊断真菌感染。""""<SEP>""""通过检测抗体（如曲霉菌IgG抗体）来诊断感染的方法。""""<SEP>""""血清学检查用于检测病原体抗体或抗原，如真菌抗原（GM试验、G试验）、病毒抗体等，辅助诊断真菌或病毒感染。""""<SEP>""""血清学检查用于诊断幽门螺杆菌感染，但敏感性和特异性较差。""""<SEP>""""血清学检查（如补体结合抗体）用于诊断球孢子菌病。""""","medical_kg,guideline"
e_5db2e6be0b09,hco3重吸收试验,诊疗技术及设备,诊疗技术及设备,nan,medical_kg
e_85a6d56d48be,代谢性碱中毒,疾病,疾病,nan,medical_kg
e_1f545dfdc521,酸中毒,疾病,疾病,"""""A condition of reduced blood pH, a potential complication in severe infections, screened for via arterial blood gas measurements.""""<SEP>""""毛霉病患者需纠正的代谢状态，是重要的宿主因素。""""<SEP>""""重症疟疾的症状之一，表现为血液pH值降低。""""<SEP>""""酸中毒是代谢紊乱的表现，属于严重感染的并发症""""<SEP>""""酸中毒是一种代谢异常症状，可能由阿兹夫定或齐多夫定/拉米夫定等药物引起。""""<SEP>""""酸中毒是一种代谢性酸中毒，可能由阿兹夫定或齐多夫定/拉米夫定等药物","medical_kg,guideline"
e_3d38b80eb4e4,hiv相关呼吸道感染,疾病,疾病,nan,medical_kg
e_568a113a99be,呼吸困难,症状,症状,"Dyspnea, also known as respiratory difficulty or breathing difficulty, is a subjective symptom characterized by a sensation of insufficient air or labored breathing, often accompanied by rapid breathing (tachypnea) or decreased oxygen saturation. It is a common clinical manifestation found in a wide","medical_kg,guideline"
e_42f0d7e154f9,呼吸困难等,症状,症状,nan,medical_kg
e_8531ae2cd7e1,hiv患者,流行病学,流行病学,"""""HIV patients, a specific population where yellow fever vaccine safety and efficacy have been studied.""""<SEP>""""HIV患者是人类免疫缺陷病毒感染者，免疫系统受损。""""<SEP>""""人类免疫缺陷病毒感染者，免疫功能低下，疱疹病毒感染更易复发且治疗更复杂。""""","medical_kg,guideline"
e_65264c873eaf,咳嗽,症状,症状,"""""Cough is a symptom specifically associated with CMV pneumonia.""""<SEP>""""两性霉素B经气道给药可能引起的不良反应。""""<SEP>Cough is a common respiratory symptom and a protective reflex action of the respiratory tract designed to clear secretions or foreign bodies. It is a primary symptom of acute respiratory infections and is","medical_kg,guideline"
e_fa4e14d9963e,干咳,症状,症状,"""""干咳是流行性感冒、病毒性肺炎等多种呼吸道疾病的常见症状。""""<SEP>""""干咳是鹦鹉热的典型临床症状之一。""""<SEP>""""干咳是鹦鹉热的典型临床症状之一，通常伴随高热、呼吸困难、疲乏、畏寒、头痛及肌肉酸痛等症状出现。""""<SEP>""""干咳是鹦鹉热等肺炎的常见临床症状之一。""""<SEP>""""急性支气管炎可能出现的症状之一。""""","medical_kg,guideline"
e_4c0fa91cda3f,呼吸内科,科室,科室,"""""呼吸内科是治疗呼吸系统疾病的科室。""""<SEP>""""呼吸内科是治疗呼吸道疾病的科室。""""<SEP>""""呼吸内科是诊治呼吸系统疾病的科室，包括肺炎等感染性疾病。""""<SEP>""""呼吸内科是负责诊断和治疗呼吸系统疾病的临床科室。""""<SEP>""""指治疗呼吸系统内科疾病的科室。""""","medical_kg,guideline"
e_9f568a41225d,hughesstovin综合征,疾病,疾病,nan,medical_kg
e_800b90e485f6,肺动脉栓塞综合征,疾病,疾病,nan,medical_kg
e_49c66abfe463,肺动脉,部位,部位,"""""将血液从右心室输送到肺的动脉，肺动脉血栓形成、肺动脉栓塞的发生部位。""""","medical_kg,guideline"
e_eb5d41f30022,injfdp,西药,西药,nan,medical_kg
e_59b2be8102f9,过敏性休克,疾病,疾病,"""""严重的全身性过敏反应，可危及生命，可由利福霉素等药物引起。""""<SEP>""""严重的全身性过敏反应，可危及生命，是多种抗生素（如头孢西丁、头孢美唑、头孢米诺、拉氧头孢、氨曲南、亚胺培南/西司他丁、美罗培南、比阿培南、帕尼培南/倍他米隆）的严重不良反应。""""<SEP>""""严重的全身性过敏反应，可危及生命，是多种抗生素（如头孢西丁、头孢美唑、头孢米诺、拉氧头孢、氨曲南、亚胺培南/西司他丁、美罗培南、比阿培南、帕尼培南/倍他米隆）的严重不良反应之一。""""<SEP>""""过敏性休克属于Ⅰ型即时超敏反应史，影响药物选择。""""<SEP>""""过敏性休克是严重的全身性过敏反应，可危及生命。""""<SEP>""""过敏性休克是使用甲硝唑、","medical_kg,guideline"
e_6190c316e7cd,i型超敏反应性疾病,疾病,疾病,nan,medical_kg
e_661bd9217bcc,支气管哮喘,疾病,疾病,"""""Bronchial asthma, a specific term for asthma affecting the bronchi.""""","medical_kg,guideline"
e_8808382a85fa,回避疗法,药物,药物,nan,medical_kg
e_08575af02dec,特异性试验,检查,检查,nan,medical_kg
e_1f0f541e4a2b,过敏原的免疫治疗,药物,药物,nan,medical_kg
e_6a4944bdedd9,患特应性疾病的患者,流行病学,流行病学,nan,medical_kg
e_043d22f91d5a,由ige抗体介导的超敏反应,病原体,病原体,nan,medical_kg
e_3111d7290768,花粉症,疾病,疾病,"""""花粉是导致花粉症的过敏原。""""","medical_kg,guideline"
e_9b399879b6fb,kartagener综合征,疾病,疾病,nan,medical_kg
e_a6fd42ef089e,15岁前患者,流行病学,流行病学,nan,medical_kg
e_656cad4869fc,kartagener syndrome,药物,药物,nan,medical_kg
e_83360fb74bd9,内脏逆位－鼻窦炎－支气管扩张综合征,疾病,疾病,nan,medical_kg
e_ee061f48c82b,反复咳嗽,症状,症状,nan,medical_kg
e_3d05ad024d94,可能为隐性或显性遗传,病原体,病原体,nan,medical_kg
e_f852f5b3044f,发绀等,症状,症状,nan,medical_kg
e_ae820e1ff9f7,咳痰,症状,症状,"""""Expectoration is a clinical manifestation of PA infection, not a risk factor.""""|>6<SEP>""""Expectoration is a common clinical manifestation of PA lower respiratory tract infection.""""<SEP>""""Expectoration is a common clinical manifestation of PA lower respiratory tract infection.""""|>8<SEP>""""Expectoration is ","medical_kg,guideline"
e_5343d02a5c99,传导性耳聋,症状,症状,nan,medical_kg
e_4003cb0bdd70,不孕症,疾病,疾病,nan,medical_kg
e_6dfa9a1bcd5f,咳脓痰带血丝,症状,症状,nan,medical_kg
