head,head_type,relation,tail,tail_type,source,description,weight,confidence
23价肺炎球菌多糖疫苗,西药,不良反应,血管神经性水肿,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,成份,苯酚,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,不良反应,过敏反应,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,不良反应,过敏,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗,西药,不良反应,过敏样反应,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,适应症,感染,疾病,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,头痛,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,药品分类,甲类otc,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,发热,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,成份,糖,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,药品监管分级,国家基本用药； 医保药品,其他治疗,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,商品名,纽莫法,西药,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,肌痛,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,肌痛神经系统头痛,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,成份,肺炎球菌多糖疫苗,药物,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,荨麻疹,疾病,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,过敏,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,血管神经性水肿,症状,medical_kg,,1.0,1.0
23价肺炎球菌多糖疫苗注射液,西药,不良反应,过敏反应,症状,medical_kg,,1.0,1.0
64排螺旋ct检查,诊疗技术及设备,临床表现,刺痛,症状,medical_kg,,1.0,1.0
64排螺旋ct检查,诊疗技术及设备,相关疾病,结节病,疾病,medical_kg,,1.0,1.0
64排螺旋ct检查,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg,,1.0,1.0
6542,西药,成份,消旋山莨菪碱,药物,medical_kg,,1.0,1.0
6542,西药,分类,叔胺基酯类合成抗胆碱药,其他治疗,medical_kg,,1.0,1.0
707,中成药,分类,益气/其他中成药,其他治疗,medical_kg,,1.0,1.0
999,西药,适应症,呼吸道感染,疾病,medical_kg,,1.0,1.0
av综合征,疾病,同义词,a—v现象,疾病,medical_kg,,1.0,1.0
a组链球菌感染,疾病,发病部位,呼吸道,部位,medical_kg,,1.0,1.0
a组链球菌感染,疾病,同义词,化脓性链球菌感染,疾病,medical_kg,,1.0,1.0
bp素,西药,不良反应,胸闷,症状,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合疫苗,西药,不良反应,呼吸暂停,症状,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合疫苗,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,不良反应,低热,症状,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,药品分类,乙类otc,其他治疗,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,分类,疫苗,其他治疗,medical_kg,,1.0,1.0
b族链球菌感染,疾病,临床表现,发绀,症状,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,适应症,感染,疾病,medical_kg,,1.0,1.0
b族链球菌感染,疾病,临床表现,发热,症状,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,适应症,流感,疾病,medical_kg,,1.0,1.0
b型流感嗜血杆菌结合菌苗注射液,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
b族链球菌感染,疾病,临床表现,呼噜音,症状,medical_kg,,1.0,1.0
b族链球菌感染,疾病,预防,抗生素,其他治疗,medical_kg,,1.0,1.0
b族链球菌感染,疾病,高危因素,早产,疾病,medical_kg,,1.0,1.0
b族链球菌感染,疾病,易感人群,新生儿,流行病学,medical_kg,,1.0,1.0
b族链球菌感染,疾病,相关疾病,肺炎,疾病,medical_kg,,1.0,1.0
b族链球菌感染,疾病,临床表现,缺氧,症状,medical_kg,,1.0,1.0
b族链球菌感染,疾病,治疗,青霉素,药物,medical_kg,,1.0,1.0
b链球菌群感染,疾病,病因,b链球菌群,病原体,medical_kg,,1.0,1.0
b链球菌群感染,疾病,临床表现,发热,症状,medical_kg,,1.0,1.0
b链球菌群感染,疾病,诊断依据,细菌培养,检查,medical_kg,,1.0,1.0
b链球菌群感染,疾病,易感人群,新生儿,流行病学,medical_kg,,1.0,1.0
b链球菌群感染,疾病,临床表现,高热,症状,medical_kg,,1.0,1.0
ct平扫,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg,,1.0,1.0
ct血管成像,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg,,1.0,1.0
ct血管成像,诊疗技术及设备,临床表现,血管增生,症状,medical_kg,,1.0,1.0
ct血管成像,诊疗技术及设备,临床表现,血管壁变薄,症状,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,英文名称,salbutamol sulfate sustained capsules,药物,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,适应症,哮喘,疾病,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,分类,平喘药及慢阻肺用药,其他治疗,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,适应症,支气管炎,疾病,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,成份,硫酸沙丁胺醇,药物,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,适应症,支气管痉挛,疾病,medical_kg,,1.0,1.0
etinoline爱纳灵,西药,成份,硫酸沙丁胺醇缓释胶囊,西药,medical_kg,,1.0,1.0
goodpasture综合征,疾病,英文名称,goodpasture syndrome,药物,medical_kg,,1.0,1.0
goodpasture综合征,疾病,所属科室,内科,科室,medical_kg,,1.0,1.0
goodpasture综合征,疾病,临床表现,反复咯血,症状,medical_kg,,1.0,1.0
goodpasture综合征,疾病,并发症,可致,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,并发症,呼吸衰竭,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,并发症,毒综合征肺的出血,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,临床表现,咯血,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,并发症,窒息,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,诊断依据,肺活检,检查,medical_kg,,1.0,1.0
goodpasture综合征,疾病,诊断依据,气管镜检查,检查,medical_kg,,1.0,1.0
goodpasture综合征,疾病,检查,抗肾小球基底膜（gbm）抗体,检查,medical_kg,,1.0,1.0
goodpasture综合征,疾病,同义词,肺出血—肾炎综合征,疾病,medical_kg,,1.0,1.0
goodpasture综合征,疾病,诊断依据,肾活检,检查,medical_kg,,1.0,1.0
goodpasture综合征,疾病,诊断依据,血清学检查,检查,medical_kg,,1.0,1.0
hco3重吸收试验,诊疗技术及设备,相关疾病,代谢性碱中毒,疾病,medical_kg,,1.0,1.0
hco3重吸收试验,诊疗技术及设备,相关疾病,酸中毒,疾病,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,临床表现,呼吸困难,症状,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,临床表现,呼吸困难等,症状,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,发病部位,呼吸道,部位,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,易感人群,hiv患者,流行病学,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,临床表现,咳嗽,症状,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,临床表现,干咳,症状,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,所属科室,呼吸内科,科室,medical_kg,,1.0,1.0
hiv相关呼吸道感染,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
hughesstovin综合征,疾病,临床表现,咯血,疾病,medical_kg,,1.0,1.0
hughesstovin综合征,疾病,同义词,肺动脉栓塞综合征,疾病,medical_kg,,1.0,1.0
hughesstovin综合征,疾病,发病部位,肺动脉,部位,medical_kg,,1.0,1.0
injfdp,西药,不良反应,过敏性休克,疾病,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,临床表现,呼吸困难,症状,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,临床表现,哮喘,疾病,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,临床表现,支气管哮喘,疾病,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,治疗,回避疗法,药物,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,诊断依据,特异性试验,检查,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,治疗,过敏原的免疫治疗,药物,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,临床表现,胸闷,症状,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,易感人群,患特应性疾病的患者,流行病学,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,病因,由ige抗体介导的超敏反应,病原体,medical_kg,,1.0,1.0
i型超敏反应性疾病,疾病,临床表现,花粉症,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,易感人群,15岁前患者,流行病学,medical_kg,,1.0,1.0
kartagener综合征,疾病,所属科室,内科,科室,medical_kg,,1.0,1.0
kartagener综合征,疾病,英文名称,kartagener syndrome,药物,medical_kg,,1.0,1.0
kartagener综合征,疾病,同义词,内脏逆位－鼻窦炎－支气管扩张综合征,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,反复咳嗽,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,病因,可能为隐性或显性遗传,病原体,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,发绀,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,发热,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,咳嗽,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,呼吸困难,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,发绀等,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,咳痰,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,传导性耳聋,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,咯血,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,不孕症,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,咳脓痰带血丝,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,同义词,家族性支气管扩张,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,头痛,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,流涕,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,感染,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,头昏,症状,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,鼻塞,疾病,medical_kg,,1.0,1.0
kartagener综合征,疾病,临床表现,耳聋,疾病,medical_kg,,1.0,1.0
l门冬氨酸氨氯地平片,西药,不良反应,呼吸困难,症状,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,英文名称,marie—bamberger syndrome,药物,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,所属科室,内科,科室,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,临床表现,杵状指,症状,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,诊断依据,实验室检查,检查,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,临床表现,结节,症状,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,同义词,全身性肥大性骨关节病,疾病,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,同义词,慢性肺性骨关节病,疾病,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,发病部位,肺,部位,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,临床表现,肺癌等,症状,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,同义词,肺性肥大性骨关节病,疾病,medical_kg,,1.0,1.0
mariebamberger综合征,疾病,临床表现,肿胀,症状,medical_kg,,1.0,1.0
nezelof综合征,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
optochin敏感试验,诊疗技术及设备,相关疾病,肺炎链球菌败血症,疾病,medical_kg,,1.0,1.0
optochin敏感试验,诊疗技术及设备,相关疾病,肺炎,疾病,medical_kg,,1.0,1.0
pancoast综合征,疾病,病因,乳腺癌,疾病,medical_kg,,1.0,1.0
pancoast综合征,疾病,治疗,止痛治疗,药物,medical_kg,,1.0,1.0
pancoast综合征,疾病,病因,肺癌,疾病,medical_kg,,1.0,1.0
pancoast综合征,疾病,临床表现,肩痛,症状,medical_kg,,1.0,1.0
pancoast综合征,疾病,临床表现,眼裂缩小等,症状,medical_kg,,1.0,1.0
pancoast综合征,疾病,临床表现,音哑,症状,medical_kg,,1.0,1.0
pancoast综合征,疾病,治疗,原发肿瘤的治疗,药物,medical_kg,,1.0,1.0
pancoast综合征,疾病,病因,食管癌等引起,病原体,medical_kg,,1.0,1.0
pancoast综合征,疾病,同义词,肺尖肿瘤综合征,疾病,medical_kg,,1.0,1.0
pancoast综合征,疾病,临床表现,上肢麻木,症状,medical_kg,,1.0,1.0
pancoast综合征,疾病,临床表现,麻木,症状,medical_kg,,1.0,1.0
pancoast综合征,疾病,病因,胸膜间皮瘤,疾病,medical_kg,,1.0,1.0
pancoast综合征,疾病,所属科室,内科,科室,medical_kg,,1.0,1.0
poems综合征,疾病,临床表现,杵状指,症状,medical_kg,,1.0,1.0
q热,疾病,临床表现,q热肺炎,疾病,medical_kg,,1.0,1.0
q热,疾病,所属科室,呼吸内科,科室,medical_kg,,1.0,1.0
q热,疾病,临床表现,干咳,症状,medical_kg,,1.0,1.0
q热,疾病,高危因素,屠宰场工人,流行病学,medical_kg,,1.0,1.0
q热,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,x线检查,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,呼吸困难,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,发热,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,干咳,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,分子生物学检测,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,头痛,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,所属科室,呼吸内科,科室,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,动物接种和病原体分离,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,病因,伯纳特立克次体引起,病原体,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,压痛,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,关节疼痛,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,乏力,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,疼痛,疾病,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,出汗,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,疲倦,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,痰液化验,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,病原学检查,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,肌痛与间质性肺炎,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,心脏杂音,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,发病部位,肺,部位,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,皮疹,疾病,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,胸痛,疾病,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,血液化验,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,诊断依据,血清学检查,检查,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,肝脏肿大,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,肝脾肿大,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,食欲减退,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,食欲缺乏,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,长期不规则发热,症状,medical_kg,,1.0,1.0
q热肺炎,疾病,临床表现,高热,症状,medical_kg,,1.0,1.0
s20140002,西药,不良反应,呼吸困难,症状,medical_kg,,1.0,1.0
s20140002,西药,成份,氧,西药,medical_kg,,1.0,1.0
s20140002,西药,分类,第一代头孢菌素,其他治疗,medical_kg,,1.0,1.0
s20140002,西药,不良反应,过敏反应,症状,medical_kg,,1.0,1.0
s20140002,西药,不良反应,血管神经性水肿,症状,medical_kg,,1.0,1.0
tabsmzco,西药,英文名称,smzco（compound sulfamethoxazole tablets）,药物,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,光敏,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,乏力,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,中性粒细胞减少症,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,成份,复方磺胺甲恶唑片,西药,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,发热,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,呕吐,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,剥脱性皮炎,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,咽痛,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,出血,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,恶心,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,多形红斑,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,幻觉,症状,medical_kg,,1.0,1.0
tabsmzco,西药,适应症,支气管炎,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,成份,甲氧苄啶,药物,medical_kg,,1.0,1.0
tabsmzco,西药,分类,磺胺药,其他治疗,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,粒细胞缺乏症,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,粒细胞缺乏,症状,medical_kg,,1.0,1.0
tabsmzco,西药,适应症,细菌感染,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,红斑,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,粒细胞减少,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,结晶尿,症状,medical_kg,,1.0,1.0
tabsmzco,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,腹泻,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,药物热,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,药疹,疾病,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,过敏,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,血清病样反应,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,过敏反应,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,错乱,症状,medical_kg,,1.0,1.0
tabsmzco,西药,不良反应,过敏性休克,疾病,medical_kg,,1.0,1.0
t淋巴细胞亚群检查,诊疗技术及设备,相关疾病,非典,疾病,medical_kg,,1.0,1.0
wegner肉芽肿伴发的葡萄膜炎,疾病,临床表现,下呼吸道坏死性肉芽肿,症状,medical_kg,,1.0,1.0
x连锁无丙种球蛋白血症,疾病,临床表现,支气管炎,疾病,medical_kg,,1.0,1.0
x连锁无丙种球蛋白血症,疾病,临床表现,肺炎,疾病,medical_kg,,1.0,1.0
x线碘油造影,诊疗技术及设备,分类,x线,其他治疗,medical_kg,,1.0,1.0
x线碘油造影,诊疗技术及设备,相关疾病,纵膈感染,疾病,medical_kg,,1.0,1.0
x线碘油造影,诊疗技术及设备,临床表现,肿块,症状,medical_kg,,1.0,1.0
x线碘油造影,诊疗技术及设备,相关疾病,纵隔炎,疾病,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,英文名称,α1—antitrypsin deficiency,药物,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,病因,常染色体遗传,病原体,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,所属科室,内科,科室,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,检查,α1 抗胰蛋白酶表型检测,检查,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,诊断依据,e88.0,检查,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,检查,α—1 抗胰蛋白酶,检查,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,临床表现,尿色深肝肿大门脉高压症等,症状,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,并发症,患者易并发肝炎,疾病,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,临床表现,喘息,症状,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,临床表现,肝肿大,症状,medical_kg,,1.0,1.0
α硫辛酸注射液,西药,不良反应,呼吸困难,症状,medical_kg,,1.0,1.0
α1抗胰蛋白酶缺乏症,疾病,并发症,肺气肿,疾病,medical_kg,,1.0,1.0
ω3鱼油脂肪乳注射液,西药,不良反应,呕吐呼吸困难头痛,症状,medical_kg,,1.0,1.0
ω3鱼油脂肪乳注射液,西药,不良反应,呼吸困难,症状,medical_kg,,1.0,1.0
ω3鱼油脂肪乳注射液,西药,不良反应,胸痛,疾病,medical_kg,,1.0,1.0
ω3鱼油中长链脂肪乳注射液,西药,不良反应,发绀,症状,medical_kg,,1.0,1.0
ω3鱼油中长链脂肪乳注射液,西药,不良反应,呼吸困难,症状,medical_kg,,1.0,1.0
ω3鱼油中长链脂肪乳注射液,西药,不良反应,气促,症状,medical_kg,,1.0,1.0
一君,西药,成份,哌拉西林和舒巴坦,药物,medical_kg,,1.0,1.0
一君,西药,适应症,肺炎,疾病,medical_kg,,1.0,1.0
一君,西药,成份,注射用哌拉西林钠舒巴坦钠,西药,medical_kg,,1.0,1.0
一君,西药,适应症,支气管炎,疾病,medical_kg,,1.0,1.0
一君,西药,分类,广谱青霉素/β—内酰胺酶抑制剂,其他治疗,medical_kg,,1.0,1.0
一品,西药,英文名称,levofloxacin hydrochloride capsules,药物,medical_kg,,1.0,1.0
一品,西药,英文名称,levofloxacin hydrochloride tablets,药物,medical_kg,,1.0,1.0
一品,西药,分类,喹诺酮类,其他治疗,medical_kg,,1.0,1.0
一品,西药,成份,左氧氟沙星,药物,medical_kg,,1.0,1.0
一品,西药,分类,氟喹诺酮类/氟喹诺酮,其他治疗,medical_kg,,1.0,1.0
一品,西药,成份,盐酸左氧氟沙星,药物,medical_kg,,1.0,1.0
一品,西药,不良反应,血管神经性水肿,症状,medical_kg,,1.0,1.0
一孚晴,西药,不良反应,发热,症状,medical_kg,,1.0,1.0
一孚晴,西药,不良反应,白细胞减少,症状,medical_kg,,1.0,1.0
一孚晴,西药,不良反应,白细胞减少症,症状,medical_kg,,1.0,1.0
一平苏,西药,不良反应,咳嗽,症状,medical_kg,,1.0,1.0
一平苏,西药,不良反应,喉头水肿,症状,medical_kg,,1.0,1.0
一平苏,西药,不良反应,血管神经性水肿,症状,medical_kg,,1.0,1.0
一捻金胶囊,中成药,适应症,祛痰,疾病,medical_kg,,1.0,1.0
一捻金胶囊,中成药,适应症,痰盛喘咳,疾病,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,病因,吸入过多含碳物质燃烧不完全的产物所致,病原体,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,英文名称,carbon monoxide poisoning,药物,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,临床表现,口唇呈樱桃红色,症状,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,临床表现,呼吸急促,症状,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,临床表现,呼吸困难,症状,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,治疗,救治措施,药物,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,治疗,治疗用药,药物,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,同义词,煤气中毒,疾病,medical_kg,,1.0,1.0
一氧化碳中毒,疾病,诊断依据,血中碳氧血红蛋白测定,检查,medical_kg,,1.0,1.0
一清软胶囊,中成药,适应症,咯血,疾病,medical_kg,,1.0,1.0
一清软胶囊,中成药,成份,黄芩,中草药,medical_kg,,1.0,1.0
