head,head_type,relation,tail,tail_type,source,description,weight
腹膜炎,疾病,经验性治疗,头孢他啶,其他治疗,guideline,"""头孢他啶是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,经验性治疗,头孢吡肟,其他治疗,guideline,"""头孢吡肟是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,经验性治疗,碳青霉烯,西药,guideline,"""碳青霉烯是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,经验性治疗,环丙沙星,其他治疗,guideline,"""环丙沙星是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,经验性治疗,氨曲南,其他治疗,guideline,"""氨曲南是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,经验性治疗,庆大霉素,其他治疗,guideline,"""庆大霉素是经验性治疗腹膜炎时针对需氧革兰阴性杆菌的抗生素。""",8.0
腹膜炎,疾病,用法用量,氟康唑,西药,guideline,"""氟康唑是治疗腹膜透析相关性腹膜炎的口服药物。""<SEP>""氟康唑用于治疗腹膜炎，常用剂量为400mg/d，疗程2-3周。""<SEP>""氟康唑用于治疗腹膜透析患者的念珠菌性腹膜炎。""<SEP>""氟康唑用于腹膜炎经验性治疗中当革兰染色发现酵母菌时。""",39.0
腹膜炎,疾病,病因,表皮葡萄球菌,病原体,guideline,"""表皮葡萄球菌是腹膜透析相关腹膜炎的常见病原体。""",8.0
腹膜炎,疾病,相关疾病,金黄色葡萄球菌,其他治疗,guideline,"""腹膜炎的治疗方案可参考用于金黄色葡萄球菌感染的治疗。""<SEP>""金黄色葡萄球菌是腹膜透析相关腹膜炎的病原体之一。""",29.0
腹膜炎,疾病,检查,革兰染色,检查,guideline,"""革兰染色是腹膜炎病原体的快速鉴定方法，可指导初始治疗。""",8.0
腹膜炎,疾病,检查,培养,检查,guideline,"""培养是确诊腹膜炎病原体的金标准。""",9.0
腹膜炎,疾病,治疗,拔除导管,其他治疗,guideline,"""拔除导管是治疗复发性/难治性腹膜炎、真菌性腹膜炎等的指征。""",16.0
腹膜炎,疾病,治疗,保留透析导管,其他治疗,guideline,"""保留透析导管是治疗表皮葡萄球菌引起的腹膜炎（无金黄色葡萄球菌）时的可能选择。""",14.0
腹膜炎,疾病,经验性治疗,经验性治疗,其他治疗,guideline,"""经验性治疗是腹膜炎的初始治疗策略。""",18.0
腹膜炎,疾病,病因,复数菌,其他治疗,guideline,"""复数菌是腹膜透析相关腹膜炎的病原体类型之一。""",7.0
腹膜炎,疾病,病因,真菌,病原体,guideline,"""真菌是腹膜透析相关腹膜炎的病原体类型之一。""",7.0
腹膜炎,疾病,病因,结核分枝杆菌,病原体,guideline,"""结核分枝杆菌是腹膜透析相关腹膜炎的病原体类型之一。""",7.0
腹膜炎,疾病,病因,革兰阳性菌,病原体,guideline,"""革兰阳性菌是腹膜透析相关腹膜炎的常见病原体类型。""",8.0
腹膜炎,疾病,病因,革兰阴性菌,其他治疗,guideline,"""革兰阴性菌是腹膜透析相关腹膜炎的常见病原体类型。""",8.0
腹膜炎,疾病,病因,酵母菌,病原体,guideline,"""酵母菌是腹膜透析相关腹膜炎的病原体之一。""",7.0
腹膜炎,疾病,相关指南,nejm,指南建议,guideline,"""NEJM是综述腹膜透析相关腹膜炎的指南建议来源。""",7.0
腹膜炎,疾病,用法用量,表19,指南建议,guideline,"""表19提供了腹膜炎时抗感染药物的特殊用法。""<SEP>""表19是文中提及的包含腹膜炎抗生素剂量的参考表。""",16.0
腹膜炎,疾病,治疗,降阶梯,其他治疗,guideline,"""降阶梯是根据培养结果调整抗生素治疗的策略。""",8.0
腹膜炎,疾病,给药途径,静脉给药,其他治疗,guideline,"""静脉给药是菌血症和严重感染时的给药途径。""",8.0
腹膜炎,疾病,给药途径,腹腔内途径给药,其他治疗,guideline,"""腹腔内途径给药是腹膜炎的常规给药途径。""",9.0
腹膜炎,疾病,给药途径,iv,指南建议,guideline,"""iv是腹膜炎静脉注射给药的缩写。""",8.0
腹膜炎,疾病,诊断依据,wbc>0.1×10/l,其他治疗,guideline,"""WBC>0.1×10/L是诊断腹膜炎的腹透液检查标准之一。""",9.0
腹膜炎,疾病,诊断依据,中性粒细胞>50%,其他治疗,guideline,"""中性粒细胞>50%是诊断腹膜炎的腹透液检查标准之一。""",9.0
腹膜炎,疾病,检查,正常≤0.008×10/l,其他治疗,guideline,"""正常≤0.008×10/L是腹透液WBC的正常参考值。""",8.0
腹膜炎,疾病,分类,念珠菌病,疾病,guideline,"""腹膜炎是念珠菌病的一种特定类型，累及腹膜。""",10.0
腹膜炎,疾病,治疗,棘白菌素,西药,guideline,"""棘白菌素用于治疗腹膜炎，特别是长期非卧床腹膜透析相关的真菌性腹膜炎。""",8.0
腹膜炎,疾病,治疗,卡泊芬净,西药,guideline,"""卡泊芬净是棘白菌素类药物，用于治疗腹膜炎，初始剂量70mg，随后50mg/d。""<SEP>""卡泊芬净是治疗腹膜透析相关性腹膜炎的静脉注射药物。""<SEP>""卡泊芬净用于治疗腹膜透析患者的念珠菌性腹膜炎。""",40.0
腹膜炎,疾病,治疗,米卡芬净,西药,guideline,"""米卡芬净是棘白菌素类药物，用于治疗腹膜炎，剂量为100mg/d。""<SEP>""米卡芬净是治疗腹膜透析相关性腹膜炎的静脉注射药物。""<SEP>""米卡芬净用于治疗腹膜透析患者的念珠菌性腹膜炎。""",40.0
腹膜炎,疾病,治疗,两性霉素b,西药,guideline,"""两性霉素B可通过腹腔内给药治疗腹膜透析患者的念珠菌性腹膜炎。""<SEP>""两性霉素B可通过腹腔内给药治疗腹膜透析相关性腹膜炎。""<SEP>""两性霉素B用于治疗腹膜炎，通过持续腹腔内给药，浓度为1.5mg/L腹透液。""",32.0
腹膜炎,疾病,治疗,拔除透析导管,其他治疗,guideline,"""拔除透析导管是治疗腹膜透析相关念珠菌性腹膜炎的重要措施。""<SEP>""拔除透析导管是治疗腹膜透析相关性腹膜炎的重要措施，特别是在临床无改善时。""<SEP>""拔除透析导管是腹膜炎的治疗措施，当临床无改善时考虑。""",24.0
腹膜炎,疾病,病因,念珠菌,病原体,guideline,"""念珠菌可引起腹膜炎。""<SEP>""念珠菌是引起腹膜炎的常见病原体。""",17.0
腹膜炎,疾病,所属科室,感染科,其他治疗,guideline,"""感染科是诊治腹膜炎的科室。""",7.0
腹膜炎,疾病,所属科室,肾内科,科室,guideline,"""肾内科是管理腹膜透析相关腹膜炎的科室。""",7.0
腹膜炎,疾病,推荐疗程,疗程,其他治疗,guideline,"""腹膜炎的疗程至少3周。""",7.0
腹膜炎,疾病,高危因素,透析,其他治疗,guideline,"""长期非卧床腹膜透析是腹膜炎的高危因素。""",8.0
腹膜炎,疾病,注意事项,临床无改善,症状,guideline,"""腹膜炎临床无改善是拔除透析导管的指征。""",8.0
腹膜炎,疾病,并发症,腹膜透析导管植入术,手术治疗,guideline,"""腹膜炎是腹膜透析导管植入术后的主要并发症，万古霉素预防可显著降低其发生率。""",9.0
腹膜炎,疾病,治疗,抗感染治疗,其他治疗,guideline,"""腹膜炎需要抗感染治疗，且有特定的药物用法。""",9.0
腹腔脓肿,疾病,临床表现,腹腔感染,其他治疗,guideline,"""腹腔脓肿是腹腔感染的一种常见形式，指脓液在腹腔内积聚。""<SEP>""腹腔脓肿是腹腔感染的一种表现形式。""",18.0
腹腔脓肿,疾病,检查,超声,其他治疗,guideline,"""超声可发现腹腔脓肿。""",243.0
腹腔脓肿,疾病,检查,ct,其他治疗,guideline,"""CT可发现腹腔脓肿。""",234.0
腹腔脓肿,疾病,治疗,经皮穿刺引流,诊疗技术及设备,guideline,"""经皮穿刺引流是治疗腹腔脓肿的主要方式。""",9.0
腹腔脓肿,疾病,病因,念珠菌,病原体,guideline,"""念珠菌可引起腹腔脓肿。""",8.0
原发性腹膜炎,其他治疗,病因,大肠埃希菌,其他治疗,guideline,"""大肠埃希菌是原发性腹膜炎的常见病原体。""",9.0
原发性腹膜炎,其他治疗,病因,变形杆菌属,病原体,guideline,"""变形杆菌属是原发性腹膜炎的常见病原体。""",9.0
原发性腹膜炎,其他治疗,推荐用药,氨苄西林/舒巴坦,西药,guideline,"""氨苄西林/舒巴坦是治疗原发性腹膜炎的药物选择。""",8.0
原发性腹膜炎,其他治疗,推荐用药,阿莫西林/克拉维酸,其他治疗,guideline,"""阿莫西林/克拉维酸是治疗原发性腹膜炎的药物选择。""",8.0
原发性腹膜炎,其他治疗,推荐用药,头孢哌酮/舒巴坦,西药,guideline,"""头孢哌酮/舒巴坦是治疗原发性腹膜炎的药物选择。""",8.0
原发性腹膜炎,其他治疗,推荐用药,哌拉西林/他唑巴坦,其他治疗,guideline,"""哌拉西林/他唑巴坦是治疗原发性腹膜炎的药物选择。""",8.0
原发性腹膜炎,其他治疗,推荐用药,二、三代头孢菌素,西药,guideline,"""二、三代头孢菌素是治疗原发性腹膜炎的备选药物。""",7.0
原发性腹膜炎,其他治疗,推荐用药,氨基糖苷类,西药,guideline,"""氨基糖苷类是治疗原发性腹膜炎的备选药物。""",7.0
原发性腹膜炎,其他治疗,推荐用药,碳青霉烯类,其他治疗,guideline,"""碳青霉烯类是治疗原发性腹膜炎的备选药物。""",7.0
继发性腹膜炎,疾病,相关,腹腔开放术后并发的念珠菌性腹膜炎,疾病,guideline,"""腹腔开放术后并发的念珠菌性腹膜炎定义模糊，常转变为继发性腹膜炎。",14.0
继发性腹膜炎,疾病,病因,肠杆菌目细菌,病原体,guideline,"""肠杆菌目细菌是引起继发性腹膜炎的主要病原体。""<SEP>""肠杆菌目细菌是继发性腹膜炎的常见病原体。""",25.0
继发性腹膜炎,疾病,临床表现,厌氧菌,病原体,guideline,"""厌氧菌在继发性腹膜炎中少见。""",7.0
继发性腹膜炎,疾病,推荐用药,哌拉西林/他唑巴坦,其他治疗,guideline,"""哌拉西林/他唑巴坦是治疗继发性腹膜炎的首选药物之一。""<SEP>""哌拉西林/他唑巴坦用于治疗继发性腹膜炎。""",24.0
继发性腹膜炎,疾病,推荐用药,哌拉西林/舒巴坦,西药,guideline,"""哌拉西林/舒巴坦用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,厄他培南,其他治疗,guideline,"""厄他培南用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,头孢他啶,其他治疗,guideline,"""头孢他啶用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,头孢吡肟,其他治疗,guideline,"""头孢吡肟用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,头孢美唑,西药,guideline,"""头孢美唑用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,头孢西丁,西药,guideline,"""头孢西丁用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,阿米卡星,其他治疗,guideline,"""阿米卡星用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,亚胺培南/西司他丁,西药,guideline,"""亚胺培南/西司他丁是治疗重症继发性腹膜炎的首选药物之一。""<SEP>""亚胺培南/西司他丁用于治疗继发性腹膜炎。""",24.0
继发性腹膜炎,疾病,推荐用药,美罗培南,其他治疗,guideline,"""美罗培南用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,头孢哌酮/舒巴坦,西药,guideline,"""头孢哌酮/舒巴坦用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,推荐用药,莫西沙星,其他治疗,guideline,"""莫西沙星用于治疗继发性腹膜炎。""",8.0
继发性腹膜炎,疾病,病因,白念珠菌,病原体,guideline,"""白念珠菌是引起继发性腹膜炎的病原体之一。""",9.0
继发性腹膜炎,疾病,治疗,甲硝唑,其他治疗,guideline,"""甲硝唑用于治疗继发性腹膜炎。""<SEP>""甲硝唑用于覆盖继发性腹膜炎中的厌氧菌。""",24.0
继发性腹膜炎,疾病,检查,血培养瓶,诊疗技术及设备,guideline,"""血培养瓶用于提高腹水培养阳性率，是诊断继发性腹膜炎的检查方法。""",8.0
继发性腹膜炎,疾病,发病机制,多形核白细胞（pmn）,部位,guideline,"""多形核白细胞（PMN）吞噬细菌的机会影响继发性腹膜炎的培养阳性率。""",7.0
继发性腹膜炎,疾病,注意事项,氨基糖苷类,西药,guideline,"""肝病患者尽量不用氨基糖苷类治疗继发性腹膜炎。""",7.0
继发性腹膜炎,疾病,病因,腹腔脏器穿孔,流行病学,guideline,"""继发性腹膜炎常由腹腔脏器穿孔引起。""<SEP>""腹腔脏器穿孔是继发性腹膜炎的常见原因。""",882.0
继发性腹膜炎,疾病,病因,拟杆菌,病原体,guideline,"""拟杆菌是继发性腹膜炎的常见厌氧菌病原体。""",16.0
继发性腹膜炎,疾病,治疗,外科手术治疗,手术治疗,guideline,"""大多须外科手术治疗来控制感染源。""",18.0
继发性腹膜炎,疾病,治疗,感染源控制,指南建议,guideline,"""感染源控制是治疗继发性腹膜炎的关键。""",18.0
继发性腹膜炎,疾病,推荐疗程,疗程,其他治疗,guideline,"""继发性腹膜炎的抗感染疗程通常不超过4天，重症7~10天。""",14.0
继发性腹膜炎,疾病,发病部位,腹腔,其他治疗,guideline,"""继发性腹膜炎通常发生在腹腔。""",882.0
继发性腹膜炎,疾病,治疗,控制病灶,其他治疗,guideline,"""控制病灶是治疗继发性腹膜炎的关键措施。""",9.0
复杂腹腔感染,其他治疗,适应症,头孢他啶/阿维巴坦,其他治疗,guideline,"""头孢他啶/阿维巴坦可用于复杂腹腔感染的治疗。""<SEP>""头孢他啶/阿维巴坦已获批用于治疗复杂腹腔感染（与甲硝唑联合）。""",105.0
复杂腹腔感染,其他治疗,适应症,依拉环素,其他治疗,guideline,"""依拉环素已被FDA批准用于复杂腹腔感染的治疗。""",108.0
复杂腹腔感染,其他治疗,相关,头孢地尔,西药,guideline,"""头孢地尔对复杂腹腔感染的疗效尚待进一步的研究证实。""",66.0
脓毒症,疾病,并发症,腹腔感染,其他治疗,guideline,"""腹腔感染可进展为脓毒症，是腹腔感染的严重并发症。""",9.0
脓毒症,疾病,经验性治疗,经验性抗感染治疗,其他治疗,guideline,"""确诊脓毒症后需在1h内开始经验性抗菌药物治疗。""",18.0
脓毒症,疾病,联合用药,经验性治疗,其他治疗,guideline,"""Sepsis requires combination antibiotic therapy for suspected PA pneumonia.""",9.0
脓毒症,疾病,注意事项,肠内营养,其他治疗,guideline,"""PA肺炎合并脓毒症者应尽早启动肠内营养。",9.0
脓毒症,疾病,并发症,急性支气管炎 (cap),指南建议,guideline,"""急性支气管炎严重时可并发脓毒症。""",8.0
脓毒症,疾病,诊断依据,qsofa评分,检查,guideline,"""qSOFA评分用于早期识别存在感染继发脓毒症的患者。""",9.0
脓毒症,疾病,不良反应,替加环素,其他治疗,guideline,"""替加环素可能降低CDI患者的脓毒症发生率。""<SEP>""替加环素可能降低脓毒症发生率。""",13.0
脓毒症,疾病,推荐用药,美罗培南,其他治疗,guideline,"""美罗培南是治疗新生儿脓毒症的核心抗菌药物。""",9.0
脓毒症,疾病,临床表现,医院获得性肺炎（hap）,疾病,guideline,"""脓毒症是医院获得性肺炎（HAP）重症的表现之一。""",8.0
脓毒症,疾病,病因,感染,科室,guideline,"""脓毒症是感染引起的全身性严重反应，文中提到伴脓毒症的感染需使用强效抗生素。""",18.0
脓毒症,疾病,推荐用药,碳青霉烯类,其他治疗,guideline,"""碳青霉烯类是治疗伴脓毒症的严重感染的常用药物。""",16.0
脓毒症,疾病,相关疾病,铜绿假单胞菌,其他治疗,guideline,"""脓毒症是铜绿假单胞菌感染的严重伴随状况。""",8.0
脓毒症,疾病,所属科室,重症医学科,其他治疗,guideline,"""脓毒症患者的管理通常在重症医学科进行。""",9.0
脓毒症,疾病,推荐用药,头孢曲松钠,其他治疗,guideline,"""头孢曲松钠是治疗脓毒症的药物之一。""",8.0
脓毒症,疾病,用法用量,多黏菌素类药物,西药,guideline,"""对于合并脓毒症的危重患者，多黏菌素B治疗建议给予负荷剂量及较大维持剂量。""",8.0
脓毒症,疾病,易感人群,高危患者,流行病学,guideline,"""高危患者指由病原体引起脓毒症的患者。""",9.0
脓毒症,疾病,联合用药,联合治疗,其他治疗,guideline,"""脓毒症合并MDR革兰阴性菌高危的铜绿假单胞菌感染需联合治疗。""",8.0
脓毒症,疾病,预防措施,皮肤软组织操作,手术治疗,guideline,"""皮肤软组织操作可能导致脓毒症，需考虑预防性使用抗生素。""",7.0
脓毒症,疾病,预后,dfi,疾病,guideline,"""Severe DFI can progress to sepsis, which can be predicted using various scoring systems.""",7.0
脓毒症,疾病,诊断依据,news,检查,guideline,"""NEWS scoring system is used to identify or predict prognosis in sepsis patients with DFI.""",7.0
脓毒症,疾病,诊断依据,qsofa,检查,guideline,"""qSOFA scoring system is used to identify or predict prognosis in sepsis patients with DFI.""",7.0
脓毒症,疾病,病因,肺炎克雷伯菌,病原体,guideline,"""肺炎克雷伯菌可引起脓毒症。""",18.0
脓毒性休克,疾病,临床表现,穿孔,其他治疗,guideline,"""穿孔晚期可表现为脓毒性休克。""",16.0
脓毒性休克,疾病,经验性治疗,经验性抗感染治疗,其他治疗,guideline,"""确诊脓毒性休克后需在1h内开始经验性抗菌药物治疗。""",18.0
脓毒性休克,疾病,并发症,术后腹腔内感染（iai）,疾病,guideline,"""脓毒性休克是术后IAI的一种严重并发症，常见于弥散性继发性和第三级腹膜炎。",18.0
脓毒性休克,疾病,病因,血流感染,疾病,guideline,"""ESBL-E引起的血流感染可能继发脓毒性休克。""",8.0
脓毒性休克,疾病,联合用药,碳青霉烯类,其他治疗,guideline,"""合并脓毒性休克需要联合使用抗菌药物，碳青霉烯类是主要联合用药方案之一""<SEP>""碳青霉烯类需要与喹诺酮类或氨基糖苷类联合使用治疗合并脓毒性休克的ESBL-E感染""",17.0
脓毒性休克,疾病,联合用药,喹诺酮类,西药,guideline,"""合并脓毒性休克需要联合使用抗菌药物，喹诺酮类是主要联合用药方案之一""",8.0
脓毒性休克,疾病,联合用药,氨基糖苷类,西药,guideline,"""合并脓毒性休克需要联合使用抗菌药物，氨基糖苷类是主要联合用药方案之一""",8.0
脓毒性休克,疾病,联合用药,β-内酰胺类/β-内酰胺酶抑制剂,药物,guideline,"""β-内酰胺类/β-内酰胺酶抑制剂需要与喹诺酮类或氨基糖苷类联合使用治疗合并脓毒性休克的ESBL-E感染""",9.0
脓毒性休克,疾病,联合用药,联合用药,其他治疗,guideline,"""少数严重感染如并发脓毒性休克的患者需要联合用药方案""<SEP>""联合用药方案适用于并发脓毒性休克的严重ESBL-E感染患者""",18.0
脓毒性休克,疾病,并发症,esbl-e感染,疾病,guideline,"""脓毒性休克是ESBL-E感染的严重并发症，影响治疗方案选择""",9.0
脓毒性休克,疾病,推荐用药,碳青霉烯类抗菌药物,西药,guideline,"""碳青霉烯类抗菌药物用于治疗并发脓毒性休克的严重ESBL-E感染""",9.0
多器官功能衰竭,症状,并发症,感染性胰腺坏死,疾病,guideline,"""多器官功能衰竭是感染性胰腺坏死的常见并发症。""",9.0
多器官功能衰竭,症状,并发症,重症肺结核,疾病,guideline,"""多器官功能衰竭是重症肺结核的严重并发症，检索词中包含此术语。",14.0
多器官功能衰竭,症状,诊断依据,mods评分量表,其他治疗,guideline,"""MODS评分量表可用于评估多器官功能衰竭情况。""",18.0
急性胆囊炎,疾病,病因,胆道梗阻,流行病学,guideline,"""急性胆囊炎常伴有胆道梗阻。""<SEP>""胆道梗阻是急性胆囊炎的常见诱因。""",882.0
急性胆囊炎,疾病,病因,肠杆菌目,病原体,guideline,"""肠杆菌目是急性胆囊炎的常见病原体。""",16.0
急性胆囊炎,疾病,病因,肠球菌,病原体,guideline,"""肠球菌是急性胆囊炎的病原体之一。""",14.0
急性胆囊炎,疾病,病因,拟杆菌,病原体,guideline,"""拟杆菌是急性胆囊炎的病原体之一。""",14.0
急性胆囊炎,疾病,推荐用药,哌拉西林/他唑巴坦,其他治疗,guideline,"""哌拉西林/他唑巴坦是治疗急性胆囊炎的首选药物之一。""",16.0
急性胆囊炎,疾病,推荐用药,厄他培南,其他治疗,guideline,"""厄他培南是治疗急性胆囊炎的首选药物之一。""",16.0
急性胆囊炎,疾病,推荐用药,亚胺培南/西司他丁,西药,guideline,"""亚胺培南/西司他丁是治疗重症急性胆囊炎的首选药物之一。""",16.0
急性胆囊炎,疾病,推荐用药,美罗培南,其他治疗,guideline,"""美罗培南是治疗重症急性胆囊炎的首选药物之一。""",16.0
急性胆囊炎,疾病,替代用药,环丙沙星,其他治疗,guideline,"""环丙沙星是治疗急性胆囊炎的备选药物之一。""",14.0
急性胆囊炎,疾病,替代用药,莫西沙星,其他治疗,guideline,"""莫西沙星是治疗急性胆囊炎的备选药物之一。""",14.0
急性胆囊炎,疾病,替代用药,万古霉素,其他治疗,guideline,"""万古霉素用于覆盖院内发病的急性胆囊炎中的耐药菌。""",14.0
急性胆囊炎,疾病,替代用药,利奈唑胺,其他治疗,guideline,"""利奈唑胺用于覆盖院内发病的急性胆囊炎中的耐药菌。""",14.0
急性胆囊炎,疾病,治疗,外科手术治疗,手术治疗,guideline,"""重症感染和有胆道梗阻者必须通过手术或置管进行引流。""",18.0
急性胆囊炎,疾病,检查,血培养,检查,guideline,"""严重急性胆管炎开始抗生素治疗前须抽取血培养。""",16.0
急性胆囊炎,疾病,治疗,引流,手术治疗,guideline,"""重症急性胆囊炎需要充分引流。""",882.0
急性胆囊炎,疾病,发病部位,胆囊,部位,guideline,"""急性胆囊炎发生在胆囊。""",980.0
急性胆囊炎,疾病,相关指南,指南建议,指南建议,guideline,"""指南建议提供了急性胆囊炎治疗的推荐方案和疗程。""",784.0
急性胆囊炎,疾病,预后,预后,流行病学,guideline,"""急性胆囊炎的预后取决于治疗是否及时有效。""",686.0
急性胆囊炎,疾病,临床表现,发热,症状,guideline,"""急性胆囊炎患者可能伴有发热。""",784.0
创伤,流行病学,治疗,胸部引流,诊疗技术及设备,guideline,"""创伤患者可能使用胸部引流。""",8.0
创伤,流行病学,治疗,腹部引流,诊疗技术及设备,guideline,"""创伤患者可能使用腹部引流。""",8.0
创伤,流行病学,危险因素,角膜炎,疾病,guideline,"""创伤是棘阿米巴原虫性角膜炎的危险因素。""",7.0
创伤,流行病学,相关指南,闭合骨折切开内固定,手术治疗,guideline,"""荷兰的一项创伤研究评估了头孢曲松在闭合骨折切开内固定术中的预防效果。""",7.0
肿瘤,疾病,鉴别诊断,胸部ct,检查,guideline,"""胸部CT用于鉴别肺炎和肿瘤。""",8.0
肿瘤,疾病,相关指南,欧洲会议立场文件,其他治疗,guideline,"""欧洲会议立场文件针对肿瘤领域的感染问题。""",8.0
肿瘤,疾病,病因,慢性脑膜炎,其他治疗,guideline,"""肿瘤是引起慢性脑膜炎的非感染性病因之一。""",7.0
肿瘤,疾病,并发症,宫颈疣,其他治疗,guideline,"""宫颈疣可能发展成肿瘤，需随访。""",16.0
肿瘤,疾病,临床表现,免疫功能低下,流行病学,guideline,"""肿瘤患者常伴有免疫功能低下。""",8.0
肿瘤,疾病,检查,免疫学检测,检查,guideline,"""免疫学检测广泛应用于肿瘤的诊断和预后判断。""",18.0
肿瘤,疾病,危险因素,hiv,疾病,guideline,"""HIV-induced immune deficiency increases the risk of developing tumors.""",8.0
肿瘤,疾病,并发症,aids,疾病,guideline,"""肿瘤 is a complication in AIDS patients.""",8.0
肠梗阻,疾病,禁忌,肠内营养支持,其他治疗,guideline,"""肠梗阻是肠内营养的禁忌证之一，CDI患者如存在肠梗阻，不应进行肠内营养支持。""",8.0
肠梗阻,疾病,禁忌,盐酸洛哌丁胺,西药,guideline,"""Loperamide is contraindicated in CDI patients with intestinal obstruction.""",9.0
肠梗阻,疾病,不良反应,氯法齐明,西药,guideline,"""氯法齐明可致肠梗阻，极为罕见。""",12.0
