name,type,description,source
耐药菌,病原体,"""Drug-resistant bacteria (耐药菌) are bacteria that are not susceptible to standard antibiotics, requiring alternative agents or higher doses.""<SEP>""Drug-resistant bacteria are pathogens that have developed resistance to antibiotics, influencing the choice of empirical therapy.""<SEP>""耐药菌是导致复杂腹腔感染的可能病原体",guideline
抗菌药物,西药,抗菌药物是一类用于抑制或杀灭细菌的药物总称，是治疗细菌感染的主要手段。它包括抗生素和合成抗菌药，涵盖多种类别，如β-内酰胺类（包括青霉素类、头孢菌素类、碳青霉烯类如美罗培南/MEM）、氟喹诺酮类、氨基糖苷类、四环素类（如多西环素、米诺环素）、大环内酯类（如奎奴普丁/达福普汀）、利福霉素类（如利福平、利福霉素SV、利福昔明）、硝基咪唑类（如塞克硝唑）、磺胺类（如磺胺甲噁唑）、甲氧苄啶、噁唑烷酮类（如利奈唑胺、特地唑胺）、多肽类（如多黏菌素E、多黏菌素B）、甘氨酰环素类（如依拉环素、奥马环素）、磷霉素、夫西地酸等。此外，抗菌药物的范围也扩展至抑制或杀灭其他微生物的药物，包括抗真菌药物（如泊沙康唑、,"medical_kg,guideline"
抗菌药物治疗,其他治疗,"""Antibiotic therapy is the cornerstone of CDI treatment, with empirical use recommended for suspected cases to reduce symptom recurrence and improve outcomes.""<SEP>""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""抗菌药物治疗方案的选择和调整直接影响腹腔感染的预后。""<SEP>""抗菌药物治疗是腹腔感染的主要治疗手段之一，通常需要联合手术治疗。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""抗菌药物治疗是","medical_kg,guideline"
外科治疗,手术治疗,"""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""外科治疗是上消化道穿孔的主要治疗方法，诊断明确后应积极进行。""<SEP>""外科治疗是腹腔感染治疗中感染源控制的重要手段，目的是通过穿刺引流、切除或清创等方法使感染灶局限或清除坏死组织，并最大限度恢复器官解剖和生理功能。""<SEP>""外科治疗是腹腔感染诊治的重要组成部分，通常需要联合抗菌药物治疗。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""毛霉病治疗的重要原则，包括局部清创、感染组织或脏器的切除，应及早进行。""<SEP>""外科治疗是急性咽炎/扁桃体炎（如扁桃体周围脓肿）的重要治疗手段。""<SEP>""外科治疗是细菌","medical_kg,guideline"
局部病灶处置,其他治疗,"""局部病灶处置是腹腔感染诊治的重要组成部分，属于外科治疗范畴。""",guideline
病原学检测,检查,"""Etiological detection involves collecting and analyzing respiratory specimens (sputum, BALF, etc.) for pathogen identification and drug susceptibility, crucial for diagnosing PA infection.""<SEP>""Etiological detection is crucial for diagnosing PA infection.""|>10<SEP>""Etiological detection is part of","medical_kg,guideline"
sofa,其他治疗,"""ICU是重症医学科，SOFA评分标准适用于ICU，用于判断重症感染。""<SEP>""SOFA评分用于判断和评估腹腔感染的危重症程度。""<SEP>""平均动脉压是SOFA评分中评估心血管系统功能的指标。""<SEP>""总胆红素是SOFA评分中评估肝功能的指标，其评分分为五个等级。""<SEP>""氧合指数是SOFA评分中评估呼吸功能的指标，其评分分为五个等级。""<SEP>""血小板计数是SOFA评分中评估凝血功能的指标，其评分分为五个等级。""",guideline
qsofa,检查,"""Quick Sequential Organ Failure Assessment, used to identify or predict prognosis in sepsis patients.""<SEP>""qSOFA可作为院外、急诊室和普通病房腹腔感染重症感染的初筛工具。""",guideline
氧合指数,检查,"""Oxygenation index (PaO2/FiO2) is a parameter used to assess lung injury severity in patients with IPA. Values below 400 mmHg are associated with higher mortality.""<SEP>""氧合指数是SOFA评分中评估呼吸功能的指标，其评分分为五个等级。""<SEP>""评估肺氧合功能的指标，用于判断ARDS严重程度及指导糖皮质激素使用（如<300mmHg提示重症）。""",guideline
血小板计数,检查,"""血小板计数是SOFA评分中评估凝血功能的指标，其评分分为五个等级。""<SEP>""血小板计数是评估凝血功能和感染严重程度的指标，严重感染时可能降低。""","medical_kg,guideline"
总胆红素,检查,"""总胆红素是SOFA评分中评估肝功能的指标，其评分分为五个等级。""<SEP>""总胆红素是用于评分的实验室指标，根据数值不同（如少于20μmol/L、20-32μmol/L等）对应不同的分值。""<SEP>""血液中胆红素的总量，升高提示胆红素代谢障碍，如黄疸的指标。""",guideline
平均动脉压（map）,其他治疗,"""一种血流动力学监测指标，重症腹腔感染患者需维持≥65 mmHg，通过血管活性药物调节。""<SEP>""平均动脉压是SOFA评分中评估心血管系统功能的指标。""",guideline
腹部,其他治疗,"""腹部是腹腔感染发生的解剖部位。""",guideline
腹腔,部位,"""引流设备用于去除术后脓肿积聚液体的部位。""<SEP>""腹腔是侵袭性念珠菌病第二常见的感染部位，尤其在肝移植受者中。""<SEP>""腹腔是感染发生的腔隙。""<SEP>""腹膜腔，是腹腔感染的主要发病部位。""<SEP>""腹腔是终末期肝病合并感染的常见部位，易发生自发性细菌性腹膜炎、结核性腹膜炎及真菌性腹膜炎。""<SEP>""腹腔是容纳腹腔脏器的腔隙。""<SEP>""腹腔是腹部的空腔，可能受结核病影响。""<SEP>""腹腔是脆弱拟杆菌等厌氧菌的感染部位。""<SEP>""腹腔是腹腔感染的发生部位。""<SEP>""腹腔是腹部内的空间，包含胃、肠、肝等器官，是复杂性腹腔感染的常见部位。""<SEP>""腹腔是腹部内的空间 | 依拉环素可用于治疗腹腔感染。",guideline
体腔浆膜,部位,"""The peritoneum is a site of extrapulmonary tuberculosis, with a recommended treatment duration of 6 months.""<SEP>""腹膜是细菌性腹膜炎的发生部位。""<SEP>""腹膜是腹腔感染累及的部位。""<SEP>""腹膜是覆盖腹腔内脏的膜，可能受结核病影响。""<SEP>""覆盖在腹腔内脏表面和腹壁内面的浆膜，可因结核感染发生炎症。""<SEP>""覆盖腹腔内脏的膜，真菌性腹膜炎的发生部位。""<SEP>""腹膜是腹膜炎的感染部位。""<SEP>""腹膜是腹膜透析（CAPD）中进行物质交换的场所，影响药物的清除。 | ""Abdominal cavity is the site of intraabdominal infections, requiring antimicrobial therapy.""<SEP>""Abdominal cavity is the site of intraabdominal infections, requiring antimicrobial therapy.""<SEP>""Location where intra-abdominal candidiasis occurs.""<SEP>""The abdominal cavity is the site of infection ","medical_kg,guideline"
肠系膜,部位,"""肠系膜是TM病累及消化系统时的常见部位，影像学检查可见多发肿大淋巴结，CT和MRI有特征性表现。""<SEP>""肠系膜是复杂腹腔感染可能累及的部位。""<SEP>""肠系膜是连接肠道和腹壁的组织，可能受结核病影响。""",guideline
后腹膜,其他治疗,"""后腹膜是复杂腹腔感染可能累及的部位。""",guideline
腹壁,其他治疗,"""腹壁是复杂腹腔感染可能累及的部位。""",guideline
胃肠道,部位,"""Gastrointestinal tract refers to the esophagus and intestines affected by CMV esophagitis/enteritis.""<SEP>""Gastrointestinal tract, a potential site of mucormycosis infection, though less common than pulmonary or cutaneous forms.""<SEP>""制霉菌素、泊沙康唑等药物可导致胃肠道不良反应。""<SEP>""消化系统感染。""<SEP>""胃肠道是定植菌常见的定植部位之一。""<S",guideline
内脏,部位,"""体腔内的器官。DRESS综合征可累及内脏。""<SEP>""内脏是原发性腹膜炎定义中不存在破损的部位。""","medical_kg,guideline"
器官,部位,"""器官是人体结构功能单位，侵袭性操作可能涉及器官，需严格掌握指征。""<SEP>""器官是腹腔感染累及的部位，非复杂腹腔感染局限于单个器官内。""<SEP>""影响疾病传播的器官因素。""<SEP>""器官是指人体器官，其功能状态受长期血糖控制状态影响。""<SEP>""器官是机体由多种组织构成的、能行使一定功能的结构单位。""","medical_kg,guideline"
手术部位,其他治疗,"""手术部位是医院获得性腹腔感染（器官‐腔隙感染）的发生部位。""",guideline
icu,科室,"The ICU (Intensive Care Unit), also known as 重症监护室, is a specialized hospital department for critically ill patients. It is a high-risk environment characterized by a large population of susceptible individuals, making it a primary location for outbreaks and the spread of multidrug-resistant organis | ICU收治危重患者，住院CAP患者（ICU）需联合使用大环内酯类和β-内酰胺类抗生素。",guideline
外科,科室,"Based on the provided data, here is a comprehensive summary of the entity ""外科"" (Surgery/Surgical Department):

**Surgery (外科)** is a clinical department responsible for treating diseases through surgical procedures. It serves as a primary or contributing clinical科室 (department) across a wide spectru","medical_kg,guideline"
内科；急诊科,科室,"""专门从事重症患者救治的临床科室。文中特别指出重症患者在使用脂质体两性霉素B时需考虑实际体重。""<SEP>""重症医学科是处理严重不良反应（如心源性猝死、多器官衰竭）的科室。""<SEP>""重症医学科是负责重症脑膜炎患者治疗的科室。""<SEP>""重症医学科负责重症脑膜炎患者的监护和治疗，特别是伴有意识障碍或休克的患者。""<SEP>重症医学科是负责危重症患者救治的临床科室，通常作为重症监护病房（ICU）运作。该科室是医院内收治危重患者（如重症感染、严重血流感染、休克、呼吸衰竭、多器官功能衰竭等）的核心部门，常处理重症肺炎、脓毒症、感染性休克及机械通气患者。作为医院感染控制和重症感染管理的重点部门，重 | ""呼吸与危重症医学科是涉及重症肺结核诊疗的专业科室之一，本指南供其专业人员使用。""<SEP>""呼吸与危重症医学科是涉及重症肺结核诊疗的专业科室之一，本指南供其专业人员使用。""<SEP>""呼吸与危重症医学科是诊治变应性支气管肺曲霉病（ABPA）、侵袭性肺曲霉病（IPA）等肺部真菌感染的主要科室。""<SEP>""呼吸与危重症医学科是负责诊治呼吸系统疾病及危重症患者的临床科室，是铜绿假单胞菌下呼吸道感染的主要诊治科室。""<SEP>""负责诊治呼吸系统疾病及危重症患者的科室，是流感、COVID-19、ARDS等疾病的主要诊疗科室。"" | ""负责收治危重症患者的科室，流感、COVID-19、ARDS等重症患者常需转入ICU进行监护和治疗。""","medical_kg,guideline"
感染科,科室,"The Infectious Diseases Department (感染科) is a specialized clinical department responsible for the diagnosis, treatment, and management of a wide range of infectious diseases caused by various pathogens, including bacteria, viruses, fungi, parasites, and drug-resistant organisms. It serves as a core  | 感染科负责菌血症的诊断和治疗。","medical_kg,guideline"
检验科,科室,"""检验科是参与腹腔感染诊治的多学科之一，负责病原学检测和实验室检查。""<SEP>""进行实验室检测的科室。""<SEP>""检验科是进行各种实验室检查的科室，包括血常规、尿常规等。""<SEP>""负责实验室检查的科室。""","medical_kg,guideline"
临床药学,科室,"""Clinical pharmacy (临床药学) is a discipline that provides pharmacokinetic services, including therapeutic drug monitoring and dose individualization.""<SEP>""临床药学是参与腹腔感染诊治的多学科之一，负责抗菌药物的合理应用。""<SEP>""临床药学科负责抗菌药物的合理使用和药学监护，在PA感染的治疗中提供药物选择和剂量调整的建议。""<SEP>""临床药学是参与本共识制定的多学科之一，专注于药物在临床应用中的合理性和有效性。""",guideline
普通外科,其他治疗,"""普通外科是外科的一个分支，参与腹腔感染的诊治。""","medical_kg,guideline"
中华医学会外科学分会,其他治疗,"""中华医学会外科学分会是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。""",guideline
中国研究型医院学会感染性疾病循证与转化专业委员会,其他治疗,"""中国研究型医院学会感染性疾病循证与转化专业委员会是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。""",guideline
中华外科杂志编辑部,其他治疗,"""中华外科杂志编辑部是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。""",guideline
美国内科医师协会临床指南委员会,其他治疗,"""美国内科医师协会临床指南委员会发布的推荐等级评估系统被本共识参考，用于评价证据等级并提出指导性建议。""",guideline
社区获得性腹腔感染,疾病,"""中重度社区获得性腹腔感染可选择碳青霉烯类或β-内酰胺类/β-内酰胺酶抑制剂联合替加环素治疗""<SEP>""社区获得性腹腔感染是一种感染类型，中重度病例可以选择碳青霉烯类等抗菌药物治疗。""<SEP>""社区获得性腹腔感染是根据感染发生地点分类的一种腹腔感染，包括化脓性阑尾炎、消化道穿孔合并腹膜炎等。""",guideline
医院获得性腹腔感染,疾病,"""医院获得性腹腔感染是根据感染发生地点分类的一种腹腔感染，包括术后吻合口漏继发腹腔感染、胰腺炎合并胰周感染、手术部位感染等。""<SEP>""在医院环境中获得的腹腔感染，治疗失败后需调整抗菌药物方案。""<SEP>""手术部位是医院获得性腹腔感染（器官‐腔隙感染）的发生部位。""<SEP>""治疗失败后的医院获得性腹腔感染需调整抗菌药物方案。""",guideline
预后,流行病学,"预后是指疾病的发展和结局，包括治愈、好转、恶化、复发、死亡及并发症等，是评估治疗效果和预测未来健康状况的重要指标。预后受多种因素影响，包括病原体类型（如病毒、细菌、真菌）、感染部位、症状严重程度、患者免疫状态（尤其是免疫受损患者）、治疗时机与方案选择、诊断的及时性与准确性、源头控制的时机与充分性，以及抗菌或抗病毒治疗的有效性。早期、快速和准确的诊断对改善预后至关重要，早期诊断和及时治疗通常能改善预后，而漏诊、误诊或治疗延迟则会导致预后不良。重症患者的预后通常较差，常表现为病死率高。

在不同疾病中，预后的具体表现和影响因素有所差异：
- **真菌感染**：预后取决于病原体、患者免疫状态和治疗及",guideline
发热,症状,"Fever (发热) is a physiological response of the body to infection or inflammation and is considered a non-specific, systemic symptom. It is defined as an elevation in body temperature, typically as a single oral temperature ≥38.3°C (axillary ≥38.0°C), or an oral temperature ≥38.0°C (axillary ≥37.7°C) ","medical_kg,guideline"
转移性右下腹痛,症状,"""转移性右下腹痛是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""",guideline
麦氏点压痛,症状,"""麦氏点压痛是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""",guideline
murphy 征阳性,症状,"""Murphy 征阳性是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""",guideline
停止排气排便,症状,"""停止排气排便是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""",guideline
腹部压痛,症状,"""腹部压痛是TM病累及消化系统时查体可见的体征，提示消化系统受累。""<SEP>""腹部压痛是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""<SEP>""腹部压痛是腹膜炎的常见体征，但在大量腹水时可能不明显。""","medical_kg,guideline"
反跳痛,症状,"""反跳痛是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""<SEP>""反跳痛是腹膜炎的常见体征，但在大量腹水时可能不明显。""",guideline
肌紧张,症状,"""肌紧张是腹腔感染相关的临床表现之一，对腹腔感染的诊断有重要意义。""",guideline
多巴胺,西药,"""一种血管活性药物，可用于替代去甲肾上腺素治疗低危的心动过速、绝对或相对心动过缓患者，但不推荐低剂量用于肾脏保护。""<SEP>""多巴胺是一种血管活性药物，用于心血管系统评分，其用药计量单位为 $\mu \mathrm { g } \cdot \mathrm { k g } ^ { - 1 } \cdot \mathrm { m i n } ^ { - 1 }$。根据剂量不同（少于5、5到15、大于15），在评分中对应不同的分值。""","medical_kg,guideline"
多巴酚丁胺,西药,"""一种正性肌力药物，可用于经充分液体负荷及缩血管药物治疗后仍存在持续低灌注的患者。""<SEP>""多巴酚丁胺可用于经充分液体负荷及缩血管药物治疗后仍存在持续低灌注的患者。""<SEP>""多巴酚丁胺是一种血管活性药物，用于心血管系统评分，其用药计量单位为 $\mu \mathrm { g } \cdot \mathrm { k g } ^ { - 1 } \cdot \mathrm { m i n } ^ { - 1 }$。使用任何剂量时，在评分中得2分。""","medical_kg,guideline"
肾上腺素,西药,"""一种血管活性药物，当去甲肾上腺素剂量较大时可加用，以辅助维持平均动脉压。""<SEP>""肾上腺素是一种儿茶酚胺类血管活性药物，用于心血管系统评分，其用药计量单位为 $\mu \mathrm { g } \cdot \mathrm { k g } ^ { - 1 } \cdot \mathrm { m i n } ^ { - 1 }$。根据剂量不同（小于或等于0.1、大于0.1），在评分中对应不同的分值。""<SEP>""肾上腺素是血管活性药物，用于治疗气道雾化吸入多黏菌素类药物引起的过敏性休克，以保证灌注压。""","medical_kg,guideline"
去甲肾上腺素,西药,"""一种血管活性药物，是重症腹腔感染合并感染性休克患者升压治疗的首选药物，用于维持平均动脉压（MAP）≥65 mmHg。""<SEP>""共识31推荐去甲肾上腺素作为感染性休克患者的首选升压药物。""<SEP>""去甲肾上腺素是一种儿茶酚胺类血管活性药物，用于心血管系统评分，其用药计量单位为 $\mu \mathrm { g } \cdot \mathrm { k g } ^ { - 1 } \cdot \mathrm { m i n } ^ { - 1 }$。根据剂量不同（少于0.1、大于0.1），在评分中对应不同的分值。""<SEP>""去甲肾上腺素是重症腹腔感染合并感染性休克患者的首选升压药物，用于维","medical_kg,guideline"
白细胞计数,检查,"""White blood cell count (白细胞计数) is a component of the complete blood count used to assess infection and inflammation.""<SEP>""常规血液检查项目，升高时可能提示细菌感染。""<SEP>""白细胞计数是上消化道穿孔的实验室检查指标，升高提示感染。""<SEP>""白细胞计数是腹腔感染实验室检查的常见项目，其结果增高对腹腔感染的诊断有重要意义。在评分系统中，白细胞计数（单位为 $\times 10^9/L$）根据数值不同（如低于100、低于50等）对应不同的分值。""<SEP>""白细胞计数","medical_kg,guideline"
中性粒细胞百分比,检查,"""中性粒细胞百分比是上消化道穿孔的实验室检查指标，升高提示细菌感染。""<SEP>""中性粒细胞百分比是腹腔感染实验室检查的常见项目，其结果增高对腹腔感染的诊断有重要意义。""",guideline
c 反应蛋白,检查,"""C 反应蛋白（CRP）是腹腔感染实验室检查的常见项目，其结果增高对腹腔感染的诊断有重要意义。""<SEP>""C反应蛋白（CRP）是一种急性期反应蛋白，在感染和炎症时升高，是腹腔感染常用的血清标志物，用于监测病情变化。""",guideline
降钙素原,检查,"""Procalcitonin (PCT), a biochemical marker that increases in severe pulmonary tuberculosis. Elevated PCT levels indicate a poor prognosis. Continuous monitoring of PCT is recommended.""<SEP>""Procalcitonin (PCT), a biochemical marker that increases in severe pulmonary tuberculosis. Elevated PCT levels","medical_kg,guideline"
