name,name_raw,entity_type_unified,description
肠梗阻,肠梗阻,疾病,"""Intestinal obstruction is a contraindication for enteral nutrition, requiring careful assessment before initiating nutritional support in CDI patients.""<SEP>""Intestinal obstruction, a complication of CDI where loperamide use is contraindicated.""<SEP>""肠梗阻合并穿孔是导致继发性腹膜炎的病因之一。""<SEP>""肠梗阻是肠内营养的禁忌证之一。""<SEP>""肠梗阻是肠内营养的禁忌证，存在肠梗阻的患者无法通过肠内途径进行营养支持。""<SEP>""肠梗阻是沙利度胺的罕见不良反应。""<SEP>""肠梗阻是沙利度胺的罕见严重不良反应。""<SEP>""肠梗阻是沙利度胺的罕见严重不良反应，可能导致剖腹探查。"""
外伤,外伤,流行病学,"""外伤是亚急性或慢性皮肤毛霉病的诱因之一，感染好发于面部和四肢暴露部位。""<SEP>""外伤是导致继发性腹膜炎的病因之一。""<SEP>""外伤是细菌性脑膜炎和脑脓肿的常见诱因之一。""<SEP>""毛霉病的高危因素之一，伤口暴露于环境真菌可导致感染。""<SEP>""毛霉目真菌的孢子可通过外伤途径感染人体。"""
疏松结缔组织炎,疏松结缔组织炎,其他治疗,"""疏松结缔组织炎是复杂腹腔感染的表现之一。"""
感染,感染,科室,"**Infection (感染)** refers to the condition where pathogens—such as bacteria (including drug-resistant strains like CRE, CRKP, CRAB, and CRO Gram-negative bacteria), viruses, fungi, mycobacteria, and Mucorales fungi—invade and multiply in body tissues. This pathological process involves the interaction between the proliferating pathogens and the host, triggering local or systemic inflammatory responses, tissue damage, and disease states. Infection is the core pathological process underlying vario"
意识状态改变,意识状态改变,症状,"""意识状态改变是qSOFA评分的三项指标之一，用于拟诊重症感染。""<SEP>""意识状态改变是老年肺炎患者的非典型症状，表现为精神状态异常。""<SEP>""意识状态改变是脑膜炎和脑炎的常见症状，需进行鉴别诊断。"""
收缩压降低,收缩压降低,其他治疗,"""收缩压降低（≤100 mmHg）是qSOFA评分的三项指标之一，用于拟诊重症感染。"""
呼吸频率增快,呼吸频率增快,其他治疗,"""呼吸频率增快（≥22次/分）是qSOFA评分的三项指标之一，用于拟诊重症感染。"""
器官功能障碍,器官功能障碍,症状,"""一种临床表现，缓解时可停止抗菌药物治疗。""<SEP>""器官功能障碍是重症感染的标志，由感染和SOFA评分≥2分共同判断。""<SEP>""器官功能障碍缓解时可停止抗菌药物治疗。""<SEP>""器官功能异常，是脓毒症的严重后果。"""
全身各系统异常状况,全身各系统异常状况,其他治疗,"""全身各系统异常状况是腹腔感染导致的全身性病理改变，需要纠正。"""
菌群改变,菌群改变,其他治疗,"""菌群改变是导致第三型腹膜炎的原因之一。"""
细菌,细菌,病原体,细菌（Bacteria）是一类原核微生物，作为微organisms，广泛存在于口鼻腔、人工气道及下呼吸道等环境中。它们是引起多种感染性疾病的常见病原体，包括肺炎链球菌、肺炎支原体等呼吸道病原体，以及肠杆菌科细菌、铜绿假单胞菌、鲍曼不动杆菌、革兰阴性杆菌、革兰阳性球菌、非发酵菌、葡萄球菌、肠球菌、嗜杆菌、棒杆菌、消化链球菌等。细菌可通过不同途径（如导管、呼吸道）侵入机体，当数量超过防御能力时可发展为感染。在创面定植后，细菌可引起感染，是导致糖尿病足感染（DFI）的主要病原体，需要根据抗生素敏感性选择治疗。细菌也是腹腔感染、原发性腹膜炎（由胃肠道移位所致）、终末期肝病合并感染、细菌性心包炎及血流感染的常见病原体。在医院感染中，细菌是常见病原体，抗菌药物（如氨基糖苷类、β-内酰胺类、四环素类、多黏菌素类）通过抑制蛋白质合成等机制发挥抗菌作用，但广谱抗菌药物对真菌无效。部分严重疾病（如SFTS）患者可能因合并细菌感染而死亡。总体而言，细菌是一类广泛存在、可引起多种感染性疾病的微生物，是临床抗感染治疗的主要目标，但需注意耐药性问题，如革兰阴性菌对多黏菌素类药物的耐药性。细菌可被识别于伤口培养中，
耐药菌,耐药菌,病原体,"""Drug-resistant bacteria (耐药菌) are bacteria that are not susceptible to standard antibiotics, requiring alternative agents or higher doses.""<SEP>""Drug-resistant bacteria are pathogens that have developed resistance to antibiotics, influencing the choice of empirical therapy.""<SEP>""耐药菌是导致复杂腹腔感染的可能病原体，但复杂腹腔感染不等同于耐药菌所致的院内感染。""<SEP>""耐药菌是指对抗菌药物产生耐药性的细菌，治疗中需避免形成定植菌，减少产生治疗相关的耐药菌。""<SEP>""耐药菌是导致第三级腹膜炎感染持续存在的主要原因之一。""<SEP>""耐药菌是导致第三级腹膜炎感染持续存在的主要原因之一，通常由既往抗生素治疗导致的选择性压力引起。""<SEP>""对一种或多种抗菌药物产生耐药性的细菌，是HAP/VAP、腹腔感染"
抗菌药物,抗菌药物,西药,"抗菌药物是一类用于抑制或杀灭细菌的药物总称，是治疗细菌感染的主要手段。它包括抗生素和合成抗菌药，涵盖多种类别，如β-内酰胺类（包括青霉素类、头孢菌素类、碳青霉烯类如美罗培南/MEM）、氟喹诺酮类、氨基糖苷类、四环素类（如多西环素、米诺环素）、大环内酯类（如奎奴普丁/达福普汀）、利福霉素类（如利福平、利福霉素SV、利福昔明）、硝基咪唑类（如塞克硝唑）、磺胺类（如磺胺甲噁唑）、甲氧苄啶、噁唑烷酮类（如利奈唑胺、特地唑胺）、多肽类（如多黏菌素E、多黏菌素B）、甘氨酰环素类（如依拉环素、奥马环素）、磷霉素、夫西地酸等。此外，抗菌药物的范围也扩展至抑制或杀灭其他微生物的药物，包括抗真菌药物（如泊沙康唑、伏立康唑、棘白菌素类、三萜类）和抗结核药物（如乙胺丁醇、异烟肼、吡嗪酰胺、利福平等），用于精准抗感染治疗。

在临床应用中，抗菌药物主要用于治疗和预防感染性疾病，特别是细菌感染。其使用需依据临床微生物学实验室的药敏试验结果和酶型鉴定结果，根据病原体及其耐药情况，选择基于药敏检测结果、药代动力学/药效学理论及当地细菌谱的方案，并根据感染部位、病原体来源和耐药情况制定差异化治疗策略，包括经验性或目标性"
抗菌药物治疗,抗菌药物治疗,其他治疗,"""Antibiotic therapy is the cornerstone of CDI treatment, with empirical use recommended for suspected cases to reduce symptom recurrence and improve outcomes.""<SEP>""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""抗菌药物治疗方案的选择和调整直接影响腹腔感染的预后。""<SEP>""抗菌药物治疗是腹腔感染的主要治疗手段之一，通常需要联合手术治疗。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""抗菌药物治疗是针对PA感染的基础治疗，但需考虑耐药机制以避免治疗失败。""<SEP>""针对细菌感染的治疗，如CAP和COPD急性加重的治疗。""<SEP>""抗菌药物治疗是急性咽炎/扁桃体炎（细菌性）的核心治疗手段。""<SEP>""抗菌药物治疗是细菌性脑膜炎的核心治疗手段。""<SEP>""抗菌药物治疗是脑脓肿的核心治疗手段。"""
外科治疗,外科治疗,手术治疗,"""复杂腹腔感染一般需要手术联合抗菌药物治疗。""<SEP>""外科治疗是上消化道穿孔的主要治疗方法，诊断明确后应积极进行。""<SEP>""外科治疗是腹腔感染治疗中感染源控制的重要手段，目的是通过穿刺引流、切除或清创等方法使感染灶局限或清除坏死组织，并最大限度恢复器官解剖和生理功能。""<SEP>""外科治疗是腹腔感染诊治的重要组成部分，通常需要联合抗菌药物治疗。""<SEP>""非复杂腹腔感染一般需要手术或抗菌药物治疗。""<SEP>""毛霉病治疗的重要原则，包括局部清创、感染组织或脏器的切除，应及早进行。""<SEP>""外科治疗是急性咽炎/扁桃体炎（如扁桃体周围脓肿）的重要治疗手段。""<SEP>""外科治疗是细菌性脑膜炎（如并发脓肿或分流管感染）的重要治疗手段。""<SEP>""外科治疗是脑脓肿的重要治疗手段。""<SEP>""外科治疗是通过手术干预治疗疾病的方法。在文本中，它被强调为中、重度憩室炎患者的重要治疗手段。""<SEP>""对于中、重度感染患者的重要治疗手段。""<SEP>""外科治疗 refers to surgical treatment, which involves operative procedu"
局部病灶处置,局部病灶处置,其他治疗,"""局部病灶处置是腹腔感染诊治的重要组成部分，属于外科治疗范畴。"""
病原学检测,病原学检测,检查,"""Etiological detection involves collecting and analyzing respiratory specimens (sputum, BALF, etc.) for pathogen identification and drug susceptibility, crucial for diagnosing PA infection.""<SEP>""Etiological detection is crucial for diagnosing PA infection.""|>10<SEP>""Etiological detection is part of the diagnostic criteria for PA infection, which include risk factors.""|>9<SEP>""Etiological detection is the process of identifying pathogens (e.g., PA) from clinical specimens to confirm infection an"
sofa,SOFA,其他治疗,"""ICU是重症医学科，SOFA评分标准适用于ICU，用于判断重症感染。""<SEP>""SOFA评分用于判断和评估腹腔感染的危重症程度。""<SEP>""平均动脉压是SOFA评分中评估心血管系统功能的指标。""<SEP>""总胆红素是SOFA评分中评估肝功能的指标，其评分分为五个等级。""<SEP>""氧合指数是SOFA评分中评估呼吸功能的指标，其评分分为五个等级。""<SEP>""血小板计数是SOFA评分中评估凝血功能的指标，其评分分为五个等级。"""
qsofa,QSOFA,检查,"""Quick Sequential Organ Failure Assessment, used to identify or predict prognosis in sepsis patients.""<SEP>""qSOFA可作为院外、急诊室和普通病房腹腔感染重症感染的初筛工具。"""
氧合指数,氧合指数,检查,"""Oxygenation index (PaO2/FiO2) is a parameter used to assess lung injury severity in patients with IPA. Values below 400 mmHg are associated with higher mortality.""<SEP>""氧合指数是SOFA评分中评估呼吸功能的指标，其评分分为五个等级。""<SEP>""评估肺氧合功能的指标，用于判断ARDS严重程度及指导糖皮质激素使用（如<300mmHg提示重症）。"""
血小板计数,血小板计数,检查,"""血小板计数是SOFA评分中评估凝血功能的指标，其评分分为五个等级。""<SEP>""血小板计数是评估凝血功能和感染严重程度的指标，严重感染时可能降低。"""
总胆红素,总胆红素,检查,"""总胆红素是SOFA评分中评估肝功能的指标，其评分分为五个等级。""<SEP>""总胆红素是用于评分的实验室指标，根据数值不同（如少于20μmol/L、20-32μmol/L等）对应不同的分值。""<SEP>""血液中胆红素的总量，升高提示胆红素代谢障碍，如黄疸的指标。"""
平均动脉压（map）,平均动脉压（MAP）,其他治疗,"""一种血流动力学监测指标，重症腹腔感染患者需维持≥65 mmHg，通过血管活性药物调节。""<SEP>""平均动脉压是SOFA评分中评估心血管系统功能的指标。"""
腹部,腹部,其他治疗,"""腹部是腹腔感染发生的解剖部位。"""
腹腔,腹腔,部位,"""引流设备用于去除术后脓肿积聚液体的部位。""<SEP>""腹腔是侵袭性念珠菌病第二常见的感染部位，尤其在肝移植受者中。""<SEP>""腹腔是感染发生的腔隙。""<SEP>""腹膜腔，是腹腔感染的主要发病部位。""<SEP>""腹腔是终末期肝病合并感染的常见部位，易发生自发性细菌性腹膜炎、结核性腹膜炎及真菌性腹膜炎。""<SEP>""腹腔是容纳腹腔脏器的腔隙。""<SEP>""腹腔是腹部的空腔，可能受结核病影响。""<SEP>""腹腔是脆弱拟杆菌等厌氧菌的感染部位。""<SEP>""腹腔是腹腔感染的发生部位。""<SEP>""腹腔是腹部内的空间，包含胃、肠、肝等器官，是复杂性腹腔感染的常见部位。""<SEP>""腹腔是腹部内的空间，是腹膜炎、腹腔脓肿等疾病的发生部位。""<SEP>""腹部腔隙，是腹腔内感染的发生部位。""<SEP>""腹腔是类鼻疽伯克霍尔德菌感染的常见来源，邻近部位的混合感染可导致脓肿。""<SEP>""腹腔是腹膜炎的感染部位。""<SEP>""腹腔是腹部内的空间，包含多个器官。""<SEP>""腹膜内的空间。腹痛涉及腹腔。""<SEP>""腹部内的空间。腹腔手术涉及此部位。""<SEP>""腹腔是腹部腔体，可发生ESBL-E腹腔感"
腹膜,腹膜,部位,"""The peritoneum is a site of extrapulmonary tuberculosis, with a recommended treatment duration of 6 months.""<SEP>""腹膜是细菌性腹膜炎的发生部位。""<SEP>""腹膜是腹腔感染累及的部位。""<SEP>""腹膜是覆盖腹腔内脏的膜，可能受结核病影响。""<SEP>""覆盖在腹腔内脏表面和腹壁内面的浆膜，可因结核感染发生炎症。""<SEP>""覆盖腹腔内脏的膜，真菌性腹膜炎的发生部位。""<SEP>""腹膜是腹膜炎的感染部位。""<SEP>""腹膜是腹膜透析（CAPD）中进行物质交换的场所，影响药物的清除。"""
肠系膜,肠系膜,部位,"""肠系膜是TM病累及消化系统时的常见部位，影像学检查可见多发肿大淋巴结，CT和MRI有特征性表现。""<SEP>""肠系膜是复杂腹腔感染可能累及的部位。""<SEP>""肠系膜是连接肠道和腹壁的组织，可能受结核病影响。"""
后腹膜,后腹膜,其他治疗,"""后腹膜是复杂腹腔感染可能累及的部位。"""
腹壁,腹壁,其他治疗,"""腹壁是复杂腹腔感染可能累及的部位。"""
胃肠道,胃肠道,部位,"""Gastrointestinal tract refers to the esophagus and intestines affected by CMV esophagitis/enteritis.""<SEP>""Gastrointestinal tract, a potential site of mucormycosis infection, though less common than pulmonary or cutaneous forms.""<SEP>""制霉菌素、泊沙康唑等药物可导致胃肠道不良反应。""<SEP>""消化系统感染。""<SEP>""胃肠道是定植菌常见的定植部位之一。""<SEP>""胃肠道是志贺菌属、沙门菌属等细菌的感染部位。""<SEP>""胃肠道是细菌移位导致原发性腹膜炎的来源。""<SEP>""胃肠道是终末期肝病合并感染的常见部位，易发生细菌感染。""<SEP>""胃肠道是胃肠毛霉病的直接感染部位，感染由食入污染了真菌孢子的食物所致。""<SEP>""鲍曼不动杆菌易定植的部位之一。""<SEP>""胃肠道是膦甲酸钠、氟康唑、伊曲康唑、伏立康唑、卡泊芬净、米卡芬净、特比萘芬可能引起出"
内脏,内脏,部位,"""体腔内的器官。DRESS综合征可累及内脏。""<SEP>""内脏是原发性腹膜炎定义中不存在破损的部位。"""
器官,器官,部位,"""器官是人体结构功能单位，侵袭性操作可能涉及器官，需严格掌握指征。""<SEP>""器官是腹腔感染累及的部位，非复杂腹腔感染局限于单个器官内。""<SEP>""影响疾病传播的器官因素。""<SEP>""器官是指人体器官，其功能状态受长期血糖控制状态影响。""<SEP>""器官是机体由多种组织构成的、能行使一定功能的结构单位。"""
手术部位,手术部位,其他治疗,"""手术部位是医院获得性腹腔感染（器官‐腔隙感染）的发生部位。"""
icu,ICU,科室,"The ICU (Intensive Care Unit), also known as 重症监护室, is a specialized hospital department for critically ill patients. It is a high-risk environment characterized by a large population of susceptible individuals, making it a primary location for outbreaks and the spread of multidrug-resistant organisms (MDROs). Consequently, ICU admission is a documented risk factor for infections, with repeated admissions increasing the risk for specific pathogens such as ESBL-E (Extended-Spectrum Beta-Lactamase"
外科,外科,科室,"Based on the provided data, here is a comprehensive summary of the entity ""外科"" (Surgery/Surgical Department):

**Surgery (外科)** is a clinical department responsible for treating diseases through surgical procedures. It serves as a primary or contributing clinical科室 (department) across a wide spectrum of medical fields, including general surgery, infectious diseases, and specialized surgical interventions.

**Core Responsibilities and Scope:**
The department is fundamentally defined by its role i"
重症医学科,重症医学科,科室,"""专门从事重症患者救治的临床科室。文中特别指出重症患者在使用脂质体两性霉素B时需考虑实际体重。""<SEP>""重症医学科是处理严重不良反应（如心源性猝死、多器官衰竭）的科室。""<SEP>""重症医学科是负责重症脑膜炎患者治疗的科室。""<SEP>""重症医学科负责重症脑膜炎患者的监护和治疗，特别是伴有意识障碍或休克的患者。""<SEP>重症医学科是负责危重症患者救治的临床科室，通常作为重症监护病房（ICU）运作。该科室是医院内收治危重患者（如重症感染、严重血流感染、休克、呼吸衰竭、多器官功能衰竭等）的核心部门，常处理重症肺炎、脓毒症、感染性休克及机械通气患者。作为医院感染控制和重症感染管理的重点部门，重症医学科是医院感染（尤其是机会性致病菌感染）的高发环境，抗感染药物使用普遍，因此是医院感染防控的重点区域，需要建立系统的感染控制规范、培训与考核机制。

在临床诊疗方面，重症医学科是铜绿假单胞菌下呼吸道感染、腹腔感染、播散性毛霉病等感染性疾病诊治的主要科室之一，在重症感染（如PA感染）的诊断和治疗中发挥重要作用。此外，该科室也常负责老年重症肺炎等危重疾病的诊治。

重症医学科是多学科协作的重要组成"
感染科,感染科,科室,"The Infectious Diseases Department (感染科) is a specialized clinical department responsible for the diagnosis, treatment, and management of a wide range of infectious diseases caused by various pathogens, including bacteria, viruses, fungi, parasites, and drug-resistant organisms. It serves as a core clinical unit for handling complex, severe, and refractory infections, often acting as the primary or leading department for conditions such as HIV/AIDS, tuberculosis (including severe pulmonary tuber"
检验科,检验科,科室,"""检验科是参与腹腔感染诊治的多学科之一，负责病原学检测和实验室检查。""<SEP>""进行实验室检测的科室。""<SEP>""检验科是进行各种实验室检查的科室，包括血常规、尿常规等。""<SEP>""负责实验室检查的科室。"""
临床药学,临床药学,科室,"""Clinical pharmacy (临床药学) is a discipline that provides pharmacokinetic services, including therapeutic drug monitoring and dose individualization.""<SEP>""临床药学是参与腹腔感染诊治的多学科之一，负责抗菌药物的合理应用。""<SEP>""临床药学科负责抗菌药物的合理使用和药学监护，在PA感染的治疗中提供药物选择和剂量调整的建议。""<SEP>""临床药学是参与本共识制定的多学科之一，专注于药物在临床应用中的合理性和有效性。"""
普通外科,普通外科,其他治疗,"""普通外科是外科的一个分支，参与腹腔感染的诊治。"""
中华医学会外科学分会,中华医学会外科学分会,其他治疗,"""中华医学会外科学分会是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。"""
中国研究型医院学会感染性疾病循证与转化专业委员会,中国研究型医院学会感染性疾病循证与转化专业委员会,其他治疗,"""中国研究型医院学会感染性疾病循证与转化专业委员会是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。"""
中华外科杂志编辑部,中华外科杂志编辑部,其他治疗,"""中华外科杂志编辑部是参与制定本共识的组织之一，旨在规范外科常见腹腔感染的诊疗行为。"""
美国内科医师协会临床指南委员会,美国内科医师协会临床指南委员会,其他治疗,"""美国内科医师协会临床指南委员会发布的推荐等级评估系统被本共识参考，用于评价证据等级并提出指导性建议。"""
社区获得性腹腔感染,社区获得性腹腔感染,疾病,"""中重度社区获得性腹腔感染可选择碳青霉烯类或β-内酰胺类/β-内酰胺酶抑制剂联合替加环素治疗""<SEP>""社区获得性腹腔感染是一种感染类型，中重度病例可以选择碳青霉烯类等抗菌药物治疗。""<SEP>""社区获得性腹腔感染是根据感染发生地点分类的一种腹腔感染，包括化脓性阑尾炎、消化道穿孔合并腹膜炎等。"""
医院获得性腹腔感染,医院获得性腹腔感染,疾病,"""医院获得性腹腔感染是根据感染发生地点分类的一种腹腔感染，包括术后吻合口漏继发腹腔感染、胰腺炎合并胰周感染、手术部位感染等。""<SEP>""在医院环境中获得的腹腔感染，治疗失败后需调整抗菌药物方案。""<SEP>""手术部位是医院获得性腹腔感染（器官‐腔隙感染）的发生部位。""<SEP>""治疗失败后的医院获得性腹腔感染需调整抗菌药物方案。"""
